beam_id,storey_id,source_sheet,from_support_id,to_support_id,direction_class,section_cm,section_evidence_status,topology_evidence_status,from_support_face,to_support_face,primary_source_id,render_evidence,validation_state,note
G5-B001,G5,TAV-06S,2,3,Y,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Direct TAV-06S support-to-support beam trace; no G4 topology copied.
G5-B002,G5,TAV-06S,3,4,Y,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Direct TAV-06S support-to-support beam trace; no G4 topology copied.
G5-B003,G5,TAV-06S,4,5,X,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Direct TAV-06S support-to-support beam trace; no G4 topology copied.
G5-B004,G5,TAV-06S,5,6,Y,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Direct TAV-06S support-to-support beam trace; no G4 topology copied.
G5-B005,G5,TAV-06S,6,7,Y,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Direct TAV-06S support-to-support beam trace; no G4 topology copied.
G5-B006,G5,TAV-06S,2,10,X,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Direct TAV-06S support-to-support beam trace; no G4 topology copied.
G5-B007,G5,TAV-06S,3,11,X,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Direct TAV-06S support-to-support beam trace; no G4 topology copied.
G5-B008,G5,TAV-06S,5,13,OFFSET_POLYLINE,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Direct L-offset TAV-06S beam trace from support 5 to support 13; not normalized to a straight G4 member.
G5-B009,G5,TAV-06S,6,14,X,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Direct TAV-06S support-to-support beam trace; no G4 topology copied.
G5-B010,G5,TAV-06S,7,15,X,PENDING_TAV06A,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,storey-source-renders-v1/TAV06S_300dpi.jpg,DIRECT_REGISTERED_TOPOLOGY_SECTION_PENDING,Direct TAV-06S support-to-support beam trace; no G4 topology copied.
