detail_type,count,values
missing_member_nodes,0,
zero_member_pairs,0,
duplicate_member_node_pairs,0,
beam_role_failures,0,
column_role_failures,0,
invalid_cross_storey_members,0,
terrace_vertical_segments,0,
roof_absent_g4_g5_columns,0,
roof_special_as_members,0,
missing_link_nodes,0,
link_role_failures,0,
link_support_level_failures,0,
zero_length_rigid_links,0,
bad_face_link_coverage,0,
bad_face_member_coverage,0,
roof_member_promotions,0,
roof_z_assigned,0,
ridge_xy_bad,0,
eave_centerline_created,3,G5-GRONDA-L;G5-GRONDA-R;G5-GRONDA-B
blank_node_provenance,0,
blank_member_provenance,0,
blank_link_provenance,0,
orphan_nodes,0,
component_sizes,1,627
