claim_id,claim_class,evidence_anchor,a_obs_id,a_raw_value,a_state,b_obs_id,b_raw_value,b_state,comparison_status,governing_value,governing_state,unit,network_role,note
P04-ID-001,SUPPORT_IDENTIFIER,P001-TILE-R02-C03,A-ID-001,1,DOC,,,,NOT_VISIBLE_B,1,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-002,SUPPORT_IDENTIFIER,P001-TILE-R02-C03,A-ID-002,2,DOC,,,,NOT_VISIBLE_B,2,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-003,SUPPORT_IDENTIFIER,P001-TILE-R02-C03,A-ID-003,3,DOC,,,,NOT_VISIBLE_B,3,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-004,SUPPORT_IDENTIFIER,P001-TILE-R03-C03,A-ID-004,4,DOC,,,,NOT_VISIBLE_B,4,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-005,SUPPORT_IDENTIFIER,P001-TILE-R03-C02,A-ID-005,5,DOC,,,,NOT_VISIBLE_B,5,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-006,SUPPORT_IDENTIFIER,P001-TILE-R03-C02,A-ID-006,6,DOC,,,,NOT_VISIBLE_B,6,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-007,SUPPORT_IDENTIFIER,P001-TILE-R03-C02,A-ID-007,7,DOC,,,,NOT_VISIBLE_B,7,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-008,SUPPORT_IDENTIFIER,P001-TILE-R04-C02,A-ID-008,8,DOC,,,,NOT_VISIBLE_B,8,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-009,SUPPORT_IDENTIFIER,P001-TILE-R02-C02,A-ID-009,9,DOC,,,,NOT_VISIBLE_B,9,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-010,SUPPORT_IDENTIFIER,P001-TILE-R02-C02,A-ID-010,10,DOC,,,,NOT_VISIBLE_B,10,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-011,SUPPORT_IDENTIFIER,P001-TILE-R02-C02,A-ID-011,11,DOC,,,,NOT_VISIBLE_B,11,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-012,SUPPORT_IDENTIFIER,P001-TILE-R03-C02,A-ID-012,12,DOC,,,,NOT_VISIBLE_B,12,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-013,SUPPORT_IDENTIFIER,P001-TILE-R03-C02,A-ID-013,13,DOC,,,,NOT_VISIBLE_B,13,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-014,SUPPORT_IDENTIFIER,P001-TILE-R03-C02,A-ID-014,14,DOC,,,,NOT_VISIBLE_B,14,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-015,SUPPORT_IDENTIFIER,P001-TILE-R03-C02,A-ID-015,15,DOC,,,,NOT_VISIBLE_B,15,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-016,SUPPORT_IDENTIFIER,P001-TILE-R04-C02,A-ID-016,16,DOC,,,,NOT_VISIBLE_B,16,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-017,SUPPORT_IDENTIFIER,P001-TILE-R02-C02,A-ID-017,17,DOC,,,,NOT_VISIBLE_B,17,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-018,SUPPORT_IDENTIFIER,P001-TILE-R02-C02,A-ID-018,18,DOC,,,,NOT_VISIBLE_B,18,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-019,SUPPORT_IDENTIFIER,P001-TILE-R02-C02,A-ID-019,19,DOC,,,,NOT_VISIBLE_B,19,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-020,SUPPORT_IDENTIFIER,P001-TILE-R02-C02,A-ID-020,20,DOC,,,,NOT_VISIBLE_B,20,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-021,SUPPORT_IDENTIFIER,P001-TILE-R03-C02,A-ID-021,21,DOC,,,,NOT_VISIBLE_B,21,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-022,SUPPORT_IDENTIFIER,P001-TILE-R03-C02,A-ID-022,22,DOC,,,,NOT_VISIBLE_B,22,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-023,SUPPORT_IDENTIFIER,P001-TILE-R03-C02,A-ID-023,22bis,DOC,,,,NOT_VISIBLE_B,22bis,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-024,SUPPORT_IDENTIFIER,P001-TILE-R03-C02,A-ID-024,23,DOC,,,,NOT_VISIBLE_B,23,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-025,SUPPORT_IDENTIFIER,P001-REGION-R02-C01,A-ID-025,24,DOC,,,,NOT_VISIBLE_B,24,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-026,SUPPORT_IDENTIFIER,P001-TILE-R02-C02,A-ID-026,25,DOC,,,,NOT_VISIBLE_B,25,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-027,SUPPORT_IDENTIFIER,P001-TILE-R03-C02,A-ID-027,26,DOC,,,,NOT_VISIBLE_B,26,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-028,SUPPORT_IDENTIFIER,P001-TILE-R03-C02,A-ID-028,27,DOC,,,,NOT_VISIBLE_B,27,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-029,SUPPORT_IDENTIFIER,P001-TILE-R02-C01,A-ID-029,28,DOC,,,,NOT_VISIBLE_B,28,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-030,SUPPORT_IDENTIFIER,P001-TILE-R03-C01,A-ID-030,29,DOC,,,,NOT_VISIBLE_B,29,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-031,SUPPORT_IDENTIFIER,P001-TILE-R03-C01,A-ID-031,30,DOC,,,,NOT_VISIBLE_B,30,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-032,SUPPORT_IDENTIFIER,P001-TILE-R02-C01,A-ID-032,31,DOC,,,,NOT_VISIBLE_B,31,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-033,SUPPORT_IDENTIFIER,P001-TILE-R03-C01,A-ID-033,32,DOC,,,,NOT_VISIBLE_B,32,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-034,SUPPORT_IDENTIFIER,P001-TILE-R03-C01,A-ID-034,33,DOC,,,,NOT_VISIBLE_B,33,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-035,SUPPORT_IDENTIFIER,P001-TILE-R02-C02,A-ID-035,a,DOC,,,,NOT_VISIBLE_B,a,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-036,SUPPORT_IDENTIFIER,P001-TILE-R02-C02,A-ID-036,b,DOC,,,,NOT_VISIBLE_B,b,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-037,SUPPORT_IDENTIFIER,P001-TILE-R02-C01,A-ID-037,c,DOC,,,,NOT_VISIBLE_B,c,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-ID-038,SUPPORT_IDENTIFIER,P001-TILE-R02-C01,A-ID-038,d,DOC,,,,NOT_VISIBLE_B,d,DOC,,IDENTIFIER_ONLY,Direct written ID from Reader A; no coordinate assigned.
P04-IDREL-001,DISTINCT_IDENTIFIER_RELATION,P001-TILE-R03-C02,A-ID-REL-001,22|22bis,DOC,,,,NOT_VISIBLE_B,22|22bis,DOC,,IDENTIFIER_RELATION,Reader A directly records simultaneous distinct labels; no support count target used.
P04-DIM-001,WRITTEN_DIMENSION,P001-TILE-R02-C03,A-DIM-001,14.35,DOC,B-OBS-009,14.35,INC,MATCH_VALUE_B_LOW_CONFIDENCE,14.35,DOC,UNSPECIFIED_ON_DRAWING,OVERALL_SPAN,Reader A governs; B independently reads same value but remains INC.
P04-DIM-002,WRITTEN_DIMENSION,P001-TILE-R02-C03,A-DIM-002,4.70,DOC,B-OBS-010,4.70,RIF,MATCH,4.70,DOC,UNSPECIFIED_ON_DRAWING,SEGMENT_SPAN,Same evidence anchor and same written value.
P04-DIM-003,WRITTEN_DIMENSION,P001-TILE-R02-C03,A-DIM-003,5.10,DOC,,,,NOT_VISIBLE_B,5.10,DOC,UNSPECIFIED_ON_DRAWING,SEGMENT_SPAN,Direct A value; B does not independently recover it.
P04-DIM-004,WRITTEN_DIMENSION,P001-REGION-R02-C02,A-DIM-004,14.55,DOC,,,,NOT_VISIBLE_B,14.55,DOC,UNSPECIFIED_ON_DRAWING,OVERALL_SPAN,Fold interference noted by A; written value remains legible.
P04-DIM-005,WRITTEN_DIMENSION,P001-REGION-R02-C02,A-DIM-005,4.15,DOC,,,,NOT_VISIBLE_B,4.15,DOC,UNSPECIFIED_ON_DRAWING,SEGMENT_SPAN,Span membership unresolved inside folded band.
P04-DIM-006,WRITTEN_DIMENSION,P001-REGION-R02-C02,A-DIM-006,4.25,DOC,,,,NOT_VISIBLE_B,4.25,DOC,UNSPECIFIED_ON_DRAWING,SEGMENT_SPAN,Span membership unresolved inside folded band.
P04-DIM-007,WRITTEN_DIMENSION,P001-REGION-R02-C02,A-DIM-007,5.30,DOC,,,,NOT_VISIBLE_B,5.30,DOC,UNSPECIFIED_ON_DRAWING,SEGMENT_SPAN,Span membership unresolved inside folded band.
