candidate_id,source_observation_id,evidence_anchor,candidate_kind,observed_labels,endpoint_a,endpoint_b,graphical_continuity_state,reader_b_continuity_state,metric_dependency_status,member_created,topology_status,eligible_for_p07,note
P05-CAND-001,A-CONT-001,P001-TILE-R02-C03,CHAIN_OR_LOCAL_CONTINUITY_CLAIM,1|2|3,,,DOC_A_DIRECT,NOT_AVAILABLE,NONCONFLICTING_IDENTIFIER_CLAIMS_AVAILABLE,false,HOLD_ENDPOINT_OR_CHAIN_UNRESOLVED,false,No member is promoted at P05 because the information-barrier-compliant Reader B did not provide semantic continuity classification; source-local adjudication is deferred to P06.
P05-CAND-002,A-CONT-002,P001-TILE-R03-C02,CHAIN_OR_LOCAL_CONTINUITY_CLAIM,5|6|7,,,DOC_A_DIRECT,NOT_AVAILABLE,NONCONFLICTING_IDENTIFIER_CLAIMS_AVAILABLE,false,HOLD_ENDPOINT_OR_CHAIN_UNRESOLVED,false,No member is promoted at P05 because the information-barrier-compliant Reader B did not provide semantic continuity classification; source-local adjudication is deferred to P06.
P05-CAND-003,A-CONT-003,P001-TILE-R04-C02,PAIR_CONTINUITY_CANDIDATE,7|8,7,8,DOC_A_DIRECT,NOT_AVAILABLE,NONCONFLICTING_IDENTIFIER_CLAIMS_AVAILABLE,false,HOLD_READER_B_CONTINUITY_NOT_AVAILABLE,false,No member is promoted at P05 because the information-barrier-compliant Reader B did not provide semantic continuity classification; source-local adjudication is deferred to P06.
P05-CAND-004,A-CONT-004,P001-TILE-R02-C02,CHAIN_OR_LOCAL_CONTINUITY_CLAIM,9|10|11,,,DOC_A_DIRECT,NOT_AVAILABLE,NONCONFLICTING_IDENTIFIER_CLAIMS_AVAILABLE,false,HOLD_ENDPOINT_OR_CHAIN_UNRESOLVED,false,No member is promoted at P05 because the information-barrier-compliant Reader B did not provide semantic continuity classification; source-local adjudication is deferred to P06.
P05-CAND-005,A-CONT-005,P001-TILE-R03-C02,CHAIN_OR_LOCAL_CONTINUITY_CLAIM,12|13,,,DOC_A_DIRECT,NOT_AVAILABLE,NONCONFLICTING_IDENTIFIER_CLAIMS_AVAILABLE,false,HOLD_ENDPOINT_OR_CHAIN_UNRESOLVED,false,No member is promoted at P05 because the information-barrier-compliant Reader B did not provide semantic continuity classification; source-local adjudication is deferred to P06.
P05-CAND-006,A-CONT-006,P001-TILE-R03-C02,CHAIN_OR_LOCAL_CONTINUITY_CLAIM,13|14|15,,,DOC_A_DIRECT,NOT_AVAILABLE,NONCONFLICTING_IDENTIFIER_CLAIMS_AVAILABLE,false,HOLD_ENDPOINT_OR_CHAIN_UNRESOLVED,false,No member is promoted at P05 because the information-barrier-compliant Reader B did not provide semantic continuity classification; source-local adjudication is deferred to P06.
P05-CAND-007,A-CONT-007,P001-TILE-R04-C02,PAIR_CONTINUITY_CANDIDATE,15|16,15,16,DOC_A_DIRECT,NOT_AVAILABLE,NONCONFLICTING_IDENTIFIER_CLAIMS_AVAILABLE,false,HOLD_READER_B_CONTINUITY_NOT_AVAILABLE,false,No member is promoted at P05 because the information-barrier-compliant Reader B did not provide semantic continuity classification; source-local adjudication is deferred to P06.
P05-CAND-008,A-CONT-008,P001-TILE-R02-C02,CHAIN_OR_LOCAL_CONTINUITY_CLAIM,17|18|19|20,,,DOC_A_DIRECT,NOT_AVAILABLE,NONCONFLICTING_IDENTIFIER_CLAIMS_AVAILABLE,false,HOLD_ENDPOINT_OR_CHAIN_UNRESOLVED,false,No member is promoted at P05 because the information-barrier-compliant Reader B did not provide semantic continuity classification; source-local adjudication is deferred to P06.
P05-CAND-009,A-CONT-009,P001-TILE-R03-C02,CHAIN_OR_LOCAL_CONTINUITY_CLAIM,21|22|22bis,,,DOC_A_DIRECT,NOT_AVAILABLE,NONCONFLICTING_IDENTIFIER_CLAIMS_AVAILABLE,false,HOLD_ENDPOINT_OR_CHAIN_UNRESOLVED,false,No member is promoted at P05 because the information-barrier-compliant Reader B did not provide semantic continuity classification; source-local adjudication is deferred to P06.
P05-CAND-010,A-CONT-010,P001-REGION-R02-C01,CHAIN_OR_LOCAL_CONTINUITY_CLAIM,22bis|23|24,,,DOC_A_DIRECT,NOT_AVAILABLE,NONCONFLICTING_IDENTIFIER_CLAIMS_AVAILABLE,false,HOLD_ENDPOINT_OR_CHAIN_UNRESOLVED,false,No member is promoted at P05 because the information-barrier-compliant Reader B did not provide semantic continuity classification; source-local adjudication is deferred to P06.
