obs_id,source_id,evidence_anchor,semantic_class,raw_value,unit,evidence_state,readability,method,note
A-ID-001,TAV-01S,P001-TILE-R02-C03,SUPPORT_IDENTIFIER,1,,DOC,READABLE,VISUAL_P02_HASHED_RENDER,direct label; no geometry inference
A-ID-002,TAV-01S,P001-TILE-R02-C03,SUPPORT_IDENTIFIER,2,,DOC,READABLE,VISUAL_P02_HASHED_RENDER,direct label; no geometry inference
A-ID-003,TAV-01S,P001-TILE-R02-C03,SUPPORT_IDENTIFIER,3,,DOC,READABLE,VISUAL_P02_HASHED_RENDER,direct label; no geometry inference
A-ID-004,TAV-01S,P001-TILE-R03-C03,SUPPORT_IDENTIFIER,4,,DOC,READABLE,VISUAL_P02_HASHED_RENDER,direct label; no geometry inference
A-ID-005,TAV-01S,P001-TILE-R03-C02,SUPPORT_IDENTIFIER,5,,DOC,READABLE,VISUAL_P02_HASHED_RENDER,direct label; no geometry inference
A-ID-006,TAV-01S,P001-TILE-R03-C02,SUPPORT_IDENTIFIER,6,,DOC,READABLE,VISUAL_P02_HASHED_RENDER,direct label; no geometry inference
A-ID-007,TAV-01S,P001-TILE-R03-C02,SUPPORT_IDENTIFIER,7,,DOC,READABLE,VISUAL_P02_HASHED_RENDER,direct label; no geometry inference
A-ID-008,TAV-01S,P001-TILE-R04-C02,SUPPORT_IDENTIFIER,8,,DOC,READABLE,VISUAL_P02_HASHED_RENDER,direct label; no geometry inference
A-ID-009,TAV-01S,P001-TILE-R02-C02,SUPPORT_IDENTIFIER,9,,DOC,READABLE,VISUAL_P02_HASHED_RENDER,direct label; no geometry inference
A-ID-010,TAV-01S,P001-TILE-R02-C02,SUPPORT_IDENTIFIER,10,,DOC,READABLE,VISUAL_P02_HASHED_RENDER,direct label; no geometry inference
A-ID-011,TAV-01S,P001-TILE-R02-C02,SUPPORT_IDENTIFIER,11,,DOC,READABLE,VISUAL_P02_HASHED_RENDER,direct label; no geometry inference
A-ID-012,TAV-01S,P001-TILE-R03-C02,SUPPORT_IDENTIFIER,12,,DOC,READABLE,VISUAL_P02_HASHED_RENDER,direct label; no geometry inference
