obs_id,source_id,evidence_anchor,semantic_class,raw_value,unit,evidence_state,readability,method,ocr_confidence,bbox_px_reader_b,note
B-OBS-001,TAV-01S,P001-REGION-R01-C01,NUMERIC_TEXT_CANDIDATE,10,,RIF,READABLE_MACHINE,TESSERACT_5.5_SINGLE_PASS,93.6,"1525,2883,50,38@ROTATED_EVIDENCE",Raw independent machine read; no comparison with Reader A and no topology inference.
B-OBS-002,TAV-01S,P001-REGION-R01-C01,NUMERIC_TEXT_CANDIDATE,2,,RIF,READABLE_MACHINE,TESSERACT_5.5_SINGLE_PASS,95.2,"1105,2591,23,30@ROTATED_EVIDENCE",Raw independent machine read; no comparison with Reader A and no topology inference.
B-OBS-003,TAV-01S,P001-REGION-R01-C01,NUMERIC_TEXT_CANDIDATE,8,,RIF,READABLE_MACHINE,TESSERACT_5.5_SINGLE_PASS,96.2,"1582,2885,29,36@ROTATED_EVIDENCE",Raw independent machine read; no comparison with Reader A and no topology inference.
B-OBS-004,TAV-01S,P001-TILE-R01-C01,ALPHANUMERIC_TEXT_CANDIDATE,a,,RIF,READABLE_MACHINE,TESSERACT_5.5_SINGLE_PASS,96.5,"1500,1068,23,25@ROTATED_EVIDENCE",Raw independent machine read; no comparison with Reader A and no topology inference.
B-OBS-005,TAV-01S,P001-TILE-R01-C01,NUMERIC_TEXT_CANDIDATE,24,,RIF,READABLE_MACHINE,TESSERACT_5.5_SINGLE_PASS,95.5,"1105,935,61,46@ROTATED_EVIDENCE",Raw independent machine read; no comparison with Reader A and no topology inference.
B-OBS-006,TAV-01S,P001-TILE-R01-C01,NUMERIC_TEXT_CANDIDATE,4,,RIF,READABLE_MACHINE,TESSERACT_5.5_SINGLE_PASS,89.3,"1663,1274,44,72@ROTATED_EVIDENCE",Raw independent machine read; no comparison with Reader A and no topology inference.
B-OBS-007,TAV-01S,P001-TILE-R01-C02,NUMERIC_TEXT_CANDIDATE,58,,RIF,READABLE_MACHINE,TESSERACT_5.5_SINGLE_PASS,96.6,"455,3399,73,38@ROTATED_EVIDENCE",Raw independent machine read; no comparison with Reader A and no topology inference.
B-OBS-008,TAV-01S,P001-TILE-R02-C01,DIMENSION_TEXT_CANDIDATE,22.30,UNSPECIFIED_ON_DRAWING,INC,READABLE_MACHINE,TESSERACT_5.5_SINGLE_PASS,75.9,"3544,4562,71,19@B_PAGE_RECON_150DPI",Raw independent machine read; no comparison with Reader A and no topology inference.
B-OBS-009,TAV-01S,P001-TILE-R02-C03,DIMENSION_TEXT_CANDIDATE,14.35,UNSPECIFIED_ON_DRAWING,INC,READABLE_MACHINE,TESSERACT_5.5_SINGLE_PASS,80.5,"3085,1045,85,25@B_PAGE_RECON_150DPI",Raw independent machine read; no comparison with Reader A and no topology inference.
B-OBS-010,TAV-01S,P001-TILE-R02-C03,DIMENSION_TEXT_CANDIDATE,4.70,UNSPECIFIED_ON_DRAWING,RIF,READABLE_MACHINE,TESSERACT_5.5_SINGLE_PASS,91.4,"2541,1177,45,18@B_PAGE_RECON_150DPI",Raw independent machine read; no comparison with Reader A and no topology inference.
B-OBS-011,TAV-01S,P001-TILE-R03-C01,DIMENSION_TEXT_CANDIDATE,4.96,UNSPECIFIED_ON_DRAWING,INC,READABLE_MACHINE,TESSERACT_5.5_SINGLE_PASS,77.4,"4354,4435,48,19@B_PAGE_RECON_150DPI",Raw independent machine read; no comparison with Reader A and no topology inference.
B-OBS-012,TAV-01S,P001-TILE-R03-C01,DIMENSION_TEXT_CANDIDATE,6.26,UNSPECIFIED_ON_DRAWING,RIF,READABLE_MACHINE,TESSERACT_5.5_SINGLE_PASS,89.6,"462,2413,110,34@ROTATED_EVIDENCE",Raw independent machine read; no comparison with Reader A and no topology inference.
B-OBS-013,TAV-01S,P001-TILE-R03-C03,DIMENSION_TEXT_CANDIDATE,4.45,UNSPECIFIED_ON_DRAWING,RIF,READABLE_MACHINE,TESSERACT_5.5_SINGLE_PASS,86.4,"3693,1178,51,20@B_PAGE_RECON_150DPI",Raw independent machine read; no comparison with Reader A and no topology inference.
B-OBS-014,TAV-01S,P001-TILE-R03-C03,DIMENSION_TEXT_CANDIDATE,4.70,UNSPECIFIED_ON_DRAWING,RIF,READABLE_MACHINE,TESSERACT_5.5_SINGLE_PASS,93.2,"5315,1190,48,16@B_PAGE_RECON_150DPI",Raw independent machine read; no comparison with Reader A and no topology inference.
B-OBS-015,TAV-01S,P001-TILE-R03-C03,DIMENSION_TEXT_CANDIDATE,44.56,UNSPECIFIED_ON_DRAWING,INC,READABLE_MACHINE,TESSERACT_5.5_SINGLE_PASS,82.2,"4803,1057,85,24@B_PAGE_RECON_150DPI",Raw independent machine read; no comparison with Reader A and no topology inference.
