node_id,level_id,node_role,support_id,source_node_id,beam_id,beam_end,face_ref,x_m,y_m,z_m,section_x_cm,section_y_cm,section_evidence_state,xy_input_provenance,z_input_provenance,topology_evidence_state,coordinate_derivation,coordinate_evidence_state,validation_state,note
M0G-C-G1-1,G1,SUPPORT_CORE,1,,,,,18.0000,0.0000,0.0000,40,50,DOC,DOC_METRIC_OR_AXIS,DOC,DOC,CURRENT_SUPPORT_CENTER_PLUS_REGISTERED_LEVEL_Z,DOC,CURRENT_CORE_NODE,Core/column-axis role only; never substitutes beam-face nodes. Section source=PT_MASTER_CURRENT.
M0G-C-G1-2,G1,SUPPORT_CORE,2,,,,,18.0000,4.7000,0.0000,50,40,DOC,DOC_METRIC_OR_AXIS,DOC,DOC,CURRENT_SUPPORT_CENTER_PLUS_REGISTERED_LEVEL_Z,DOC,CURRENT_CORE_NODE,Core/column-axis role only; never substitutes beam-face nodes. Section source=PT_MASTER_CURRENT.
M0G-C-G1-3,G1,SUPPORT_CORE,3,,,,,18.0000,9.8000,0.0000,60,40,DOC,DOC_METRIC_OR_AXIS,DOC,DOC,CURRENT_SUPPORT_CENTER_PLUS_REGISTERED_LEVEL_Z,DOC,CURRENT_CORE_NODE,Core/column-axis role only; never substitutes beam-face nodes. Section source=PT_MASTER_CURRENT.
M0G-C-G1-4,G1,SUPPORT_CORE,4,,,,,18.0000,13.9500,0.0000,40,50,DOC,DOC_METRIC_OR_AXIS,DOC,DOC,CURRENT_SUPPORT_CENTER_PLUS_REGISTERED_LEVEL_Z,DOC,CURRENT_CORE_NODE,Core/column-axis role only; never substitutes beam-face nodes. Section source=PT_MASTER_CURRENT.
M0G-C-G1-5,G1,SUPPORT_CORE,5,,,,,16.1000,13.9500,0.0000,40,50,DOC,DOC_METRIC_OR_AXIS,DOC,DOC,CURRENT_SUPPORT_CENTER_PLUS_REGISTERED_LEVEL_Z,DOC,CURRENT_CORE_NODE,Core/column-axis role only; never substitutes beam-face nodes. Section source=PT_MASTER_CURRENT.
M0G-C-G1-6,G1,SUPPORT_CORE,6,,,,,16.1000,18.1000,0.0000,50,40,DOC,DOC_METRIC_OR_AXIS,DOC,DOC,CURRENT_SUPPORT_CENTER_PLUS_REGISTERED_LEVEL_Z,DOC,CURRENT_CORE_NODE,Core/column-axis role only; never substitutes beam-face nodes. Section source=PT_MASTER_CURRENT.
M0G-C-G1-7,G1,SUPPORT_CORE,7,,,,,16.1000,23.4000,0.0000,50,40,DOC,DOC_METRIC_OR_AXIS,DOC,DOC,CURRENT_SUPPORT_CENTER_PLUS_REGISTERED_LEVEL_Z,DOC,CURRENT_CORE_NODE,Core/column-axis role only; never substitutes beam-face nodes. Section source=PT_MASTER_CURRENT.
M0G-C-G1-8,G1,SUPPORT_CORE,8,,,,,16.1000,28.1000,0.0000,40,50,DOC,DOC_METRIC_OR_AXIS,DOC,DOC,CURRENT_SUPPORT_CENTER_PLUS_REGISTERED_LEVEL_Z,DOC,CURRENT_CORE_NODE,Core/column-axis role only; never substitutes beam-face nodes. Section source=PT_MASTER_CURRENT.
M0G-C-G1-9,G1,SUPPORT_CORE,9,,,,,12.4000,0.0000,0.0000,40,50,DOC,DOC_METRIC_OR_AXIS,DOC,DOC,CURRENT_SUPPORT_CENTER_PLUS_REGISTERED_LEVEL_Z,DOC,CURRENT_CORE_NODE,Core/column-axis role only; never substitutes beam-face nodes. Section source=PT_MASTER_CURRENT.
M0G-C-G1-10,G1,SUPPORT_CORE,10,,,,,12.4000,4.7000,0.0000,50,40,DOC,DOC_METRIC_OR_AXIS,DOC,DOC,CURRENT_SUPPORT_CENTER_PLUS_REGISTERED_LEVEL_Z,DOC,CURRENT_CORE_NODE,Core/column-axis role only; never substitutes beam-face nodes. Section source=PT_MASTER_CURRENT.
M0G-C-G1-11,G1,SUPPORT_CORE,11,,,,,12.4000,9.8000,0.0000,50,40,DOC,DOC_METRIC_OR_AXIS,DOC,DOC,CURRENT_SUPPORT_CENTER_PLUS_REGISTERED_LEVEL_Z,DOC,CURRENT_CORE_NODE,Core/column-axis role only; never substitutes beam-face nodes. Section source=PT_MASTER_CURRENT.
M0G-C-G1-12,G1,SUPPORT_CORE,12,,,,,12.4000,13.0725,0.0000,40,50,DOC,MIS_AFFINE,DOC,DOC,CURRENT_SUPPORT_CENTER_PLUS_REGISTERED_LEVEL_Z,MIS,CURRENT_WITH_XY_WATCH,Core/column-axis role only; never substitutes beam-face nodes. Section source=PT_MASTER_CURRENT.
M0G-C-G1-13,G1,SUPPORT_CORE,13,,,,,11.4500,15.2000,0.0000,50,40,DOC,DOC_METRIC_OR_AXIS,DOC,DOC,CURRENT_SUPPORT_CENTER_PLUS_REGISTERED_LEVEL_Z,DOC,CURRENT_CORE_NODE,Core/column-axis role only; never substitutes beam-face nodes. Section source=PT_MASTER_CURRENT.
M0G-C-G1-14,G1,SUPPORT_CORE,14,,,,,11.4500,18.1000,0.0000,50,40,DOC,DOC_METRIC_OR_AXIS,DOC,DOC,CURRENT_SUPPORT_CENTER_PLUS_REGISTERED_LEVEL_Z,DOC,CURRENT_CORE_NODE,Core/column-axis role only; never substitutes beam-face nodes. Section source=PT_MASTER_CURRENT.
M0G-C-G1-15,G1,SUPPORT_CORE,15,,,,,11.4500,23.4000,0.0000,50,40,DOC,DOC_METRIC_OR_AXIS,DOC,DOC,CURRENT_SUPPORT_CENTER_PLUS_REGISTERED_LEVEL_Z,DOC,CURRENT_CORE_NODE,Core/column-axis role only; never substitutes beam-face nodes. Section source=PT_MASTER_CURRENT.
M0G-C-G1-16,G1,SUPPORT_CORE,16,,,,,11.4500,28.1000,0.0000,50,40,DOC,DOC_METRIC_OR_AXIS,DOC,DOC,CURRENT_SUPPORT_CENTER_PLUS_REGISTERED_LEVEL_Z,DOC,CURRENT_CORE_NODE,Core/column-axis role only; never substitutes beam-face nodes. Section source=PT_MASTER_CURRENT.
M0G-C-G1-17,G1,SUPPORT_CORE,17,,,,,6.9000,0.0000,0.0000,50,40,DOC,DOC_METRIC_OR_AXIS,DOC,DOC,CURRENT_SUPPORT_CENTER_PLUS_REGISTERED_LEVEL_Z,DOC,CURRENT_CORE_NODE,Core/column-axis role only; never substitutes beam-face nodes. Section source=PT_MASTER_CURRENT.
M0G-C-G1-18,G1,SUPPORT_CORE,18,,,,,7.2240,4.7000,0.0000,110,30,DOC,MIS_AFFINE_EXTENDED,DOC,DOC,CURRENT_SUPPORT_CENTER_PLUS_REGISTERED_LEVEL_Z,MIS,CURRENT_WITH_XY_WATCH,Core/column-axis role only; never substitutes beam-face nodes. Section source=PT_MASTER_CURRENT.
M0G-C-G1-19,G1,SUPPORT_CORE,19,,,,,7.6318,8.9500,0.0000,40,50,DOC,MIS_AFFINE_WATCH,DOC,DOC,CURRENT_SUPPORT_CENTER_PLUS_REGISTERED_LEVEL_Z,MIS,CURRENT_WITH_XY_WATCH,Core/column-axis role only; never substitutes beam-face nodes. Section source=PT_MASTER_CURRENT.
