member_id,member_class,source_member_id,storey_id,from_level,to_level,support_i,support_j,node_i,node_j,geometric_length_m,section_i_cm,section_j_cm,section_cm,section_evidence_i,section_evidence_j,section_evidence,topology_evidence,source_ledger,source_record_class,connectivity_evidence,validation_state,usage_rule,note
M0G-M-G1-B-001,ORDINARY_BEAM,B-001,G1,G1,G1,c,a,M0G-F-G1-AN-001,M0G-F-G1-AN-002,3.1500,,,70x25,,,DOC,DOC_SECTION_BOUND,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Inherited documentary continuity/section claim; metric span kept separate from topology.
M0G-M-G1-B-002,ORDINARY_BEAM,B-002,G1,G1,G1,a,17,M0G-F-G1-AN-003,M0G-F-G1-AN-004,3.0500,,,70x25,,,DOC,DOC_SECTION_BOUND,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Inherited documentary continuity/section claim; metric span kept separate from topology.
M0G-M-G1-B-003,ORDINARY_BEAM,B-003,G1,G1,G1,17,9,M0G-F-G1-AN-005,M0G-F-G1-AN-006,5.0500,,,,,,ND,DOC_CONTINUITY,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Inherited documentary continuity/section claim; metric span kept separate from topology.
M0G-M-G1-B-004,ORDINARY_BEAM,B-004,G1,G1,G1,9,1,M0G-F-G1-AN-007,M0G-F-G1-AN-008,5.2000,,,,,,ND,DOC_CONTINUITY,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Inherited documentary continuity/section claim; metric span kept separate from topology.
M0G-M-G1-B-005,ORDINARY_BEAM,B-005,G1,G1,G1,d,b,M0G-F-G1-AN-009,M0G-F-G1-AN-010,3.1500,,,,,,ND,DOC_CONTINUITY,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Inherited documentary continuity/section claim; metric span kept separate from topology.
M0G-M-G1-B-006,ORDINARY_BEAM,B-006,G1,G1,G1,b,18,M0G-F-G1-AN-011,M0G-F-G1-AN-012,3.0740,,,,,,ND,DOC_CONTINUITY,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Extended P18 terminates at physical face rather than centroid.
M0G-M-G1-B-007,ORDINARY_BEAM,B-007,G1,G1,G1,1,2,M0G-F-G1-AN-013,M0G-F-G1-AN-014,4.2500,,,,,,ND,DOC_CONTINUITY,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Inherited documentary continuity/section claim; metric span kept separate from topology.
M0G-M-G1-B-008,ORDINARY_BEAM,B-008,G1,G1,G1,2,3,M0G-F-G1-AN-015,M0G-F-G1-AN-016,4.7000,,,,,,ND,DOC_CONTINUITY,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Inherited documentary continuity/section claim; metric span kept separate from topology.
M0G-M-G1-B-009,ORDINARY_BEAM,B-009,G1,G1,G1,3,4,M0G-F-G1-AN-017,M0G-F-G1-AN-018,3.7000,,,70x25,,,DOC,DOC_SECTION_BOUND,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Inherited documentary continuity/section claim; metric span kept separate from topology.
M0G-M-G1-B-010,ORDINARY_BEAM,B-010,G1,G1,G1,5,6,M0G-F-G1-AN-019,M0G-F-G1-AN-020,3.7000,,,70x25,,,DOC,DOC_SECTION_BOUND,data/canonical/PT_VECTOR_BEAMS_v2.csv+data/canonical/PT_VECTOR_BEAMS_G6_PATCH_v1.csv,EFFECTIVE_PT_BEAM,INF_FROM_CANONICAL_FACE_NODES,CURRENT_WITH_PROVENANCE,ORDINARY_STRUCTURAL_MEMBER,Direct r3_c3 review corrected former P4-P6 binding to P5-P6.
