link_id,level_id,support_id,core_node_id,face_node_id,beam_id,beam_end,face_ref,dx_m,dy_m,dz_m,offset_length_m,link_role,source_face_coordinate_state,link_evidence_state,validation_state,usage_rule,note
M0G-RL-M0G-F-G1-AN-008,G1,1,M0G-C-G1-1,M0G-F-G1-AN-008,B-004,SOURCE_CURRENT_PT,WEST,-0.2000,0.0000,0.0000,0.2000,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-013,G1,1,M0G-C-G1-1,M0G-F-G1-AN-013,B-007,SOURCE_CURRENT_PT,SOUTH,0.0000,0.2500,0.0000,0.2500,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-072,G1,10,M0G-C-G1-10,M0G-F-G1-AN-072,B-038,SOURCE_CURRENT_PT,WEST,-0.2500,0.0000,0.0000,0.2500,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-073,G1,10,M0G-C-G1-10,M0G-F-G1-AN-073,B-039,SOURCE_CURRENT_PT,EAST,0.2500,0.0000,0.0000,0.2500,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-080,G1,10,M0G-C-G1-10,M0G-F-G1-AN-080,B-042,SOURCE_CURRENT_PT,NORTH,0.0000,-0.2000,0.0000,0.2000,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-081,G1,10,M0G-C-G1-10,M0G-F-G1-AN-081,B-043,SOURCE_CURRENT_PT,SOUTH,0.0000,0.2000,0.0000,0.2000,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-076,G1,11,M0G-C-G1-11,M0G-F-G1-AN-076,B-040,SOURCE_CURRENT_PT,WEST,-0.2500,0.0000,0.0000,0.2500,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-077,G1,11,M0G-C-G1-11,M0G-F-G1-AN-077,B-041,SOURCE_CURRENT_PT,EAST,0.2500,0.0000,0.0000,0.2500,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-082,G1,11,M0G-C-G1-11,M0G-F-G1-AN-082,B-043,SOURCE_CURRENT_PT,NORTH,0.0000,-0.2000,0.0000,0.2000,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-089,G1,11,M0G-C-G1-11,M0G-F-G1-AN-089,B-048,SOURCE_CURRENT_PT,SOUTH,0.0000,0.2000,0.0000,0.2000,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-090,G1,12,M0G-C-G1-12,M0G-F-G1-AN-090,B-048,SOURCE_CURRENT_PT,NORTH,0.0000,-0.2500,0.0000,0.2500,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-091,G1,12,M0G-C-G1-12,M0G-F-G1-AN-091,B-049,SOURCE_CURRENT_PT,SOUTH,-0.1116,0.2500,0.0000,0.2738,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-092,G1,13,M0G-C-G1-13,M0G-F-G1-AN-092,B-049,SOURCE_CURRENT_PT,NORTH,0.0893,-0.2000,0.0000,0.2190,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-093,G1,13,M0G-C-G1-13,M0G-F-G1-AN-093,B-050,SOURCE_CURRENT_PT,SOUTH,0.0000,0.2000,0.0000,0.2000,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-083,G1,14,M0G-C-G1-14,M0G-F-G1-AN-083,B-045,SOURCE_CURRENT_PT,EAST,0.2500,0.0000,0.0000,0.2500,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-085,G1,14,M0G-C-G1-14,M0G-F-G1-AN-085,B-046,SOURCE_CURRENT_PT,SOUTH,0.0000,0.2000,0.0000,0.2000,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-094,G1,14,M0G-C-G1-14,M0G-F-G1-AN-094,B-050,SOURCE_CURRENT_PT,NORTH,0.0000,-0.2000,0.0000,0.2000,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-060,G1,15,M0G-C-G1-15,M0G-F-G1-AN-060,B-031,SOURCE_CURRENT_PT,WEST,-0.2500,0.0000,0.0000,0.2500,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-061,G1,15,M0G-C-G1-15,M0G-F-G1-AN-061,B-032,SOURCE_CURRENT_PT,EAST,0.2500,0.0000,0.0000,0.2500,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-069,G1,15,M0G-C-G1-15,M0G-F-G1-AN-069,B-036,SOURCE_CURRENT_PT,SOUTH,0.0000,0.2000,0.0000,0.2000,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-086,G1,15,M0G-C-G1-15,M0G-F-G1-AN-086,B-046,SOURCE_CURRENT_PT,NORTH,0.0000,-0.2000,0.0000,0.2000,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-064,G1,16,M0G-C-G1-16,M0G-F-G1-AN-064,B-033,SOURCE_CURRENT_PT,WEST,-0.2500,0.0000,0.0000,0.2500,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-065,G1,16,M0G-C-G1-16,M0G-F-G1-AN-065,B-034,SOURCE_CURRENT_PT,EAST,0.2500,0.0000,0.0000,0.2500,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-070,G1,16,M0G-C-G1-16,M0G-F-G1-AN-070,B-036,SOURCE_CURRENT_PT,NORTH,0.0000,-0.2000,0.0000,0.2000,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-004,G1,17,M0G-C-G1-17,M0G-F-G1-AN-004,B-002,SOURCE_CURRENT_PT,WEST,-0.2500,0.0000,0.0000,0.2500,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-005,G1,17,M0G-C-G1-17,M0G-F-G1-AN-005,B-003,SOURCE_CURRENT_PT,EAST,0.2500,0.0000,0.0000,0.2500,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-103,G1,17,M0G-C-G1-17,M0G-F-G1-AN-103,B-055,SOURCE_CURRENT_PT,SOUTH,0.0138,0.2000,0.0000,0.2005,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-012,G1,18,M0G-C-G1-18,M0G-F-G1-AN-012,B-006,SOURCE_CURRENT_PT,WEST,-0.5500,0.0000,0.0000,0.5500,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-071,G1,18,M0G-C-G1-18,M0G-F-G1-AN-071,B-038,SOURCE_CURRENT_PT,EAST,0.5500,0.0000,0.0000,0.5500,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-099,G1,18,M0G-C-G1-18,M0G-F-G1-AN-099,B-053,SOURCE_CURRENT_PT,SOUTH,0.0144,0.1500,0.0000,0.1507,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-104,G1,18,M0G-C-G1-18,M0G-F-G1-AN-104,B-055,SOURCE_CURRENT_PT,NORTH,-0.0103,-0.1500,0.0000,0.1504,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-032,G1,19,M0G-C-G1-19,M0G-F-G1-AN-032,B-016,SOURCE_CURRENT_PT,WEST,-0.2000,0.0000,0.0000,0.2000,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-097,G1,19,M0G-C-G1-19,M0G-F-G1-AN-097,B-052,SOURCE_CURRENT_PT,SOUTH,0.0000,0.2500,0.0000,0.2500,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
M0G-RL-M0G-F-G1-AN-100,G1,19,M0G-C-G1-19,M0G-F-G1-AN-100,B-053,SOURCE_CURRENT_PT,NORTH,-0.0240,-0.2500,0.0000,0.2511,RIGID_JOINT_OFFSET,INF,INF,CURRENT_DERIVED_WITH_PROVENANCE_WATCH,ANALYTICAL_CONSTRAINT_NOT_ORDINARY_STRUCTURAL_MEMBER,Rigid analytical offset from support/column core to the distinct beam-support face incidence; same physical support and level; never merge face incidences by support_id.
