storey_id,order_id,support_id,carpentry_section_cm,carpentry_orientation_cm,carpentry_evidence_status,section_authority_mode,section_source,candidate_family_ids,selected_family_id,orientation_relation,longitudinal_long,monconi,stirrup_diameter_mm,stirrup_spacing_cm,binding_status,binding_basis,numeric_callout_state,conflicting_callout_family_ids,note
G1,I,1,40x50,40x50,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-01,T7-I-01,DIRECT,4x18+2x16,8x18,6,20,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G1,I,2,50x40,50x40,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-02,T7-I-02,DIRECT,4x18+2x16,8x18,6,20,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G1,I,3,60x40,60x40,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,,,NA,,,,,UNBOUND_NO_SECTION_FAMILY,CARPENTERIA_SECTION_HAS_NO_COMPATIBLE_FAMILY_IN_ORDER,NONE,,Carpenteria G1 gives 60x40; no 60x40 I-order family is present in current TAV-07 transcription.
G1,I,4,40x50,40x50,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-01,T7-I-01,DIRECT,4x18+2x16,8x18,6,20,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G1,I,5,40x50,40x50,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-01,T7-I-01,DIRECT,4x18+2x16,8x18,6,20,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G1,I,6,50x40,50x40,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-02,T7-I-02,DIRECT,4x18+2x16,8x18,6,20,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G1,I,7,50x40,50x40,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-02,T7-I-02,DIRECT,4x18+2x16,8x18,6,20,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G1,I,8,40x50,40x50,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-01,T7-I-01,DIRECT,4x18+2x16,8x18,6,20,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G1,I,9,40x50,40x50,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-01,T7-I-01,DIRECT,4x18+2x16,8x18,6,20,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
G1,I,10,50x40,50x40,DOC,CARPENTRY_DIRECT_OR_CROSS_VALIDATED,data/canonical/PT_PILLAR_SECTIONS_HIRES_CURRENT_v2.csv,T7-I-02,T7-I-02,DIRECT,4x18+2x16,8x18,6,20,BOUND_SECTION_UNIQUE,CARPENTERIA_SECTION_FIRST+UNIQUE_ORDER_FAMILY,NONE,,
