support_id,storey_id,source_family_id,section_cm,longitudinal_long,monconi,stirrup_diameter_mm,stirrup_spacing_cm,source_numbering,evidence_status,validation_state,note
2,G5,T7-V-01,40x40,4x14,4x16,6,15,DIRECT_NUMBERED,DOC,DIRECT_CURRENT_G5_BINDING,"V-order TAV-07A family; support presence independently DOC on TAV-06S."
3,G5,T7-V-01,40x40,4x14,4x16,6,15,DIRECT_NUMBERED,DOC,DIRECT_CURRENT_G5_BINDING,"V-order TAV-07A family; support presence independently DOC on TAV-06S."
4,G5,T7-V-01,40x40,4x14,4x16,6,15,DIRECT_NUMBERED,DOC,DIRECT_CURRENT_G5_BINDING,"V-order TAV-07A family; support presence independently DOC on TAV-06S."
5,G5,T7-V-01,40x40,4x14,4x16,6,15,DIRECT_NUMBERED,DOC,DIRECT_CURRENT_G5_BINDING,"V-order TAV-07A family; support presence independently DOC on TAV-06S."
6,G5,T7-V-01,40x40,4x14,4x16,6,15,DIRECT_NUMBERED,DOC,DIRECT_CURRENT_G5_BINDING,"V-order TAV-07A family; support presence independently DOC on TAV-06S."
7,G5,T7-V-01,40x40,4x14,4x16,6,15,DIRECT_NUMBERED,DOC,DIRECT_CURRENT_G5_BINDING,"V-order TAV-07A family; support presence independently DOC on TAV-06S."
10,G5,T7-V-02,30x40,4x14,4x16,6,15,DIRECT_NUMBERED,DOC,DIRECT_CURRENT_G5_BINDING,"V-order TAV-07A family; support presence independently DOC on TAV-06S."
11,G5,T7-V-02,30x40,4x14,4x16,6,15,DIRECT_NUMBERED,DOC,DIRECT_CURRENT_G5_BINDING,"V-order TAV-07A family; support presence independently DOC on TAV-06S."
12,G5,T7-V-02,30x40,4x14,4x16,6,15,DIRECT_NUMBERED,DOC,DIRECT_CURRENT_G5_BINDING,"V-order TAV-07A family; support presence independently DOC on TAV-06S."
13,G5,T7-V-02,30x40,4x14,4x16,6,15,DIRECT_NUMBERED,DOC,DIRECT_CURRENT_G5_BINDING,"V-order TAV-07A family; support presence independently DOC on TAV-06S."
14,G5,T7-V-02,30x40,4x14,4x16,6,15,DIRECT_NUMBERED,DOC,DIRECT_CURRENT_G5_BINDING,"V-order TAV-07A family; support presence independently DOC on TAV-06S."
15,G5,T7-V-02,30x40,4x14,4x16,6,15,DIRECT_NUMBERED,DOC,DIRECT_CURRENT_G5_BINDING,"V-order TAV-07A family; support presence independently DOC on TAV-06S."
18,G5,T7-V-02,30x40,4x14,4x16,6,15,DIRECT_NUMBERED,DOC,DIRECT_CURRENT_G5_BINDING,"V-order TAV-07A family; support presence independently DOC on TAV-06S."
19,G5,T7-V-01,40x40,4x14,4x16,6,15,DIRECT_NUMBERED,DOC,DIRECT_CURRENT_G5_BINDING,"V-order TAV-07A family; support presence independently DOC on TAV-06S."
20,G5,T7-V-01,40x40,4x14,4x16,6,15,DIRECT_NUMBERED,DOC,DIRECT_CURRENT_G5_BINDING,"V-order TAV-07A family; support presence independently DOC on TAV-06S."
21,G5,T7-V-02,30x40,4x14,4x16,6,15,DIRECT_NUMBERED,DOC,DIRECT_CURRENT_G5_BINDING,"V-order TAV-07A family; support presence independently DOC on TAV-06S."
22,G5,T7-V-01,40x40,4x14,4x16,6,15,DIRECT_NUMBERED,DOC,DIRECT_CURRENT_G5_BINDING,"V-order TAV-07A family; support presence independently DOC on TAV-06S."
22',G5,T7-V-01,40x40,4x14,4x16,6,15,DIRECT_NUMBERED,DOC,DIRECT_CURRENT_G5_BINDING,"Distinct 22-prime; V-order TAV-07A family; support presence independently DOC on TAV-06S."
23,G5,T7-V-02,30x40,4x14,4x16,6,15,DIRECT_NUMBERED,DOC,DIRECT_CURRENT_G5_BINDING,"V-order TAV-07A family; support presence independently DOC on TAV-06S."
25,G5,T7-V-01,40x40,4x14,4x16,6,15,DIRECT_NUMBERED,DOC,DIRECT_CURRENT_G5_BINDING,"V-order TAV-07A family; support presence independently DOC on TAV-06S."
26,G5,T7-V-02,30x40,4x14,4x16,6,15,DIRECT_NUMBERED,DOC,DIRECT_CURRENT_G5_BINDING,"V-order TAV-07A family; support presence independently DOC on TAV-06S."
27,G5,T7-V-01,40x40,4x14,4x16,6,15,DIRECT_NUMBERED,DOC,DIRECT_CURRENT_G5_BINDING,"V-order TAV-07A family; support presence independently DOC on TAV-06S."
28,G5,T7-V-01,40x40,4x14,4x16,6,15,DIRECT_NUMBERED,DOC,DIRECT_CURRENT_G5_BINDING,"V-order TAV-07A family; support presence independently DOC on TAV-06S."
29,G5,T7-V-02,30x40,4x14,4x16,6,15,DIRECT_NUMBERED,DOC,DIRECT_CURRENT_G5_BINDING,"V-order TAV-07A family; support presence independently DOC on TAV-06S."
30,G5,T7-V-02,30x40,4x14,4x16,6,15,DIRECT_NUMBERED,DOC,DIRECT_CURRENT_G5_BINDING,"V-order TAV-07A family; support presence independently DOC on TAV-06S."
