schedule_id,source_id,source_group,level_scope,drawn_sequence,g2_member_ids,g3_member_ids,section_cm,component,bar_count,diameter_mm,shape_class,length_or_segments_cm,position_or_role,stirrup_spacing_cm,evidence_status,binding_status,source_locator,note
T34-G02-ST,TAV-034A,T34-G02,G2+G3,"12-11-10-9 | 13-14-15-16",G2-B016;G2-B015;G2-B014;G2-B017;G2-B018;G2-B019,G3-B016;G3-B015;G3-B014;G3-B017;G3-B018;G3-B019,140x20,STIRRUP,,8,CLOSED_RECTANGULAR,,TRANSVERSE,15,DOC,DIRECT_GROUP_BINDING,TAV034A P03,"Direct section sketch 140x20 with staffe Ø8/15 at the end of the G02 scheme; G2/G3 carpenteria independently confirms 140x20 for all mapped spans."
T34-G02-L01,TAV-034A,T34-G02,G2+G3,"12-11-10-9 | 13-14-15-16",G2-B016;G2-B015;G2-B014;G2-B017;G2-B018;G2-B019,G3-B016;G3-B015;G3-B014;G3-B017;G3-B018;G3-B019,140x20,LONGITUDINAL,7,14,STRAIGHT,900,LONG_CONTINUOUS_A,,DOC,DIRECT_GROUP_BINDING,TAV034A P02-P03,"Direct source 7Ø14 length 900 cm."
T34-G02-L02,TAV-034A,T34-G02,G2+G3,"12-11-10-9 | 13-14-15-16",G2-B016;G2-B015;G2-B014;G2-B017;G2-B018;G2-B019,G3-B016;G3-B015;G3-B014;G3-B017;G3-B018;G3-B019,140x20,LONGITUDINAL,7,14,STRAIGHT,550,LONG_CONTINUOUS_B,,DOC,DIRECT_GROUP_BINDING,TAV034A P03,"Direct source 7Ø14 length 550 cm."
T34-G02-L03,TAV-034A,T34-G02,G2+G3,"12-11-10-9 | 13-14-15-16",G2-B016;G2-B015;G2-B014;G2-B017;G2-B018;G2-B019,G3-B016;G3-B015;G3-B014;G3-B017;G3-B018;G3-B019,140x20,LONGITUDINAL,7,14,STRAIGHT,900,LONG_CONTINUOUS_C,,DOC,DIRECT_GROUP_BINDING,TAV034A P02-P03,"Lower/parallel direct 7Ø14 length 900 cm."
T34-G02-L04,TAV-034A,T34-G02,G2+G3,"12-11-10-9 | 13-14-15-16",G2-B016;G2-B015;G2-B014;G2-B017;G2-B018;G2-B019,G3-B016;G3-B015;G3-B014;G3-B017;G3-B018;G3-B019,140x20,LONGITUDINAL,7,14,STRAIGHT,550,LONG_CONTINUOUS_D,,DOC,DIRECT_GROUP_BINDING,TAV034A P03,"Lower/parallel direct 7Ø14 length 550 cm."
T34-G02-E16L1,TAV-034A,T34-G02,G2+G3,"12-11-10-9 | 13-14-15-16",G2-B016;G2-B015;G2-B014;G2-B017;G2-B018;G2-B019,G3-B016;G3-B015;G3-B014;G3-B017;G3-B018;G3-B019,140x20,LONGITUDINAL,2,16,END_BENT,"90;23_DIAG",LEFT_END_A,,DOC,DIRECT_GROUP_BINDING,TAV034A P02,"Direct terminal 2Ø16 piece."
T34-G02-B16A,TAV-034A,T34-G02,G2+G3,"12-11-10-9 | 13-14-15-16",G2-B016;G2-B015;G2-B014;G2-B017;G2-B018;G2-B019,G3-B016;G3-B015;G3-B014;G3-B017;G3-B018;G3-B019,140x20,LONGITUDINAL,2,16,BENT_MULTI_SPAN,"DIAG_UNLABELED;125(80+45);23_DIAG;405;DIAG_UNLABELED;125(45+80);23_DIAG",BENT_MAIN_A,,DOC_WITH_READABILITY_WATCH,DIRECT_GROUP_BINDING,TAV034A P02-P03,"Both rises adjacent to the 405 lower segment are drawn; only labelled dimensions are recorded."
T34-G02-E16R1,TAV-034A,T34-G02,G2+G3,"12-11-10-9 | 13-14-15-16",G2-B016;G2-B015;G2-B014;G2-B017;G2-B018;G2-B019,G3-B016;G3-B015;G3-B014;G3-B017;G3-B018;G3-B019,140x20,LONGITUDINAL,2,16,END_BENT,"23_DIAG;95",RIGHT_END_A,,DOC,DIRECT_GROUP_BINDING,TAV034A P03,"Direct terminal 2Ø16 piece."
T34-G02-E16L2,TAV-034A,T34-G02,G2+G3,"12-11-10-9 | 13-14-15-16",G2-B016;G2-B015;G2-B014;G2-B017;G2-B018;G2-B019,G3-B016;G3-B015;G3-B014;G3-B017;G3-B018;G3-B019,140x20,LONGITUDINAL,2,16,END_BENT,"120;23_DIAG",LEFT_END_B,,DOC,DIRECT_GROUP_BINDING,TAV034A P02,"Direct terminal 2Ø16 piece."
T34-G02-B16B,TAV-034A,T34-G02,G2+G3,"12-11-10-9 | 13-14-15-16",G2-B016;G2-B015;G2-B014;G2-B017;G2-B018;G2-B019,G3-B016;G3-B015;G3-B014;G3-B017;G3-B018;G3-B019,140x20,LONGITUDINAL,2,16,BENT_MULTI_SPAN,"DIAG_UNLABELED;125(60+65);23_DIAG;370;DIAG_UNLABELED;125(65+60);23_DIAG",BENT_MAIN_B,,DOC_WITH_READABILITY_WATCH,DIRECT_GROUP_BINDING,TAV034A P02-P03,"Only explicit source dimensions are encoded; unlabelled rises are not normalized to 23."
T34-G02-E16R2,TAV-034A,T34-G02,G2+G3,"12-11-10-9 | 13-14-15-16",G2-B016;G2-B015;G2-B014;G2-B017;G2-B018;G2-B019,G3-B016;G3-B015;G3-B014;G3-B017;G3-B018;G3-B019,140x20,LONGITUDINAL,2,16,END_BENT,"23_DIAG;70",RIGHT_END_B,,DOC,DIRECT_GROUP_BINDING,TAV034A P03,"Direct terminal 2Ø16 piece."
T34-G02-B16C1,TAV-034A,T34-G02,G2+G3,"12-11-10-9 | 13-14-15-16",G2-B016;G2-B015;G2-B014;G2-B017;G2-B018;G2-B019,G3-B016;G3-B015;G3-B014;G3-B017;G3-B018;G3-B019,140x20,LONGITUDINAL,2,16,BENT,"60;23_DIAG;175;DIAG_UNLABELED;125(40+85);23_DIAG",BENT_LOCAL_C1,,DOC_WITH_READABILITY_WATCH,DIRECT_GROUP_BINDING,TAV034A P02,"Direct source dimensions; rise after 175 is unlabelled."
T34-G02-B16C2,TAV-034A,T34-G02,G2+G3,"12-11-10-9 | 13-14-15-16",G2-B016;G2-B015;G2-B014;G2-B017;G2-B018;G2-B019,G3-B016;G3-B015;G3-B014;G3-B017;G3-B018;G3-B019,140x20,LONGITUDINAL,2,16,BENT,"23_DIAG;140(85+45);DIAG_UNLABELED;360;23_DIAG;60",BENT_LOCAL_C2,,DOC_WITH_READABILITY_WATCH,DIRECT_GROUP_BINDING,TAV034A P03,"Direct source dimensions; descending diagonal after 140 is unlabelled."
T34-G02-B14A,TAV-034A,T34-G02,G2+G3,"12-11-10-9 | 13-14-15-16",G2-B016;G2-B015;G2-B014;G2-B017;G2-B018;G2-B019,G3-B016;G3-B015;G3-B014;G3-B017;G3-B018;G3-B019,140x20,LONGITUDINAL,4,14,BENT,"23_DIAG;220(110+110);23_DIAG",INTERNAL_BENT_14,,DOC,DIRECT_GROUP_BINDING,TAV034A P03,"Direct 4Ø14 bent piece."
T34-G02-E14R,TAV-034A,T34-G02,G2+G3,"12-11-10-9 | 13-14-15-16",G2-B016;G2-B015;G2-B014;G2-B017;G2-B018;G2-B019,G3-B016;G3-B015;G3-B014;G3-B017;G3-B018;G3-B019,140x20,LONGITUDINAL,4,14,STRAIGHT,120,RIGHT_LOCAL_14,,DOC,DIRECT_GROUP_BINDING,TAV034A P03,"Direct source 4Ø14 length 120 cm."
T34-G02-S16L,TAV-034A,T34-G02,G2+G3,"12-11-10-9 | 13-14-15-16",G2-B016;G2-B015;G2-B014;G2-B017;G2-B018;G2-B019,G3-B016;G3-B015;G3-B014;G3-B017;G3-B018;G3-B019,140x20,LONGITUDINAL,5,16,STRAIGHT,130,LEFT_LOCAL_16,,DOC,DIRECT_GROUP_BINDING,TAV034A P02,"Direct source 5Ø16 length 130 cm."
T34-G02-S18,TAV-034A,T34-G02,G2+G3,"12-11-10-9 | 13-14-15-16",G2-B016;G2-B015;G2-B014;G2-B017;G2-B018;G2-B019,G3-B016;G3-B015;G3-B014;G3-B017;G3-B018;G3-B019,140x20,LONGITUDINAL,7,18,STRAIGHT,"100;100;TOTAL_200",INTERNAL_LOCAL_18,,DOC,DIRECT_GROUP_BINDING,TAV034A P02-P03,"Direct source 7Ø18 with 100+100=200 cm."
T34-G02-S16R,TAV-034A,T34-G02,G2+G3,"12-11-10-9 | 13-14-15-16",G2-B016;G2-B015;G2-B014;G2-B017;G2-B018;G2-B019,G3-B016;G3-B015;G3-B014;G3-B017;G3-B018;G3-B019,140x20,LONGITUDINAL,5,16,STRAIGHT,130,RIGHT_LOCAL_16,,DOC,DIRECT_GROUP_BINDING,TAV034A P03,"Direct source 5Ø16 length 130 cm."
