row_id,group_id,source_id,source_locator,bar_role,bar_quantity,bar_diameter_mm,shape_or_length,segment_dimensions_cm,evidence_status,binding_state,note
T5A-G01-R01,T5A-G01,TAV-05A,P02,STIRRUPS,,6,spacing_20cm,,DOC_DIRECT,GROUP_BOUND,"Section sketch 25x70; source note staffe phi6/20."
T5A-G01-R02,T5A-G01,TAV-05A,P02,STRAIGHT_BAR,2,12,L=570,,DOC_DIRECT,GROUP_BOUND,"Right-hand straight bar directly labelled 2phi12 and 570."
T5A-G01-R03,T5A-G01,TAV-05A,P02,BENT_TOP_BAR,2,14,BENT,"diag93;top140+120=260;diag93",DOC_DIRECT,GROUP_BOUND,"Central support bent bar; all written segment dimensions preserved."
T5A-G01-R04,T5A-G01,TAV-05A,P02,SHORT_STRAIGHT_BAR,2,12,L=300,"150+150",DOC_DIRECT,GROUP_BOUND,"One support-region straight bar."
T5A-G01-R05,T5A-G01,TAV-05A,P02,SHORT_STRAIGHT_BAR,2,12,L=300,"150+150",DOC_DIRECT,GROUP_BOUND,"Second support-region straight bar."
T5A-G01-R06,T5A-G01,TAV-05A,P02,STRAIGHT_BAR,UNKNOWN,UNKNOWN,L=1040,,DOC_GEOMETRY_LABEL_CLIPPED,GROUP_BOUND_WATCH,"Length 1040 is directly readable; quantity/diameter label is clipped in this panel and is not inferred."
T5A-G02-R01,T5A-G02,TAV-05A,P04,STIRRUPS,,8,spacing_15cm,,DOC_DIRECT,GROUP_BOUND,"Section sketch 120x20; source note staffe phi8/15."
T5A-G02-R02,T5A-G02,TAV-05A,P03,STRAIGHT_BAR,6,14,L=930,,DOC_DIRECT,GROUP_BOUND,"Upper continuous bar directly labelled 6phi14, 930."
T5A-G02-R03,T5A-G02,TAV-05A,P03,STRAIGHT_BAR,6,14,L=930,,DOC_DIRECT,GROUP_BOUND,"Lower continuous bar directly labelled 6phi14, 930."
T5A-G02-R04,T5A-G02,TAV-05A,P03,BENT_BAR,2,14,BENT,"55;diag23;180;rise;40+90=130;diag23",DOC_DIRECT,GROUP_BOUND,"Left/central bent bar; only written dimensions transcribed."
T5A-G02-R05,T5A-G02,TAV-05A,P03,BENT_BAR,2,14,BENT,"diag23;90+45=135;drop;340",DOC_DIRECT,GROUP_BOUND,"Right-side continuation as drawn; no unlabelled diagonal length invented."
T5A-G02-R06,T5A-G02,TAV-05A,P03,BENT_BAR,2,14,BENT,"60+50=110;diag23;395;rise50+85=135;diag23",DOC_DIRECT,GROUP_BOUND,"Continuous sagomato with explicit source dimensions."
T5A-G02-R07,T5A-G02,TAV-05A,P03,BENT_BAR,2,14,BENT,"80+70=150;diag23;340;rise70+65=135;diag23",DOC_DIRECT,GROUP_BOUND,"Continuous sagomato with explicit source dimensions."
T5A-G02-R08,T5A-G02,TAV-05A,P03,BENT_TOP_BAR,3,14,BENT,"diag23;110+110=220;diag23",DOC_DIRECT,GROUP_BOUND,"Support-region bent bar."
T5A-G02-R09,T5A-G02,TAV-05A,P03,BENT_TOP_BAR,2,14,BENT,"diag23;110+110=220;diag23",DOC_DIRECT,GROUP_BOUND,"Second support-region bent bar."
T5A-G02-R10,T5A-G02,TAV-05A,P03,SHORT_STRAIGHT_BAR,4,16,L=130,,DOC_DIRECT,GROUP_BOUND,"Short support bar."
T5A-G02-R11,T5A-G02,TAV-05A,P03,SHORT_STRAIGHT_BAR,4,16,L=200,"100+100",DOC_DIRECT,GROUP_BOUND,"Central support bar."
T5A-G02-R12,T5A-G02,TAV-05A,P03,SHORT_STRAIGHT_BAR,4,16,L=200,"100+100",DOC_DIRECT,GROUP_BOUND,"Right support bar."
T5A-G03-R01,T5A-G03,TAV-05A,P04-P05,STIRRUPS,,6,spacing_20cm,,DOC_DIRECT,GROUP_BOUND_MIXED_SECTION_WATCH,"Source shows staffe phi6/20 adjacent to the central paired schedule. Section/member projection remains mixed because the final 20-21 portion belongs to the stair subsystem."
T5A-G03-R02,T5A-G03,TAV-05A,P04-P05,STRAIGHT_BAR,2,12,L=1060,,DOC_DIRECT,GROUP_BOUND,"Upper long bar directly labelled 2phi12, 1060."
T5A-G03-R03,T5A-G03,TAV-05A,P05,STRAIGHT_BAR,3,12,L=495,,DOC_DIRECT,GROUP_BOUND,"Upper/right bar directly labelled 3phi12, 495."
T5A-G03-R04,T5A-G03,TAV-05A,P04-P05,STRAIGHT_BAR,2,12,L=1030,,DOC_DIRECT,GROUP_BOUND,"Lower long bar directly labelled 2phi12, 1030."
T5A-G03-R05,T5A-G03,TAV-05A,P05,STRAIGHT_BAR,3,12,L=320,,DOC_DIRECT,GROUP_BOUND,"Lower/right bar directly labelled 3phi12, 320."
T5A-G03-R06,T5A-G03,TAV-05A,P04-P05,BENT_BAR,2,12,BENT,"65;diag93;230;rise;60+90=150;diag93",DOC_DIRECT,GROUP_BOUND,"First source-labelled sagomato; only explicit dimensions retained."
T5A-G03-R07,T5A-G03,TAV-05A,P05,BENT_BAR,2,14,BENT,"diag93;90+120+40=250;diag23;160;rise;70",DOC_DIRECT,GROUP_BOUND_MIXED_SECTION_WATCH,"Right-side heavier sagomato; kept at group level because its station/member transition approaches the stair-zone continuation."
T5A-G03-R08,T5A-G03,TAV-05A,P04-P05,BENT_BAR,2,14,BENT,"diag93;110+50=160;diag93;165;rise;50+120+60=230;diag23;90",DOC_DIRECT,GROUP_BOUND,"Continuous sagomato with explicit dimensions."
T5A-G03-R09,T5A-G03,TAV-05A,P04-P05,SHORT_STRAIGHT_BAR,2,12,L=260,"130+130",DOC_DIRECT,GROUP_BOUND,"Support-region straight bar."
T5A-G03-R10,T5A-G03,TAV-05A,P05,SHORT_STRAIGHT_BAR,2,12,L=310,"130+180",DOC_DIRECT,GROUP_BOUND_MIXED_SECTION_WATCH,"Right support-region bar; retained at group level, not assigned to an ordinary 20-21 beam."
T5A-G04-R01,T5A-G04,TAV-05A,P06-P07,STIRRUPS,,6,spacing_15cm,,DOC_DIRECT,GROUP_BOUND,"Section 25x70; staffe phi6/15 shown adjacent to the sequence."
T5A-G04-R02,T5A-G04,TAV-05A,P06-P07,STRAIGHT_BAR,2,12,L=1160,,DOC_DIRECT,GROUP_BOUND,"Upper continuous bar 2phi12, L=1160."
T5A-G04-R03,T5A-G04,TAV-05A,P06-P07,STRAIGHT_BAR,2,12,L=1160,,DOC_DIRECT,GROUP_BOUND,"Lower continuous bar 2phi12, L=1160."
T5A-G04-R04,T5A-G04,TAV-05A,P06,BENT_BAR,2,12,BENT,"80;diag93;380;rise93;50+85=135",DOC_DIRECT,GROUP_BOUND,"Only directly written dimensions transcribed; continuation beyond the labelled plateau remains source geometry."
T5A-G04-R05,T5A-G04,TAV-05A,P06-P07,BENT_BAR,2,12,BENT,"120;diag93;rise;90+45=135;diag93",DOC_DIRECT,GROUP_BOUND,"Second sagomato; unlabelled connecting length not invented."
T5A-G04-R06,T5A-G04,TAV-05A,P07,BENT_BAR,2,14,BENT,"diag93;90+45=135;diag93;275;rise93;70",DOC_DIRECT,GROUP_BOUND,"Main lower/central sagomato with right-end 2phi14 label."
T5A-G04-R07,T5A-G04,TAV-05A,P06,SHORT_STRAIGHT_BAR,2,12,L=150,,DOC_DIRECT,GROUP_BOUND,"Left support-region bar."
T5A-G04-R08,T5A-G04,TAV-05A,P07,SHORT_STRAIGHT_BAR,2,12,L=150,,DOC_DIRECT,GROUP_BOUND,"Right support-region bar."
T5A-G05-R01,T5A-G05,TAV-05A,P07-P08,STIRRUPS,,6,spacing_15cm,,DOC_DIRECT,GROUP_BOUND,"Section 25x70; source note staffe phi6/15."
T5A-G05-R02,T5A-G05,TAV-05A,P07-P08,STRAIGHT_BAR,2,12,L=1145,,DOC_DIRECT,GROUP_BOUND,"Upper continuous bar directly labelled 2phi12; length 1145."
T5A-G05-R03,T5A-G05,TAV-05A,P07-P08,STRAIGHT_BAR,2,12,L=1140,,DOC_DIRECT,GROUP_BOUND,"Lower continuous bar directly labelled 2phi12; length 1140."
T5A-G05-R04,T5A-G05,TAV-05A,P07-P08,BENT_BAR,2,12,BENT,"75;diag93;310;rise93;50+90=140;fall;...;rise93;110",DOC_DIRECT_PARTIAL,GROUP_BOUND_WATCH,"Written segments retained; the intermediate fall/continuation is graphically clear but not fully dimensioned and is not completed numerically."
T5A-G05-R05,T5A-G05,TAV-05A,P07-P08,BENT_BAR,2,12,BENT,"110;diag93;rise;90+50=140;diag93;325;rise93;75",DOC_DIRECT,GROUP_BOUND,"Second continuous sagomato with explicit source dimensions."
T5A-G05-R06,T5A-G05,TAV-05A,P07-P08,SHORT_STRAIGHT_BAR,2,12,L=150,,DOC_DIRECT,GROUP_BOUND,"Support-region straight bar."
T5A-G06-R01,T5A-G06,TAV-05A,P09,STIRRUPS,,8,spacing_15cm,,DOC_DIRECT,GROUP_BOUND,"Section 120x20; staffe phi8/15 directly shown."
T5A-G06-R02,T5A-G06,TAV-05A,P08-P09,STRAIGHT_BAR,6,14,L=1160,,DOC_DIRECT,GROUP_BOUND,"Upper continuous bar; quantity/diameter at left of P08, length 1160 on P09."
T5A-G06-R03,T5A-G06,TAV-05A,P08-P09,STRAIGHT_BAR,5,14,L=1160,,DOC_DIRECT,GROUP_BOUND,"Lower continuous bar directly labelled 5phi14 at P08 and length 1160 on P09."
T5A-G06-R04,T5A-G06,TAV-05A,P08-P09,BENT_BAR,2,14,BENT,"55;diag23;100;rise40+65=105;fall;65+50=105;diag23;375;rise;70",DOC_DIRECT,GROUP_BOUND,"Only written dimensions transcribed; intermediate unlabelled slopes remain geometric only."
T5A-G06-R05,T5A-G06,TAV-05A,P08-P09,BENT_BAR,2,14,BENT,"75;diag23;rise60+45=105;diag23;220;rise45+70=115;diag23;90",DOC_DIRECT,GROUP_BOUND,"Continuous sagomato across support stations."
T5A-G06-R06,T5A-G06,TAV-05A,P09,BENT_TOP_BAR,2,14,BENT,"diag23;85+90=175;diag23",DOC_DIRECT,GROUP_BOUND,"Support-region top bent bar."
T5A-G06-R07,T5A-G06,TAV-05A,P09,SHORT_STRAIGHT_BAR,5,16,L=200,"100+100",DOC_DIRECT,GROUP_BOUND,"Central support bar."
T5A-G06-R08,T5A-G06,TAV-05A,P09,SHORT_STRAIGHT_BAR,5,16,L=130,,DOC_DIRECT,GROUP_BOUND,"Right support bar."
T5A-G07-R01,T5A-G07,TAV-05A,P10,STIRRUPS,,6,spacing_20cm,,DOC_DIRECT,GROUP_BOUND,"Section 25x70; staffe phi6/20 directly shown."
T5A-G07-R02,T5A-G07,TAV-05A,P09-P10,STRAIGHT_BAR,2,12,L=555,,DOC_DIRECT,GROUP_BOUND,"Right upper straight bar directly labelled 2phi12 and 555."
T5A-G07-R03,T5A-G07,TAV-05A,P10,BENT_BAR,2,16,BENT,"65;diag93;165;rise93;50+65=115;fall;65+50=115;diag93;240;rise;65",DOC_DIRECT,GROUP_BOUND,"Main heavy sagomato; right-end label 2phi16 is direct. Left label is preserved through continuous drawn line."
T5A-G07-R04,T5A-G07,TAV-05A,P09-P10,BENT_BAR,2,12,BENT,"100;diag93;rise85+35=120;diag93;140;rise35+90=125;diag93;105",DOC_DIRECT,GROUP_BOUND,"Second continuous sagomato; source label 2phi12 visible at internal station/right end."
T5A-G07-R05,T5A-G07,TAV-05A,P10,SHORT_STRAIGHT_BAR,2,12,L=260,"130+130",DOC_DIRECT,GROUP_BOUND,"First support-region straight bar."
T5A-G07-R06,T5A-G07,TAV-05A,P10,SHORT_STRAIGHT_BAR,2,12,L=260,"130+130",DOC_DIRECT,GROUP_BOUND,"Second support-region straight bar."
T5A-G07-R07,T5A-G07,TAV-05A,P10,STRAIGHT_BAR,UNKNOWN,UNKNOWN,L=865,,DOC_GEOMETRY_LABEL_NOT_IN_CURRENT_CROP,GROUP_BOUND_WATCH,"Length 865 directly readable; quantity/diameter not promoted from cropped view."
T5A-G07-R08,T5A-G07,TAV-05A,P10,STRAIGHT_BAR,2,12,L=555,,DOC_DIRECT,GROUP_BOUND,"Lower/right straight bar directly labelled 2phi12, 555."
