foundation_member_id,from_foundation_node_id,to_foundation_node_id,z_from_symbol,z_to_symbol,numeric_z_state,topology_source,current_state,note
FND-B001,FND-N-001,FND-N-002,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B002,FND-N-002,FND-N-003,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B003,FND-N-003,FND-N-004,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B004,FND-N-005,FND-N-006,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B005,FND-N-006,FND-N-007,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B006,FND-N-007,FND-N-008,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B007,FND-N-009,FND-N-010,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B008,FND-N-010,FND-N-011,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B009,FND-N-011,FND-N-012,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B010,FND-N-012,FND-N-013,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B011,FND-N-013,FND-N-014,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B012,FND-N-014,FND-N-015,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B013,FND-N-015,FND-N-016,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B014,FND-N-017,FND-N-018,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
