member_id,from_support_id,to_support_id,source_basis,source_candidate_id,source_group,section_family_candidate,topology_evidence,reinforcement_binding_status,promotion_state,note
FND-M001,1,2,DOC_TAV01A_PLUS_TAV01S,FND-C001,F1A-G01,FND-SEC-A,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M002,2,3,DOC_TAV01A_PLUS_TAV01S,FND-C002,F1A-G01,FND-SEC-A,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M003,3,4,DOC_TAV01A_PLUS_TAV01S,FND-C003,F1A-G01,FND-SEC-A,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M004,9,10,DOC_TAV01A_PLUS_TAV01S,FND-C004,F1A-G02,FND-SEC-A,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M005,10,11,DOC_TAV01A_PLUS_TAV01S,FND-C005,F1A-G02,FND-SEC-A,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M006,11,12,DOC_TAV01A_PLUS_TAV01S,FND-C006,F1A-G02,FND-SEC-A,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M007,12,13,DOC_TAV01A_PLUS_TAV01S,FND-C007,F1A-G02,FND-SEC-A,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M008,13,14,DOC_TAV01A_PLUS_TAV01S,FND-C008,F1A-G02,FND-SEC-A,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M009,14,15,DOC_TAV01A_PLUS_TAV01S,FND-C009,F1A-G02,FND-SEC-A,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M010,15,16,DOC_TAV01A_PLUS_TAV01S,FND-C010,F1A-G02,FND-SEC-A,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M011,13,21,DOC_TAV01A_PLUS_TAV01S,FND-C011,F1A-G03,FND-SEC-A,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M012,21,26,DOC_TAV01A_PLUS_TAV01S,FND-C012,F1A-G03,FND-SEC-A,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
FND-M013,26,29,DOC_TAV01A_PLUS_TAV01S,FND-C013,F1A-G03,FND-SEC-A,DOC,DIRECT_ARMATURE_BINDING,CURRENT_TOPOLOGY,
