entity_id,entity_kind,support_id,from_support_id,to_support_id,global_support_identity,x_global_m,y_global_m,z_numeric_m,z_symbol,topology_authority,topology_regression_state,property_binding_class,source_group,section_family,historical_concrete_reference,current_concrete_strength,historical_steel_grade,solver_material_ready,numeric_load_ready,current_geotechnics_ready,validation_state,note
FND-P07-N001,SUPPORT,1,,,1,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N002,SUPPORT,2,,,2,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N003,SUPPORT,3,,,3,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N004,SUPPORT,4,,,4,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N005,SUPPORT,5,,,5,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N006,SUPPORT,6,,,6,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N007,SUPPORT,7,,,7,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N008,SUPPORT,8,,,8,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N009,SUPPORT,9,,,9,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
FND-P07-N010,SUPPORT,10,,,10,ND,ND,ND,ZF_COMMON,P07_PRIMARY_IDENTIFIER,SUPPORT_ID_REVALIDATED,,,,R_PRIME_300_kg_cm2_DOC_HISTORICAL_ONLY,ND,FeB38k_DOC_HISTORICAL,NO,NO,NO,CURRENT_WITH_WATCH,Foundation support identity bound to global support label; P07 does not authorize Cartesian XY. Common foundation plane is symbolic only.
