foundation_node_id,support_id,x_global_m,y_global_m,z_symbol,z_numeric_m,xy_source,z_evidence,current_state,note
FND-N-001,1,18.0000,0.0000,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Numeric Z intentionally ND."
FND-N-002,2,18.0000,4.7000,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Numeric Z intentionally ND."
FND-N-003,3,18.0000,9.8000,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Numeric Z intentionally ND."
FND-N-004,4,18.0000,13.9500,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Numeric Z intentionally ND."
FND-N-005,5,16.1000,13.9500,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Numeric Z intentionally ND."
FND-N-006,6,16.1000,18.1000,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Numeric Z intentionally ND."
FND-N-007,7,16.1000,23.4000,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Numeric Z intentionally ND."
FND-N-008,8,16.1000,28.1000,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Numeric Z intentionally ND."
FND-N-009,9,12.4000,0.0000,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Numeric Z intentionally ND."
FND-N-010,10,12.4000,4.7000,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Numeric Z intentionally ND."
FND-N-011,11,12.4000,9.8000,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Numeric Z intentionally ND."
FND-N-012,12,12.4000,13.0725,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Numeric Z intentionally ND."
FND-N-013,13,11.4500,15.2000,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Numeric Z intentionally ND."
FND-N-014,14,11.4500,18.1000,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Numeric Z intentionally ND."
FND-N-015,15,11.4500,23.4000,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Numeric Z intentionally ND."
FND-N-016,16,11.4500,28.1000,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Numeric Z intentionally ND."
FND-N-017,17,6.9000,0.0000,ZF_COMMON,,PT_MASTER_CURRENT.csv,DOC_SECTION_CROSS_VALIDATED,CURRENT_SYMBOLIC_3D,"Numeric Z intentionally ND."
