candidate_id,from_support_id,to_support_id,tav01a_status,tav01s_status,binding_state,physical_member_projection,section_family_candidate,promotion_state,evidence_status,note
FND-C001,1,2,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,1-2,FND-SEC-A,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C002,2,3,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,2-3,FND-SEC-A,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C003,3,4,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,3-4,FND-SEC-A,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C004,9,10,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,9-10,FND-SEC-A,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C005,10,11,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,10-11,FND-SEC-A,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C006,11,12,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,11-12,FND-SEC-A,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C007,12,13,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,12-13,FND-SEC-A,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,TAV-01S confirms the offset physical connection 12-13.
FND-C008,13,14,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,13-14,FND-SEC-A,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C009,14,15,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,14-15,FND-SEC-A,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C010,15,16,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,15-16,FND-SEC-A,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C011,13,21,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,13-21,FND-SEC-A,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C012,21,26,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,21-26,FND-SEC-A,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C013,26,29,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,26-29,FND-SEC-A,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C014,29,32,DOC_ARMATURE_SEQUENCE,CONFIRMED_MEMBER,DIRECT_BINDING,29-32,FND-SEC-A,PROMOTE_CURRENT_TOPOLOGY,DOC_CROSSCHECK,
FND-C015,13,22,DOC_ARMATURE_SEQUENCE_DERIVATION,NO_DIRECT_MEMBER,REJECTED_DERIVATION,,FND-SEC-A,NOT_PROMOTED,DOC_CROSSCHECK,Initial paired-stack extraction incorrectly propagated support 13 into the second G03 branch. TAV-01S shows no 13-22 foundation member.
FND-C016,22,27,DOC_ARMATURE_INTERVAL,CONFIRMED_POLYLINE,REBOUND_POLYLINE_VIA_22_PRIME,22-22'|22'-27,FND-SEC-A,REBOUND_TO_PHYSICAL_MEMBERS,DOC_CROSSCHECK,TAV-01A interval 22-27 is retained as reinforcement evidence; TAV-01S resolves the physical path through distinct support 22 bis (22').
