foundation_member_id,from_support_id,to_support_id,topology_evidence,tav01a_candidate_or_relation,source_group,section_family_state,reinforcement_binding_state,validation_state,note
FND-B001,1,2,DOC_TAV01S+DOC_TAV01A,FND-C001,F1A-G01,FND-SEC-A,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C001/F1A-G01.
FND-B002,2,3,DOC_TAV01S+DOC_TAV01A,FND-C002,F1A-G01,FND-SEC-A,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C002/F1A-G01.
FND-B003,3,4,DOC_TAV01S+DOC_TAV01A,FND-C003,F1A-G01,FND-SEC-A,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C003/F1A-G01.
FND-B004,5,6,DOC_TAV01S,,,OPEN_SECTION_BINDING,NO_DIRECT_TAV01A_GROUP_IDENTIFIED,CURRENT_DOC_TOPOLOGY,Carpenteria-only member in current cross-source audit; reinforcement remains to bind or ND.
FND-B005,6,7,DOC_TAV01S,,,OPEN_SECTION_BINDING,NO_DIRECT_TAV01A_GROUP_IDENTIFIED,CURRENT_DOC_TOPOLOGY,Carpenteria-only member in current cross-source audit; reinforcement remains to bind or ND.
FND-B006,7,8,DOC_TAV01S,,,OPEN_SECTION_BINDING,NO_DIRECT_TAV01A_GROUP_IDENTIFIED,CURRENT_DOC_TOPOLOGY,Carpenteria-only member in current cross-source audit; reinforcement remains to bind or ND.
FND-B007,9,10,DOC_TAV01S+DOC_TAV01A,FND-C004,F1A-G02,FND-SEC-A,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C004/F1A-G02.
FND-B008,10,11,DOC_TAV01S+DOC_TAV01A,FND-C005,F1A-G02,FND-SEC-A,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C005/F1A-G02.
FND-B009,11,12,DOC_TAV01S+DOC_TAV01A,FND-C006,F1A-G02,FND-SEC-A,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C006/F1A-G02.
FND-B010,12,13,DOC_TAV01S+DOC_TAV01A,FND-C007,F1A-G02,FND-SEC-A,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C007/F1A-G02.
FND-B011,13,14,DOC_TAV01S+DOC_TAV01A,FND-C008,F1A-G02,FND-SEC-A,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C008/F1A-G02.
FND-B012,14,15,DOC_TAV01S+DOC_TAV01A,FND-C009,F1A-G02,FND-SEC-A,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C009/F1A-G02.
FND-B013,15,16,DOC_TAV01S+DOC_TAV01A,FND-C010,F1A-G02,FND-SEC-A,DIRECT_GROUP_BOUND,CURRENT_DOC_TOPOLOGY,Cross-confirmed from FND-C010/F1A-G02.
FND-B014,17,18,DOC_TAV01S,,,OPEN_SECTION_BINDING,NO_DIRECT_TAV01A_GROUP_IDENTIFIED,CURRENT_DOC_TOPOLOGY,Carpenteria-only member in current cross-source audit; reinforcement remains to bind or ND.
FND-B015,18,19,DOC_TAV01S,,,OPEN_SECTION_BINDING,NO_DIRECT_TAV01A_GROUP_IDENTIFIED,CURRENT_DOC_TOPOLOGY,Carpenteria-only member in current cross-source audit; reinforcement remains to bind or ND.
FND-B016,19,20,DOC_TAV01S,,,OPEN_SECTION_BINDING,NO_DIRECT_TAV01A_GROUP_IDENTIFIED,CURRENT_DOC_TOPOLOGY,Carpenteria-only member in current cross-source audit; reinforcement remains to bind or ND.
FND-B017,21,22,DOC_TAV01S,,,OPEN_SECTION_BINDING,NO_DIRECT_TAV01A_GROUP_IDENTIFIED,CURRENT_DOC_TOPOLOGY,Carpenteria-only member in current cross-source audit; reinforcement remains to bind or ND.
FND-B018,22,22',DOC_TAV01S,,F1A-G03_RELATED,OPEN_SECTION_BINDING,GROUP_CONTINUITY_RELATION_WATCH,CURRENT_DOC_TOPOLOGY,Distinct carpenteria member joining 22 to 22'; armature assignment not direct.
