ledger_id,claim_id,claim_class,source_id,evidence_anchor,upstream_evidence,asserted_value,unit,evidence_state,validation_state,promotion_status,geometry_use,adjudication_state,residual_id,blocking,note
P07-L-001,P04-ID-001,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R02-C03,P04-ID-001,1,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-002,P04-ID-002,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R02-C03,P04-ID-002,2,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-003,P04-ID-003,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R02-C03,P04-ID-003,3,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-004,P04-ID-004,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R03-C03,P04-ID-004,4,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-005,P04-ID-005,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R03-C02,P04-ID-005,5,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-006,P04-ID-006,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R03-C02,P04-ID-006,6,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-007,P04-ID-007,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R03-C02,P04-ID-007,7,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-008,P04-ID-008,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R04-C02,P04-ID-008,8,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-009,P04-ID-009,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R02-C02,P04-ID-009,9,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-010,P04-ID-010,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R02-C02,P04-ID-010,10,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-011,P04-ID-011,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R02-C02,P04-ID-011,11,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-012,P04-ID-012,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R03-C02,P04-ID-012,12,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-013,P04-ID-013,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R03-C02,P04-ID-013,13,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-014,P04-ID-014,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R03-C02,P04-ID-014,14,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-015,P04-ID-015,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R03-C02,P04-ID-015,15,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-016,P04-ID-016,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R04-C02,P04-ID-016,16,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-017,P04-ID-017,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R02-C02,P04-ID-017,17,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-018,P04-ID-018,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R02-C02,P04-ID-018,18,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-019,P04-ID-019,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R02-C02,P04-ID-019,19,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-020,P04-ID-020,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R02-C02,P04-ID-020,20,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-021,P04-ID-021,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R03-C02,P04-ID-021,21,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-022,P04-ID-022,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R03-C02,P04-ID-022,22,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-023,P04-ID-023,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R03-C02,P04-ID-023,22bis,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-024,P04-ID-024,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R03-C02,P04-ID-024,23,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-025,P04-ID-025,SUPPORT_IDENTIFIER,TAV-01S,P001-REGION-R02-C01,P04-ID-025,24,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-026,P04-ID-026,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R02-C02,P04-ID-026,25,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-027,P04-ID-027,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R03-C02,P04-ID-027,26,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-028,P04-ID-028,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R03-C02,P04-ID-028,27,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-029,P04-ID-029,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R02-C01,P04-ID-029,28,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-030,P04-ID-030,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R03-C01,P04-ID-030,29,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-031,P04-ID-031,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R03-C01,P04-ID-031,30,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-032,P04-ID-032,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R02-C01,P04-ID-032,31,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
P07-L-033,P04-ID-033,SUPPORT_IDENTIFIER,TAV-01S,P001-TILE-R03-C01,P04-ID-033,32,,DOC,CURRENT,CURRENT_PRIMARY_IDENTIFIER_CLAIM,IDENTITY_ONLY_NO_COORDINATE_ASSIGNMENT,NOT_VISIBLE_B,,false,Direct written ID from Reader A; no coordinate assigned.
