row_id,group_id,source_id,source_locator,bar_role,bar_quantity,bar_diameter_mm,shape_or_length,segment_dimensions_cm,evidence_status,binding_state,note
F1A-G01-R01,F1A-G01,TAV-01A,P02,STIRRUPS,,10,spacing_15cm,,DOC_DIRECT,GROUP_BOUND,"Section FND-SEC-A; source writes staffe phi10/15."
F1A-G01-R02,F1A-G01,TAV-01A,P01-P02,UPPER_STRAIGHT_BAR,2,14,L=570,,DOC_DIRECT,GROUP_BOUND,"Left upper straight set; quantity/diameter label and length directly readable."
F1A-G01-R03,F1A-G01,TAV-01A,P02,UPPER_STRAIGHT_BAR,2,14,L=1020,,DOC_DIRECT,GROUP_BOUND,"Second upper straight set; retained at group level across the continuous beam."
F1A-G01-R04,F1A-G01,TAV-01A,P01-P02,LOWER_STRAIGHT_BAR,3,14,L=610,,DOC_DIRECT,GROUP_BOUND,"Left lower straight set."
F1A-G01-R05,F1A-G01,TAV-01A,P02,LOWER_STRAIGHT_BAR,3,14,L=1060,,DOC_DIRECT,GROUP_BOUND,"Second lower straight set."
F1A-G01-R06,F1A-G01,TAV-01A,P01-P02,BENT_BAR,2,16,BENT,"70+45=115;diag122;top210;diag122;45+90=135",DOC_DIRECT,GROUP_BOUND,"Only written dimensions are transcribed; no unlabelled continuation is invented."
F1A-G01-R07,F1A-G01,TAV-01A,P02,BENT_BAR,2,14,BENT,"90+40=130;diag122;top165;diag122;40+70=110",DOC_DIRECT,GROUP_BOUND,"The source also shows parenthetical top value 75, explicitly reserved by note for trave 22-24; it is not applied to the 1-2-3-4 physical members."
F1A-G07-R01,F1A-G07,TAV-01A,P10,STIRRUPS,,10,spacing_15cm,,DOC_DIRECT,GROUP_BOUND,"Section FND-SEC-A; source writes staffe phi10/15."
F1A-G07-R02,F1A-G07,TAV-01A,P10,UPPER_STRAIGHT_BAR,2,14,L=640,,DOC_DIRECT,GROUP_BOUND,"Quantity, diameter and length directly readable for the 12-5-4 group."
F1A-G07-R03,F1A-G07,TAV-01A,P10,BENT_BAR,2,14,BENT,"70+35=105;diag122;top120;right_diag_unlabelled;35+60=95",DOC_DIRECT,GROUP_BOUND,"Only dimensions explicitly written on the source are transcribed; the unlabelled right diagonal is not assigned by symmetry."
F1A-G07-R04,F1A-G07,TAV-01A,P10,LOWER_BENT_BAR_SET,,,,"visible overlapping bent bars; lower segment labels include 70+70=140, 70+30=100 and 30+70=100",DOC_VISIBLE_UNRESOLVED,OPEN_TRANSCRIPTION,"The lower bent-bar set is documentary but individual bar partition/diameter assignment is not promoted because several shapes overlap in the drawing."
F1A-G07-R05,F1A-G07,TAV-01A,P10,LOWER_STRAIGHT_BAR,3,14,L=720,,DOC_DIRECT,GROUP_BOUND,"Quantity, diameter and length directly readable."
