patch_id,operation,target_row_id,new_row_id,group_id,source_locator,bar_role,bar_quantity,bar_diameter_mm,shape_or_length,segment_dimensions_cm,evidence_status,binding_state,reason
M1F-REINF-P001,REPLACE,F1A-G02-R02,F1A-G02-R02,F1A-G02,P03-P04,UPPER_STRAIGHT_BAR_SET,2,14,L=1080|L=990,,DOC_DIRECT_GROUP_SET,GROUP_BOUND,"HiRes P04 shows the third upper straight line L=1100 carries a distinct 3phi16 end label; remove it from the phi14 set."
M1F-REINF-P002,ADD,,F1A-G02-R02B,F1A-G02,P04,UPPER_STRAIGHT_BAR,3,16,L=1100,,DOC_DIRECT,GROUP_BOUND,"Direct HiRes P04 read: right upper straight line L=1100 with end label 3phi16."
M1F-REINF-P003,REPLACE,F1A-G02-R03,F1A-G02-R03,F1A-G02,P03-P04,LOWER_STRAIGHT_BAR_SET,3,14,L=1120|L=1010,,DOC_DIRECT_GROUP_SET,GROUP_BOUND,"HiRes P04 shows the third lower straight line L=1120 carries a distinct 3phi16 end label; remove it from the phi14 set."
M1F-REINF-P004,ADD,,F1A-G02-R03B,F1A-G02,P04,LOWER_STRAIGHT_BAR,3,16,L=1120,,DOC_DIRECT,GROUP_BOUND,"Direct HiRes P04 read: right lower straight line L=1120 with end label 3phi16."
M1F-REINF-P005,REPLACE,F1A-G07-R04,F1A-G07-R04,F1A-G07,P10,LOWER_BENT_BAR,2,12,BENT_PARTIAL,"70+70=140;right_diag122;left_inclined_segment_unlabelled",DOC_DIRECT_WITH_UNLABELLED_SEGMENT_WATCH,GROUP_BOUND,"Direct HiRes P10 partition of the left lower sagomato: source writes 2phi12, base 70+70=140 and the right inclined segment 122; the other inclined/end segment is not dimensioned and is not inferred."
M1F-REINF-P006,ADD,,F1A-G07-R04B,F1A-G07,P10,LOWER_BENT_BAR,2,12,BENT_PARTIAL,"left_diag122;70+30=100;right_diag_unlabelled",DOC_DIRECT_WITH_UNLABELLED_SEGMENT_WATCH,GROUP_BOUND,"Direct HiRes P10 partition of the middle lower sagomato: source writes 2phi12, left diagonal 122 and base 70+30=100; the crossing/right diagonal has no written length and is not inferred."
M1F-REINF-P007,ADD,,F1A-G07-R04C,F1A-G07,P10,LOWER_BENT_BAR,2,14,BENT_PARTIAL,"left_diag122;30+70=100;right_end_segment_unlabelled",DOC_DIRECT_WITH_UNLABELLED_SEGMENT_WATCH,GROUP_BOUND,"Direct HiRes P10 partition of the right lower sagomato: source writes 2phi14, left diagonal 122 and base 30+70=100; the terminal segment has no written length and is not inferred."
M1F-REINF-P008,REPLACE,F1A-G04-R04,F1A-G04-R04,F1A-G04,P06,LOWER_BENT_BAR,2,18,BENT_PARTIAL,"left_end_segment_unlabelled;70+100=170;right_diag122;continuation_unlabelled",DOC_DIRECT_WITH_UNLABELLED_SEGMENT_WATCH,GROUP_BOUND,"Direct HiRes P06 partition of the left lower sagomato: source writes 2phi18, base 70+100=170 and diagonal 122. The terminal/continuation portions without written dimensions are retained as unlabelled rather than inferred."
M1F-REINF-P009,ADD,,F1A-G04-R04B,F1A-G04,P06,LOWER_BENT_BAR,2,14,BENT_PARTIAL,"left_diag122;100+40=140;ascending_diag_unlabelled;top210;right_diag122;40+70=110",DOC_DIRECT_WITH_UNLABELLED_SEGMENT_WATCH,GROUP_BOUND,"Direct HiRes P06 partition of the second lower sagomato: source end label is 2phi14; written dimensions are left diagonal 122, base 100+40=140, top 210, right diagonal 122 and right base 40+70=110. The unlabeled ascending segment is not completed by symmetry."
M1F-REINF-P010,REPLACE,F1A-G06-R09A,F1A-G06-R09A,F1A-G06,P09,LOWER_BENT_BAR,2,14,BENT,"left_diag122;100+45=145;ascending_diag122;top200;right_diag122;45+105=150",DOC_DIRECT,GROUP_BOUND_A_SIDE,"Direct HiRes P09 read of the remaining A-side lower sagomato: one continuous bar line carries the terminal label 2phi14 and written dimensions 122, 100+45=145, 122, top 200, 122 and 45+105=150. No cross-transition continuation is inferred."
M1F-REINF-P011,REPLACE,F1A-G05-R04B,F1A-G05-R04B,F1A-G05,P07,LOWER_BENT_BAR,2,12,BENT,"60+70=130;right_diag93",DOC_DIRECT,GROUP_BOUND_B_SIDE,"Direct HiRes P07 read of the left lower B-side sagomato: source writes 2phi12, base 60+70=130 and inclined segment 93. The source-drawn bar terminates at the upper end of that inclined segment; no extra continuation is invented."
M1F-REINF-P012,ADD,,F1A-G05-R04C,F1A-G05,P07-P08,LOWER_BENT_BAR,2,14,BENT,"left_diag93;70+35=105;ascending_diag93;top140;descending_diag93;35+95=130;right_diag122",DOC_DIRECT_TRANSITION_SPANNING,GROUP_BOUND_TRANSITION_17_18,"Direct HiRes P07-P08 read of the second lower sagomato. The same source-drawn 2phi14 line crosses the documented section transition at stacked supports 17/18; diagonal notation changes from 93 on the B-family side to 122 on the A-family side. The transition is preserved rather than split or inferred."
M1F-REINF-P013,REPLACE,F1A-G05-R09A,F1A-G05-R09A,F1A-G05,P07-P08,UPPER_BENT_BAR,2,18,BENT,"left_diag93;70+50=120;ascending_diag122;top280;descending_diag122;50+95=145;right_diag122",DOC_DIRECT_TRANSITION_SPANNING,GROUP_BOUND_TRANSITION_17_18,"Direct HiRes P07-P08 read of the transition-spanning upper sagomato: source writes 2phi18 and directly shows the 93-to-122 diagonal change across stacked supports 17/18, with bases 70+50=120 and 50+95=145 and top 280."
M1F-REINF-P014,ADD,,F1A-G05-R09B,F1A-G05,P08,UPPER_BENT_BAR,2,14,BENT_PARTIAL,"left_diag122;95+70=165",DOC_DIRECT,GROUP_BOUND_A_SIDE,"Direct HiRes P08 read of the right A-side upper sagomato: source writes 2phi14, inclined segment 122 and base 95+70=165. The source-drawn line ends at the labelled right terminal; no additional diagonal is inferred."
M1F-REINF-P015,REPLACE,F1A-G03-R04,F1A-G03-R04,F1A-G03,P05,UPPER_BENT_BAR,2,18,BENT_PARTIAL,"70+50=120;ascending_diag122;top300;descending_diag_unlabelled;50+30=80;right_diag122",DOC_DIRECT_WITH_UNLABELLED_SEGMENT_WATCH,GROUP_BOUND_WITH_22_PRIME_CORRECTION,"Direct HiRes P05 partition of the left upper sagomato. Quantity 2phi18, bases 70+50=120 and 50+30=80, ascending/right diagonal 122 and top300 are written; the descending diagonal from top300 is not dimensioned and remains unlabelled."
M1F-REINF-P016,ADD,,F1A-G03-R04B,F1A-G03,P05,UPPER_BENT_BAR,2,12,BENT_PARTIAL,"left_diag_unlabelled;30+40=70;ascending_diag122;top100;descending_diag_unlabelled;40+85=125;right_diag122",DOC_DIRECT_WITH_UNLABELLED_SEGMENT_WATCH,GROUP_BOUND_WITH_22_PRIME_CORRECTION,"Direct HiRes P05 partition of the central upper 2phi12 sagomato. Written bases are 30+40=70 and 40+85=125, written top is 100 and the two ascending/right diagonals marked 122 are retained; the two source-unlabelled diagonals remain unassigned."
M1F-REINF-P017,ADD,,F1A-G03-R04C,F1A-G03,P05,UPPER_BENT_BAR,2,16,BENT_PARTIAL,"left_diag122;85+70=155",DOC_DIRECT,GROUP_BOUND_WITH_22_PRIME_CORRECTION,"Direct HiRes P05 partition of the right upper sagomato: source writes 2phi16, inclined segment 122 and base 85+70=155."
M1F-REINF-P018,ADD,,F1A-G03-R04D,F1A-G03,P05,LOWER_BENT_BAR,2,18,BENT_PARTIAL,"70+100=170;right_diag122",DOC_DIRECT,GROUP_BOUND_WITH_22_PRIME_CORRECTION,"Direct HiRes P05 partition of the left lower sagomato: source writes 2phi18, base 70+100=170 and right diagonal 122."
