candidate_id,from_support_id,to_support_id,source_sheet,topology_evidence,tav01a_binding_status,section_family_candidate,promotion_state,note
FND-S001,5,6,TAV-01S,DOC_CARPENTERIA,NOT_PRESENT_IN_TAV01A_44_DERIVATION,ND,CANDIDATE_FOR_CURRENT_TOPOLOGY,Physical foundation member visible in carpenteria; reinforcement/section binding remains unresolved unless supported by another armature detail.
FND-S002,6,7,TAV-01S,DOC_CARPENTERIA,NOT_PRESENT_IN_TAV01A_44_DERIVATION,ND,CANDIDATE_FOR_CURRENT_TOPOLOGY,Physical foundation member visible in carpenteria; reinforcement/section binding remains unresolved unless supported by another armature detail.
FND-S003,7,8,TAV-01S,DOC_CARPENTERIA,NOT_PRESENT_IN_TAV01A_44_DERIVATION,ND,CANDIDATE_FOR_CURRENT_TOPOLOGY,Physical foundation member visible in carpenteria; reinforcement/section binding remains unresolved unless supported by another armature detail.
FND-S004,31,28,TAV-01S,DOC_CARPENTERIA,NOT_PRESENT_IN_TAV01A_44_DERIVATION,ND,CANDIDATE_FOR_CURRENT_TOPOLOGY,Physical foundation member visible in carpenteria; reinforcement/section binding remains unresolved unless supported by another armature detail.
FND-S005,28,25,TAV-01S,DOC_CARPENTERIA,NOT_PRESENT_IN_TAV01A_44_DERIVATION,ND,CANDIDATE_FOR_CURRENT_TOPOLOGY,Physical foundation member visible in carpenteria; reinforcement/section binding remains unresolved unless supported by another armature detail.
FND-S006,25,19,TAV-01S,DOC_CARPENTERIA,NOT_PRESENT_IN_TAV01A_44_DERIVATION,ND,CANDIDATE_FOR_CURRENT_TOPOLOGY,Physical foundation member visible in carpenteria; reinforcement/section binding remains unresolved unless supported by another armature detail.
FND-S007,21,22,TAV-01S,DOC_CARPENTERIA,NOT_PRESENT_IN_TAV01A_44_DERIVATION,ND,CANDIDATE_FOR_CURRENT_TOPOLOGY,Physical foundation member visible in carpenteria; reinforcement/section binding remains unresolved unless supported by another armature detail.
FND-S008,23,24,TAV-01S,DOC_CARPENTERIA,NOT_PRESENT_IN_TAV01A_44_DERIVATION,ND,CANDIDATE_FOR_CURRENT_TOPOLOGY,Physical foundation member visible in carpenteria; reinforcement/section binding remains unresolved unless supported by another armature detail.
FND-S009,20,11,TAV-01S,DOC_CARPENTERIA,NOT_PRESENT_IN_TAV01A_44_DERIVATION,ND,CANDIDATE_FOR_CURRENT_TOPOLOGY,Physical foundation member visible in carpenteria; reinforcement/section binding remains unresolved unless supported by another armature detail.
FND-S010,11,3,TAV-01S,DOC_CARPENTERIA,NOT_PRESENT_IN_TAV01A_44_DERIVATION,ND,CANDIDATE_FOR_CURRENT_TOPOLOGY,Physical foundation member visible in carpenteria; reinforcement/section binding remains unresolved unless supported by another armature detail.
FND-S011,20,21,TAV-01S,DOC_CARPENTERIA,NOT_PRESENT_IN_TAV01A_44_DERIVATION,ND,CANDIDATE_FOR_CURRENT_TOPOLOGY,Physical foundation member visible in carpenteria; reinforcement/section binding remains unresolved unless supported by another armature detail.
FND-S012,19,20,TAV-01S,DOC_CARPENTERIA,NOT_PRESENT_IN_TAV01A_44_DERIVATION,ND,CANDIDATE_FOR_CURRENT_TOPOLOGY,Physical foundation member visible in carpenteria; reinforcement/section binding remains unresolved unless supported by another armature detail.
FND-S013,18,19,TAV-01S,DOC_CARPENTERIA,NOT_PRESENT_IN_TAV01A_44_DERIVATION,ND,CANDIDATE_FOR_CURRENT_TOPOLOGY,Physical foundation member visible in carpenteria; reinforcement/section binding remains unresolved unless supported by another armature detail.
FND-S014,23,22',TAV-01S,DOC_CARPENTERIA,NOT_PRESENT_IN_TAV01A_44_DERIVATION,ND,CANDIDATE_FOR_CURRENT_TOPOLOGY,Physical foundation member visible in carpenteria; reinforcement/section binding remains unresolved unless supported by another armature detail.
FND-S015,17,18,TAV-01S,DOC_CARPENTERIA,NOT_PRESENT_IN_TAV01A_44_DERIVATION,ND,CANDIDATE_FOR_CURRENT_TOPOLOGY,Physical foundation member visible in carpenteria; reinforcement/section binding remains unresolved unless supported by another armature detail.
