claim_id,domain,parameter,value,unit,evidence_class,source_authority,validation_state,source_reference,source_locator,use_rule,residual
M1M-C01,CONCRETE,HISTORICAL_DESIGN_RCK,250,kg/cm2,RIF,DERIVED_PROJECT_REPORT,SUPERSEDED_BY_DIRECT_PRIMARY_SOURCE,FILE_LIBRARY:Relazione_preliminare_edificio_CA_Ariano_Irpino.pdf:file_00000000e2c481f4b838e10691e79fc8,page_3_materials,"Retained only for provenance; do not use as current historical design reference because the original calculation relation page 2 directly states R'=300.",Superseded by M1M-C05 / ORP2-MAT-001
M1M-C02,CONCRETE,HISTORICAL_DESIGN_RCK_APPROX,24.5,MPa,RIF,DERIVED_PROJECT_REPORT,SUPERSEDED_BY_DIRECT_PRIMARY_SOURCE,FILE_LIBRARY:Relazione_preliminare_edificio_CA_Ariano_Irpino.pdf:file_00000000e2c481f4b838e10691e79fc8,page_3_materials,"Derived conversion of the superseded RIF 250 kg/cm2 claim; retain for audit only.",Superseded with parent claim M1M-C01
M1M-C03,CONCRETE,ORIGINAL_CUBE_TESTS,REPORTED_PRESENT_AND_CONFORMING,,RIF,DERIVED_PROJECT_REPORT,SUPPORTED,FILE_LIBRARY:Relazione_preliminare_edificio_CA_Ariano_Irpino.pdf:file_00000000e2c481f4b838e10691e79fc8,page_3_materials,"Evidence of reported historical testing only; no numerical cube results available in current evidence set.",Locate original cube certificates/results
M1M-C04,CONCRETE,IN_SITU_VERIFICATION_STRENGTH,ND,MPa,ND,NONE,RESIDUAL,FILE_LIBRARY:Fascicolo_tecnico_operativo_Ariano_Irpino_v2.pdf:file_00000000d4b481f4be84f8e1a8ccb615,pages_28_29_investigation_plan,"No current numerical in-situ strength may be assigned. Sclerometry described in source is a planned comparative investigation, not a completed resistance result.",Characterize existing concrete from documentary confirmation and suitable investigation results
M1M-C05,CONCRETE,HISTORICAL_CHARACTERISTIC_STRENGTH_SOURCE_NOTATION_R_PRIME,300,kg/cm2,DOC,DIRECT_PRIMARY_SOURCE,CURRENT,data/canonical/ORIGINAL_RELATION_PAGE2_EVIDENCE_v1.csv,ORP2-MAT-001,"Primary historical material claim. Preserve source notation R'=300 and do not silently reinterpret it as a modern NTC strength parameter until the historical-to-modern mapping is documented.",
M1M-C06,CONCRETE,CEMENT_DOSAGE,3.00,q.li,DOC,DIRECT_PRIMARY_SOURCE,CURRENT,data/canonical/ORIGINAL_RELATION_PAGE2_EVIDENCE_v1.csv,ORP2-MAT-002,"Historical mix statement as written; no per-volume basis is added because this page does not explicitly state it.",
M1M-C07,CONCRETE,CEMENT_CLASS,425,,DOC,DIRECT_PRIMARY_SOURCE,CURRENT,data/canonical/ORIGINAL_RELATION_PAGE2_EVIDENCE_v1.csv,ORP2-MAT-003,"Historical cement class as written.",
M1M-C08,CONCRETE,SOURCE_REPORTED_TENSION,95,kg/cm2,DOC,DIRECT_PRIMARY_SOURCE,DOC_SEMANTIC_WATCH,data/canonical/ORIGINAL_RELATION_PAGE2_EVIDENCE_v1.csv,ORP2-MAT-004,"Preserve exact historical statement; do not map directly to solver parameter until its design-code meaning is reconciled.",Historical parameter semantics to reconcile before solver use
M1M-S01,REINFORCING_STEEL,STEEL_TYPE_GRADE,FeB38k,,DOC,DIRECT_PRIMARY_SOURCE,CURRENT,data/canonical/ORIGINAL_RELATION_PAGE2_EVIDENCE_v1.csv,ORP2-MAT-005,"Explicit original calculation-relation designation; direct documentary confirmation now closes the former RIF-only grade watch.",
M1M-S02,REINFORCING_STEEL,HISTORICAL_NOMINAL_FYK,375,MPa,INF,HISTORICAL_NORMATIVE_MAPPING,SUPPORTED,FeB38k_historical_grade_mapping,FeB38k_nominal_property,"Nominal characteristic yield associated with historical FeB38k designation; this is a normative mapping, not a value directly written on page 2 and not a measured current-state steel strength.",Final solver use remains conditional on the existing-building knowledge framework
M1M-S03,REINFORCING_STEEL,HISTORICAL_ALLOWABLE_STRESS,2200,kg/cm2,DOC,DIRECT_PRIMARY_SOURCE,CURRENT,data/canonical/ORIGINAL_RELATION_PAGE2_EVIDENCE_v1.csv,ORP2-MAT-006,"Historical allowable-stress value exactly as stated in the original relation; preserve historical semantics separately from modern fyk/fyd.",
M1M-S04,REINFORCING_STEEL,QUALITY_CONTROL,"controllato in stabilimento",,DOC,DIRECT_PRIMARY_SOURCE,CURRENT,data/canonical/ORIGINAL_RELATION_PAGE2_EVIDENCE_v1.csv,ORP2-MAT-007,"Documents original control condition but does not replace mill certificates or present-day testing evidence.",Locate individual certificates if available
M1M-K01,KNOWLEDGE,LEVEL_OF_KNOWLEDGE_LC,ND,,ND,NONE,RESIDUAL,FILE_LIBRARY:Ariano_Irpino_M0_Input_EdiLus_v18.xlsx:file_000000000d30820aa20f290de3770160,sheet_05_MATERIALI_LC,"Define only after the effective documentary and investigation coverage is assessed.",Complete knowledge framework after materials/reinforcement investigation coverage is known
M1M-K02,KNOWLEDGE,CONFIDENCE_FACTOR_FC,ND,,ND,NONE,RESIDUAL,FILE_LIBRARY:Ariano_Irpino_M0_Input_EdiLus_v18.xlsx:file_000000000d30820aa20f290de3770160,sheet_05_MATERIALI_LC,"Consequence of the justified knowledge level; do not assign prematurely.",Determine only after LC is justified
