node_id,support_id,x_m,y_m,face_ref,attached_beams,beam_count,support_metric_evidence,node_evidence_status,node_role
AN-001,c,0.1500,0.0000,EAST,B-001,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-002,a,3.3000,0.0000,WEST,B-001,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-003,a,3.6000,0.0000,EAST,B-002,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-004,17,6.6500,0.0000,WEST,B-002,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-005,17,7.1500,0.0000,EAST,B-003,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-006,9,12.2000,0.0000,WEST,B-003,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-007,9,12.6000,0.0000,EAST,B-004,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-008,1,17.8000,0.0000,WEST,B-004,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-009,d,0.1500,4.7000,EAST,B-005,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-010,b,3.3000,4.7000,WEST,B-005,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-011,b,3.6000,4.7000,EAST,B-006,1,DOC_METRIC_OR_AXIS,WATCH,BEAM_TO_SUPPORT_FACE
AN-012,18,6.6740,4.7000,WEST,B-006,1,MIS_AFFINE_EXTENDED,WATCH,BEAM_TO_SUPPORT_FACE
AN-013,1,18.0000,0.2500,SOUTH,B-007,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-014,2,18.0000,4.5000,NORTH,B-007,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-015,2,18.0000,4.9000,SOUTH,B-008,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-016,3,18.0000,9.6000,NORTH,B-008,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-017,3,18.0000,10.0000,SOUTH,B-009,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-018,4,18.0000,13.7000,NORTH,B-009,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-019,5,16.1000,14.2000,SOUTH,B-010,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-020,6,16.1000,17.9000,NORTH,B-010,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-021,6,16.1000,18.3000,SOUTH,B-011,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-022,7,16.1000,23.2000,NORTH,B-011,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-023,7,16.1000,23.6000,SOUTH,B-012,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
