edge_id,node_i,node_j,orientation,length_m,relation_kind,evidence_status,source_basis,carpentry_status,note
PTQ-001,1,2,V,4.70,AXIS_CHAIN,DOC_QUOTED,TAV-02S RIGHT_MAIN 4.70,TO_VERIFY_BEAM,"Reticolo quotato; non equivale ancora a trave confermata"
PTQ-002,2,3,V,5.10,AXIS_CHAIN,DOC_QUOTED,TAV-02S RIGHT_MAIN 5.10,TO_VERIFY_BEAM,"Reticolo quotato"
PTQ-003,3,4,V,4.15,AXIS_CHAIN,DOC_QUOTED,TAV-02S RIGHT_MAIN 4.15,TO_VERIFY_BEAM,"Reticolo quotato"
PTQ-004,4,6,V,4.15,AXIS_CHAIN,DOC_QUOTED,TAV-02S RIGHT_MAIN 4.15,TO_VERIFY_BEAM,"Nodo 5 è offset orizzontale e non appartiene alla catena verticale principale"
PTQ-005,6,7,V,5.33,AXIS_CHAIN,DOC_QUOTED,TAV-02S RIGHT_MAIN 5.33,TO_VERIFY_BEAM,"Reticolo quotato"
PTQ-006,7,8,V,4.70,AXIS_CHAIN,DOC_QUOTED,TAV-02S RIGHT_MAIN 4.70,TO_VERIFY_BEAM,"Reticolo quotato"
PTQ-007,17,9,H,5.50,AXIS_CHAIN,DOC_QUOTED,TAV-02S TOP_MAIN H2-H3 5.50,TO_VERIFY_BEAM,"Fila superiore del corpo originario"
PTQ-008,9,1,H,5.60,AXIS_CHAIN,DOC_QUOTED,TAV-02S TOP_MAIN H3-H4 5.60,TO_VERIFY_BEAM,"Fila superiore del corpo originario"
PTQ-009,18,10,H,5.50,AXIS_ALIGNMENT,DOC_ALIGN,TAV-02S allineamento con fili X=6.90 e X=12.40,TO_VERIFY_BEAM,"Distanza da coordinate derivate dalla catena superiore"
PTQ-010,10,2,H,5.60,AXIS_ALIGNMENT,DOC_ALIGN,TAV-02S allineamento con fili X=12.40 e X=18.00,TO_VERIFY_BEAM,"Distanza da coordinate derivate dalla catena superiore"
PTQ-011,11,3,H,5.60,AXIS_ALIGNMENT,DOC_ALIGN,TAV-02S fila Y=9.80 lato destro,TO_VERIFY_BEAM,"Settore sinistro della fila resta aperto per nodo 19"
PTQ-012,12,4,H,5.60,AXIS_ALIGNMENT,DOC_ALIGN,TAV-02S fila Y=13.95 lato destro,TO_VERIFY_BEAM,"Nodo 5 interno alla campata 12-4; continuità strutturale da verificare sulla carpenteria"
PTQ-013,5,4,H,1.90,LOCAL_OFFSET,DOC_QUOTED,TAV-02S quota interna 1.90 m,TO_VERIFY_BEAM,"Offset diretto del nodo 5 rispetto al nodo 4"
PTQ-014,6,14,H,4.65,CROSS_CHAIN,DOC_QUOTED,TAV-02S lower-right chain 4.65,TO_VERIFY_BEAM,"Raccordo orizzontale destro"
PTQ-015,14,15,V,5.33,AXIS_ALIGNMENT,DOC_ALIGN,TAV-02S allineamento 14-15 e quote Y 18.10->23.43,TO_VERIFY_BEAM,"Distanza coerente con RIGHT_MAIN"
PTQ-016,15,16,V,4.70,AXIS_ALIGNMENT,DOC_ALIGN,TAV-02S allineamento 14-15-16 e quote Y 23.43->28.13,TO_VERIFY_BEAM,"Distanza coerente con RIGHT_MAIN"
PTQ-017,23,15,H,6.45,CROSS_CHAIN,DOC_QUOTED,TAV-02S cross-tie + BOTTOM_RIGHT 6.45,TO_VERIFY_BEAM,"Raccordo ala sinistra-destra"
PTQ-018,24,16,H,6.45,CROSS_CHAIN,DOC_QUOTED,TAV-02S BOTTOM_RIGHT 6.45,TO_VERIFY_BEAM,"Catena inferiore"
PTQ-019,16,8,H,4.65,CROSS_CHAIN,DOC_QUOTED,TAV-02S BOTTOM_RIGHT 4.65,TO_VERIFY_BEAM,"Catena inferiore"
PTQ-020,31,28,H,4.70,LEFT_TRANSVERSE,DOC_QUOTED,TAV-02S lower-left chain 4.70,TO_VERIFY_BEAM,"Fila R1 settore sinistro"
PTQ-021,28,25,H,3.45,LEFT_TRANSVERSE,DOC_QUOTED,TAV-02S lower-left chain 3.45,TO_VERIFY_BEAM,"Fila R1 settore sinistro"
PTQ-022,25,21,H,2.10,LEFT_TRANSVERSE,DOC_QUOTED,TAV-02S lower-left chain 2.10,TO_VERIFY_BEAM,"Fila R1 settore sinistro"
PTQ-023,32,29,H,4.70,LEFT_TRANSVERSE,DOC_QUOTED,TAV-02S lower-left chain 4.70,TO_VERIFY_BEAM,"Fila R2 settore sinistro"
PTQ-024,29,26,H,3.45,LEFT_TRANSVERSE,DOC_QUOTED,TAV-02S lower-left chain 3.45,TO_VERIFY_BEAM,"Fila R2 settore sinistro"
PTQ-025,26,22,H,2.10,LEFT_TRANSVERSE,DOC_QUOTED,TAV-02S lower-left chain 2.10,TO_VERIFY_BEAM,"Fila R2 settore sinistro"
PTQ-026,33,30,H,4.70,LEFT_TRANSVERSE,DOC_QUOTED,TAV-02S lower-left chain 4.70,TO_VERIFY_BEAM,"Fila R3 settore sinistro"
PTQ-027,30,27,H,3.45,LEFT_TRANSVERSE,DOC_QUOTED,TAV-02S lower-left chain 3.45,TO_VERIFY_BEAM,"Fila R3 settore sinistro"
PTQ-028,27,23,H,2.10,LEFT_TRANSVERSE,DOC_QUOTED,TAV-02S lower-left chain 2.10,TO_VERIFY_BEAM,"Fila R3 settore sinistro"
PTQ-029,31,32,V,6.25,LEFT_LONGITUDINAL,DOC_QUOTED,TAV-02S direct 31-32=6.25,TO_VERIFY_BEAM,"Filo F0"
PTQ-030,32,33,V,4.95,LEFT_LONGITUDINAL,DOC_QUOTED,TAV-02S direct 32-33=4.95,TO_VERIFY_BEAM,"Filo F0"
PTQ-031,28,29,V,6.25,LEFT_LONGITUDINAL,DOC_ALIGN,TAV-02S row alignment + 31-32 quota,TO_VERIFY_BEAM,"Filo F1"
PTQ-032,29,30,V,4.95,LEFT_LONGITUDINAL,DOC_ALIGN,TAV-02S row alignment + 32-33 quota,TO_VERIFY_BEAM,"Filo F1"
PTQ-033,25,26,V,6.25,LEFT_LONGITUDINAL,DOC_ALIGN,TAV-02S row alignment + 31-32 quota,TO_VERIFY_BEAM,"Filo F2"
PTQ-034,26,27,V,4.95,LEFT_LONGITUDINAL,DOC_ALIGN,TAV-02S row alignment + 32-33 quota,TO_VERIFY_BEAM,"Filo F2"
PTQ-035,21,22,V,6.25,LEFT_LONGITUDINAL,DOC_ALIGN,TAV-02S row alignment + 31-32 quota,TO_VERIFY_BEAM,"Filo F3"
PTQ-036,22,23,V,4.95,LEFT_LONGITUDINAL,DOC_ALIGN,TAV-02S row alignment + 32-33 quota,TO_VERIFY_BEAM,"Filo F3"
PTQ-037,23,24,V,4.70,LOWER_EXTENSION,DOC_ALIGN,TAV-02S global rows Y23.43->28.13,TO_VERIFY_BEAM,"Prolungamento inferiore F3"
PTQ-O01,19,11,H,,OPEN_RELATION,OPEN,"TAV-02S identity 19 retained; coordinates reopened",OPEN,"Non chiudere finché il nodo 19 non è riletto dalle quote"
PTQ-O02,20,12,H,,OPEN_RELATION,OPEN,"TAV-02S identity 20 retained; coordinates reopened",OPEN,"Non chiudere finché il nodo 20 non è riletto dalle quote"
PTQ-O03,13,14,V,,OPEN_RELATION,OPEN,"TAV-02S identity 13 retained; coordinate ND",OPEN,"Non chiudere per interpolazione"
PTQ-O04,a,b,H,,TERRACE_LETTERED_ROW,OPEN,"TAV-02S lettered pillars; mapping/coordinates not canonical",OPEN,"File storici con coordinate a-d non riutilizzabili senza nuova riconciliazione"
PTQ-O05,c,d,H,,TERRACE_LETTERED_ROW,OPEN,"TAV-02S lettered pillars; mapping/coordinates not canonical",OPEN,"File storici con coordinate a-d non riutilizzabili senza nuova riconciliazione"
