support_id,primary_binding_id,primary_tile,tile_registration,acceptance_class,registration_state,geometry_kind,may_enter_pixel_registry,metric_status,note
1,BIND-R2C3-P1-001,r2_c3,DIRECT_SIFT_RANSAC,B,DIRECT_REGISTERED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"Simbolo completo e ID leggibili; tile con registrazione misurata."
2,BIND-R2C3-P2-001,r2_c3,DIRECT_SIFT_RANSAC,B,DIRECT_REGISTERED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"Simbolo completo e ID leggibili; nessun secondo tile necessario per la registrazione pixel."
3,BIND-R2C3-P3-001,r2_c3,DIRECT_SIFT_RANSAC,A,CROSS_VALIDATED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"Cross-check r3_c3 ~0.39 px."
4,BIND-R3C3-P4-001,r3_c3,DIRECT_SIFT_RANSAC,B,DIRECT_REGISTERED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"Simbolo completo e ID leggibili."
5,BIND-R3C3-P5-001,r3_c3,DIRECT_SIFT_RANSAC,B,DIRECT_REGISTERED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"Simbolo completo e ID leggibili."
6,BIND-R3C3-P6-001,r3_c3,DIRECT_SIFT_RANSAC,B,DIRECT_REGISTERED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"Simbolo completo e ID leggibili."
7,BIND-R3C3-P7-001,r3_c3,DIRECT_SIFT_RANSAC,A,CROSS_VALIDATED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"Cross-check r4_c3 ~0.22 px."
8,BIND-R4C3-P8-001,r4_c3,DIRECT_SIFT_RANSAC,B,DIRECT_REGISTERED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"Simbolo completo e ID leggibili."
9,BIND-R2C3-P9-001,r2_c3,DIRECT_SIFT_RANSAC,A,CROSS_VALIDATED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"Cross-check r2_c2 ~0.99 px."
10,BIND-R2C3-P10-001,r2_c3,DIRECT_SIFT_RANSAC,B,DIRECT_REGISTERED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"Simbolo completo e ID leggibili. Il precedente confronto di frammento ~2.04 px resta diagnostico e non e usato come Classe A."
11,BIND-R2C3-P11-001,r2_c3,DIRECT_SIFT_RANSAC,A,CROSS_VALIDATED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"Cross-check r3_c3 ~0.39 px."
12,BIND-R3C3-P12-001,r3_c3,DIRECT_SIFT_RANSAC,A,CROSS_VALIDATED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"Cross-check r3_c2 ~0.73 px."
13,BIND-R3C2-P13-001,r3_c2,DIRECT_SIFT_RANSAC,A,CROSS_VALIDATED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"Cross-check r3_c3 ~0.74 px."
14,BIND-R3C2-P14-001,r3_c2,DIRECT_SIFT_RANSAC,A,CROSS_VALIDATED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"Cross-check r3_c3 ~0.72 px."
15,BIND-R4C2-P15-001,r4_c2,DIRECT_SIFT_RANSAC,A,CROSS_VALIDATED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"Cross-check r3_c2 ~0.38 px."
16,BIND-R4C2-P16-001,r4_c2,DIRECT_SIFT_RANSAC,B,DIRECT_REGISTERED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"Simbolo completo e ID leggibili."
17,BIND-R2C2-P17-001,r2_c2,DIRECT_SIFT_RANSAC,B,DIRECT_REGISTERED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"Simbolo completo e ID leggibili."
18,BIND-R2C2-P18-001,r2_c2,DIRECT_SIFT_RANSAC,B,DIRECT_REGISTERED_EXTENDED,EXTENDED_SUPPORT_CENTER,YES,UNVALIDATED_G2,"Supporto esteso 110x30 con sagoma completa registrata."
19,BIND-R2C2-P19-001,r2_c2,DIRECT_SIFT_RANSAC,B,DIRECT_REGISTERED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"Simbolo completo e ID leggibili."
20,BIND-R2C2-P20-001,r2_c2,DIRECT_SIFT_RANSAC,B,DIRECT_REGISTERED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"Simbolo completo e ID leggibili."
21,BIND-R3C2-P21-001,r3_c2,DIRECT_SIFT_RANSAC,B,DIRECT_REGISTERED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"Riallineato direttamente alla tassellazione corrente."
22,BIND-R3C2-P22-001,r3_c2,DIRECT_SIFT_RANSAC,B,DIRECT_REGISTERED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"ID 22 direttamente leggibile sulla sorgente corrente."
22',BIND-R3C2-P22P-001,r3_c2,DIRECT_SIFT_RANSAC,B,DIRECT_REGISTERED,SUPPORT_SYMBOL_CENTER,YES,UNVALIDATED_G2,"ID 22-prime direttamente leggibile; entita distinta da 22."
23,BIND-R3C2-P23-001,r3_c2,DIRECT_SIFT_RANSAC,A,CROSS_VALIDATED_EXTENDED,EXTENDED_SUPPORT_CENTER,YES,UNVALIDATED_G2,"Sagoma 110x30 cross-validata su r4_c2 ~0.32 px."
