component_id,support_id,x_local_m,y_local_m,coordinate_status,anchor_rule,source_constraints,note
G2C01,c,0.00,0.00,LOCAL_METRIC_DOC,origin c,"G2-TERR-X1;G2-TERR-Y1","Local component coordinate only; not global PT coordinate."
G2C01,a,3.45,0.00,LOCAL_METRIC_DOC,origin c,"G2-TERR-X1",""
G2C01,17,6.90,0.00,LOCAL_METRIC_DOC,origin c,"G2-TERR-X2",""
G2C01,9,12.40,0.00,LOCAL_METRIC_DOC,origin c,"G2-TOP-X3",""
G2C01,1,18.00,0.00,LOCAL_METRIC_DOC,origin c,"G2-TOP-X4",""
G2C01,d,0.00,4.70,LOCAL_METRIC_DOC,origin c,"G2-TERR-Y1",""
G2C01,b,3.45,4.70,LOCAL_METRIC_DOC,origin c,"G2-TERR-Y2",""
G2C02,31,0.00,0.00,LOCAL_METRIC_DOC,origin 31,"G2-LROW-1;G2-LCOL-1","Local component coordinate only; not global PT coordinate."
G2C02,28,4.70,0.00,LOCAL_METRIC_DOC,origin 31,"G2-LROW-1",""
G2C02,25,8.15,0.00,LOCAL_METRIC_DOC,origin 31,"G2-LROW-4",""
G2C02,32,0.00,6.25,LOCAL_METRIC_DOC,origin 31,"G2-LCOL-1",""
G2C02,29,4.70,6.25,LOCAL_METRIC_DOC,origin 31,"G2-LROW-2",""
G2C02,26,8.15,6.25,LOCAL_METRIC_DOC,origin 31,"G2-LROW-5",""
G2C02,21,10.25,6.25,LOCAL_METRIC_DOC,origin 31,"G2-LROW-8",""
G2C02,33,0.00,11.20,LOCAL_METRIC_DOC,origin 31,"G2-LCOL-2",""
G2C03,15,0.00,0.00,LOCAL_METRIC_DOC,origin 15,"G2-LOW-X3","Local component coordinate only; P23 link pending physical reference."
G2C03,7,4.65,0.00,LOCAL_METRIC_DOC,origin 15,"G2-LOW-X3",""
G2C04,13,0.00,0.00,LOCAL_METRIC_DOC,origin 13,"G2-P13-BIND","Local component coordinate only."
G2C04,14,0.00,2.90,LOCAL_METRIC_DOC,origin 13,"G2-P13-BIND",""
G2C05,24,0.00,0.00,LOCAL_METRIC_DOC,origin 24,"G2-LOW-X2","Local component coordinate only."
G2C05,16,6.45,0.00,LOCAL_METRIC_DOC,origin 24,"G2-LOW-X2",""
G2C05,8,11.10,0.00,LOCAL_METRIC_DOC,origin 24,"G2-LOW-X4",""
