support_id,x_working_m,y_working_m,u_native_px,v_native_px,u_affine_pred_px,v_affine_pred_px,du_px,dv_px,residual_px
1,18.0,0.0,4096.63,2823.61,4100.028,2822.893,-3.398,0.717,3.473
2,18.0,4.7,4103.63,3562.06,4097.719,3562.221,5.911,-0.161,5.913
3,18.0,9.8,4103.63,4363.51,4095.214,4364.471,8.416,-0.961,8.471
4,18.0,13.95,4096.18,5012.85,4093.175,5017.282,3.005,-4.432,5.355
5,16.1,13.95,3796.28,5013.35,3793.85,5016.128,2.43,-2.778,3.691
6,16.1,18.1,3789.78,5666.81,3791.811,5668.939,-2.031,-2.129,2.943
7,16.1,23.4,3792.78,6496.76,3789.208,6502.65,3.572,-5.89,6.889
8,16.1,28.1,3788.5,7240.97,3786.899,7241.979,1.601,-1.009,1.892
9,12.4,0.0,3217.96,2822.11,3217.806,2819.49,0.154,2.62,2.625
10,12.4,4.7,3215.46,3561.56,3215.497,3558.818,-0.037,2.742,2.742
11,12.4,9.8,3214.96,4364.01,3212.992,4361.068,1.968,2.942,3.539
13,11.45,15.2,3046.92,5210.91,3060.677,5209.932,-13.757,0.978,13.791
14,11.45,18.1,3047.92,5669.41,3059.252,5666.114,-11.332,3.296,11.802
15,11.45,23.4,3050.65,6499.69,3056.649,6499.824,-5.999,-0.134,6.0
16,11.45,28.1,3051.65,7244.25,3054.34,7239.153,-2.69,5.097,5.763
17,6.9,0.0,2345.57,2819.68,2351.338,2816.148,-5.768,3.532,6.764
21,5.55,15.2,2138.09,5211.91,2131.193,5206.347,6.897,5.563,8.861
22,5.55,18.1,2139.09,5665.91,2129.768,5662.528,9.322,3.382,9.916
24,5.0,28.1,2031.19,7246.75,2038.209,7235.234,-7.019,11.516,13.487
25,3.45,8.95,1804.14,4200.73,1803.43,4221.921,0.71,-21.191,21.203
26,3.45,15.2,1806.15,5192.41,1800.36,5205.071,5.79,-12.661,13.922
28,0.0,8.95,1260.05,4205.15,1259.918,4219.825,0.132,-14.675,14.676
29,0.0,15.2,1262.14,5198.42,1256.848,5202.975,5.292,-4.555,6.982
31,-4.7,8.95,518.3,4206.86,519.482,4216.969,-1.182,-10.109,10.178
32,-4.7,15.2,510.4,5202.53,516.412,5200.119,-6.012,2.411,6.477
33,-4.7,20.15,523.31,5983.11,513.98,5978.773,9.33,4.337,10.288
a,3.45,0.0,1805.14,2812.18,1807.826,2814.051,-2.686,-1.871,3.274
b,3.45,4.7,1806.14,3566.21,1805.518,3553.38,0.622,12.83,12.845
c,0.0,0.0,1262.79,2815.83,1264.315,2811.955,-1.525,3.875,4.164
d,0.0,4.7,1260.29,3568.0,1262.006,3551.283,-1.716,16.717,16.805
