reference_id,zone,reference_type,orientation,linked_support,physical_reference,evidence_status,source,may_bind_support_metric,note
G2REF-QCHAIN-A,3.25-2.40-2.90 chain,DIMENSION_EXTENSION_REFERENCE,TRANSVERSE,,UNBOUND_STRUCTURAL_REFERENCE,DOC_DIRECT_RASTER,data/canonical/PT_G2_DIMENSION_TEXT_OBSERVATIONS_v1.csv,NO,"Estremo sinistro del segmento 3.25; linea di estensione reale visibile, ma non associata a un centro di sostegno per prossimita."
G2REF-QCHAIN-B,3.25-2.40-2.90 chain,DIMENSION_EXTENSION_REFERENCE,TRANSVERSE,,UNBOUND_STRUCTURAL_REFERENCE,DOC_DIRECT_RASTER,data/canonical/PT_G2_DIMENSION_TEXT_OBSERVATIONS_v1.csv,NO,"Riferimento comune tra i segmenti 3.25 e 2.40; coincide con geometria strutturale visibile ma il tipo asse/faccia non e ancora determinato."
G2REF-P13,3.25-2.40-2.90 chain,DIMENSION_EXTENSION_REFERENCE,TRANSVERSE,13,SUPPORT_AXIS,DOC_DIRECT_RASTER,data/canonical/PT_G2_DIMENSION_TEXT_OBSERVATIONS_v1.csv,YES,"Estremo destro del 2.40 e sinistro del 2.90; la linea di estensione coincide con l'asse rappresentato di P13."
G2REF-P14,3.25-2.40-2.90 chain,DIMENSION_EXTENSION_REFERENCE,TRANSVERSE,14,SUPPORT_AXIS,DOC_DIRECT_RASTER,data/canonical/PT_G2_DIMENSION_TEXT_OBSERVATIONS_v1.csv,YES,"Estremo destro del 2.90; linea di estensione coincidente con l'asse rappresentato di P14."
G2REF-P18-X,P18,SUPPORT_CENTER_AXIS,LONGITUDINAL,18,AXIS_THROUGH_EXTENDED_SUPPORT,DOC_DIRECT_RASTER,TAV-02S current clean r2_c2,YES,"Asse longitudinale visibile all'interno del sostegno 110x30. Definisce un riferimento fisico, non prova da solo gli estremi delle quote 17-18 o 18-19."
G2REF-P18-Y,P18,SUPPORT_CENTER_AXIS,TRANSVERSE,18,AXIS_THROUGH_EXTENDED_SUPPORT,DOC_DIRECT_RASTER,TAV-02S current clean r2_c2,YES,"Asse trasversale visibile; intersezione con G2REF-P18-X definisce il centro fisico del sostegno esteso."
G2REF-P23-X,P23,SUPPORT_CENTER_AXIS,LONGITUDINAL,23,AXIS_THROUGH_EXTENDED_SUPPORT,DOC_DIRECT_RASTER,TAV-02S current clean r3_c2/r4_c2,YES,"Linea d'asse longitudinale leggibile nella sagoma 110x30; non equivale a nodo analitico di trave."
G2REF-P23-Y,P23,SUPPORT_CENTER_AXIS,TRANSVERSE,23,AXIS_THROUGH_EXTENDED_SUPPORT,DOC_DIRECT_RASTER,TAV-02S current clean r3_c2/r4_c2,YES,"Riferimento trasversale della sagoma; usare per geometria fisica solo dopo conferma della specifica quota che vi termina."
G2REF-P30-X,P30,SUPPORT_CENTER_AXIS,LONGITUDINAL,30,AXIS_THROUGH_EXTENDED_SUPPORT,DOC_DIRECT_RASTER,TAV-02S current clean r3_c1,YES,"Asse longitudinale osservato nella sagoma 30x110."
G2REF-P30-Y,P30,SUPPORT_CENTER_AXIS,TRANSVERSE,30,AXIS_THROUGH_EXTENDED_SUPPORT,DOC_DIRECT_RASTER,TAV-02S current clean r3_c1,YES,"Asse trasversale osservato; intersezione con l'asse longitudinale definisce il centro fisico, senza autorizzare quote centroidali non tracciate."
