support_id,x_m,y_m,x_status,y_status,axis_x,axis_y,overall_status,note
1,18.00,0.00,SOLVED_DOCUMENTARY,SOLVED_DOCUMENTARY,X_R3,Y_TOP,WORKING_SOLVED,"Top/right chain."
2,18.00,4.70,SOLVED_DOCUMENTARY,SOLVED_DOCUMENTARY,X_R3,Y_ROW1,WORKING_SOLVED,"Direct P1-P2=4.70."
3,18.00,9.80,SOLVED_DOCUMENTARY,SOLVED_DOCUMENTARY,X_R3,Y_ROW3,WORKING_SOLVED,"Direct P2-P3=5.10."
4,18.00,13.95,SOLVED_DOCUMENTARY,SOLVED_DOCUMENTARY,X_R3,Y_ROW4,WORKING_SOLVED,"Direct P3-P4=4.15."
5,16.10,13.95,SOLVED_DOCUMENTARY_ALIGNMENT,SOLVED_DOCUMENTARY,X_R2,Y_ROW4,WORKING_SOLVED,"P4-P5=1.90 and column alignment."
6,16.10,18.10,SOLVED_DOCUMENTARY_ALIGNMENT,SOLVED_DOCUMENTARY,X_R2,Y_ROW6,WORKING_SOLVED,"Direct row chain."
7,16.10,23.40,SOLVED_DOCUMENTARY_ALIGNMENT,SOLVED_DOCUMENTARY,X_R2,Y_LOW1,WORKING_SOLVED,"Direct P6-P7=5.30."
8,16.10,28.10,SOLVED_DOCUMENTARY_ALIGNMENT,SOLVED_DOCUMENTARY,X_R2,Y_LOW2,WORKING_SOLVED,"Direct P7-P8=4.70."
9,12.40,0.00,SOLVED_DOCUMENTARY,SOLVED_DOCUMENTARY,X_R1,Y_TOP,WORKING_SOLVED,"17-9=5.50."
10,12.40,4.70,SOLVED_DOCUMENTARY_ALIGNMENT,SOLVED_DOCUMENTARY_ALIGNMENT,X_R1,Y_ROW1,WORKING_SOLVED,"Column P9-P12 and row P2/d/b/P18 alignment."
11,12.40,9.80,SOLVED_DOCUMENTARY_ALIGNMENT,SOLVED_DOCUMENTARY_ALIGNMENT,X_R1,Y_ROW3,WORKING_SOLVED,"Column and row alignment."
12,12.40,,SOLVED_DOCUMENTARY_ALIGNMENT,UNRESOLVED_REFERENCE,X_R1,,WORKING_PARTIAL,"X fixed by column; Y not yet documentarily tied."
13,11.45,15.20,SOLVED_DOCUMENTARY_ALIGNMENT,SOLVED_DOCUMENTARY_ALIGNMENT,X_MID,Y_MID,WORKING_SOLVED,"P13-P14=2.90 plus row/column alignments."
14,11.45,18.10,SOLVED_DOCUMENTARY_ALIGNMENT,SOLVED_DOCUMENTARY_ALIGNMENT,X_MID,Y_ROW6,WORKING_SOLVED,"P13-P14=2.90; aligns with P6."
15,11.45,23.40,SOLVED_DOCUMENTARY_ALIGNMENT,SOLVED_DOCUMENTARY_ALIGNMENT,X_MID,Y_LOW1,WORKING_SOLVED,"P15-P7=4.65 and alignment."
16,11.45,28.10,SOLVED_DOCUMENTARY_ALIGNMENT,SOLVED_DOCUMENTARY_ALIGNMENT,X_MID,Y_LOW2,WORKING_SOLVED,"P16-P8=4.65 and alignment."
17,6.90,0.00,SOLVED_DOCUMENTARY,SOLVED_DOCUMENTARY,X_17,Y_TOP,WORKING_SOLVED,"a-17=3.45."
18,,4.70,UNRESOLVED_EXTENDED_REFERENCE,SOLVED_DOCUMENTARY_ALIGNMENT,,Y_ROW1,WORKING_PARTIAL,"Extended 110x30; transverse row known, X center/axis/faces still reference-pending."
19,,8.95,UNRESOLVED_REFERENCE,SOLVED_DOCUMENTARY_ALIGNMENT,,Y_LEFT_UPPER,WORKING_PARTIAL,"Row aligned with P25/P28/P31; P19/P20 share one unresolved local column X."
20,,9.80,UNRESOLVED_REFERENCE,SOLVED_DOCUMENTARY_ALIGNMENT,,Y_ROW3,WORKING_PARTIAL,"Row aligned with P11/P3; P19/P20 share one unresolved local column X."
21,5.55,15.20,SUPPORTED_REFERENCE_REBOUND,SOLVED_DOCUMENTARY_ALIGNMENT,X_L2,Y_MID,WORKING_SUPPORTED,"X derives from r4_c2 reference-line 3.45+2.10 chain; validate residual before promotion."
22,5.55,18.10,SUPPORTED_REFERENCE_REBOUND,SOLVED_DOCUMENTARY_ALIGNMENT,X_L2,Y_ROW6,WORKING_SUPPORTED,"Same X reference line as P21; Y aligns P14/P6."
22',5.55,19.28,SUPPORTED_REFERENCE_REBOUND,SUPPORTED_MIS_LOCAL_CALIBRATION,X_L2,Y_ROW7,WORKING_SUPPORTED_MIS,"Y = 18.10 + 1.18 m using MIS-22P-22 local HiRes measurement. Not DOC; compatible with 1.20 m candidate but no auto-promotion."
23,,23.40,UNRESOLVED_EXTENDED_REFERENCE,SOLVED_DOCUMENTARY_ALIGNMENT,,Y_LOW1,WORKING_PARTIAL,"Extended 110x30; Y row known; former 23-15=6.45 binding revoked because written 6.45 belongs to P24-P16."
24,5.00,28.10,SOLVED_DOCUMENTARY,SOLVED_DOCUMENTARY_ALIGNMENT,X_P24,Y_LOW2,WORKING_SOLVED,"P24-P16=6.45."
