entity_id,entity_type,x_local_m,y_local_m,coordinate_status,source_basis,note
1,NUMBERED_PILLAR,11.10,0.00,DERIVED_FROM_DOC_QUOTED,"PTQ-007;PTQ-008","P17=(0,0); 17-9=5.50; 9-1=5.60"
2,NUMBERED_PILLAR,11.10,4.70,DERIVED_FROM_DOC_QUOTED,"PTQ-001;PTQ-009;PTQ-010","right main chain + row alignment"
3,NUMBERED_PILLAR,11.10,9.80,DERIVED_FROM_DOC_QUOTED,"PTQ-001;PTQ-002;PTQ-011","right main chain"
4,NUMBERED_PILLAR,11.10,13.95,DERIVED_FROM_DOC_QUOTED,"PTQ-001..PTQ-004","right main chain"
5,NUMBERED_PILLAR,9.20,13.95,DERIVED_FROM_DOC_QUOTED,"PTQ-013","1.90 m left of P4"
6,NUMBERED_PILLAR,11.10,18.10,DERIVED_FROM_DOC_QUOTED,"PTQ-004","right main chain"
7,NUMBERED_PILLAR,11.10,23.43,DERIVED_FROM_DOC_QUOTED,"PTQ-005","right main chain"
8,NUMBERED_PILLAR,11.10,28.13,DERIVED_FROM_DOC_QUOTED,"PTQ-006","right main chain"
9,NUMBERED_PILLAR,5.50,0.00,DERIVED_FROM_DOC_QUOTED,"PTQ-007","top chain"
10,NUMBERED_PILLAR,5.50,4.70,DERIVED_FROM_DOC_ALIGN,"PTQ-009;PTQ-010","row through P2"
11,NUMBERED_PILLAR,5.50,9.80,DERIVED_FROM_DOC_ALIGN,"PTQ-011","row through P3"
12,NUMBERED_PILLAR,5.50,13.95,DERIVED_FROM_DOC_ALIGN,"PTQ-012","row through P4"
13,NUMBERED_PILLAR,,,OPEN_DIRECT_READ,"PTQ-O03","exact coordinates not determined by current quoted graph; do not interpolate"
14,NUMBERED_PILLAR,6.45,18.10,DERIVED_FROM_DOC_QUOTED,"PTQ-014","4.65 m left of P6"
15,NUMBERED_PILLAR,6.45,23.43,DERIVED_FROM_DOC_ALIGN,"PTQ-015;PTQ-017","alignment with P14 and 23-15 tie"
16,NUMBERED_PILLAR,6.45,28.13,DERIVED_FROM_DOC_ALIGN,"PTQ-016;PTQ-018;PTQ-019","alignment with P14/P15; lower chain"
17,NUMBERED_PILLAR,0.00,0.00,LOCAL_ORIGIN,"conventional origin","origin chosen only for coordinate reconstruction; not a documentary absolute origin"
18,NUMBERED_PILLAR,0.00,4.70,DERIVED_FROM_DOC_ALIGN,"PTQ-009","aligned with P17 and row P2/P10"
19,NUMBERED_PILLAR,,,OPEN_DIRECT_READ,"PTQ-O01","previous coordinate assignment superseded; exact coordinates must be reread"
20,NUMBERED_PILLAR,,,OPEN_DIRECT_READ,"PTQ-O02","previous coordinate assignment superseded; exact coordinates must be reread"
21,NUMBERED_PILLAR,0.00,12.23,DERIVED_FROM_DOC_GRAPH,"PTQ-022;PTQ-025;PTQ-029..PTQ-036;PTQ-017","left grid solved from horizontal and vertical quoted chains"
22,NUMBERED_PILLAR,0.00,18.48,DERIVED_FROM_DOC_GRAPH,"PTQ-025;PTQ-035","left grid solved from quoted 6.25 m row spacing"
22',NUMBERED_PILLAR,,,OPEN_DIRECT_READ,"OBS-R03C01-022P","identity and section known; coordinate not yet tied metrically"
23,NUMBERED_PILLAR,0.00,23.43,DERIVED_FROM_DOC_QUOTED,"PTQ-017;PTQ-036","anchor from 23-15=6.45 and P15 coordinate"
24,NUMBERED_PILLAR,0.00,28.13,DERIVED_FROM_DOC_QUOTED,"PTQ-018","anchor from 24-16=6.45"
25,NUMBERED_PILLAR,-2.10,12.23,DERIVED_FROM_DOC_QUOTED,"PTQ-022","2.10 m left of P21"
26,NUMBERED_PILLAR,-2.10,18.48,DERIVED_FROM_DOC_ALIGN,"PTQ-025;PTQ-033","same F2 alignment"
27,NUMBERED_PILLAR,-2.10,23.43,DERIVED_FROM_DOC_ALIGN,"PTQ-028;PTQ-034","same F2 alignment"
28,NUMBERED_PILLAR,-5.55,12.23,DERIVED_FROM_DOC_QUOTED,"PTQ-021","3.45 m left of P25"
29,NUMBERED_PILLAR,-5.55,18.48,DERIVED_FROM_DOC_ALIGN,"PTQ-024;PTQ-031","same F1 alignment"
30,NUMBERED_PILLAR,-5.55,23.43,DERIVED_FROM_DOC_ALIGN,"PTQ-027;PTQ-032","same F1 alignment"
31,NUMBERED_PILLAR,-10.25,12.23,DERIVED_FROM_DOC_QUOTED,"PTQ-020","4.70 m left of P28"
32,NUMBERED_PILLAR,-10.25,18.48,DERIVED_FROM_DOC_QUOTED,"PTQ-029","6.25 m from P31"
33,NUMBERED_PILLAR,-10.25,23.43,DERIVED_FROM_DOC_QUOTED,"PTQ-030","4.95 m from P32"
a,TERRACE_ADDED_PILLAR,,,OPEN_METRIC_BINDING,"user annotated original TAV-02S screenshot 2026-08-20","letter a is upper-right of the four identified symbols; vertically aligned with b; exact coordinate still to derive from surrounding quoted nodes"
b,TERRACE_ADDED_PILLAR,,,OPEN_METRIC_BINDING,"user annotated original TAV-02S screenshot 2026-08-20","letter b is lower-right; vertically aligned with a"
c,TERRACE_ADDED_PILLAR,,,OPEN_METRIC_BINDING,"user annotated original TAV-02S screenshot 2026-08-20","letter c is upper-left; vertically aligned with d"
d,TERRACE_ADDED_PILLAR,,,OPEN_METRIC_BINDING,"user annotated original TAV-02S screenshot 2026-08-20","letter d is lower-left; vertically aligned with c"
