entity_id,entity_type,x_m,y_m,coordinate_status,source_basis,note
c,TERRACE_ADDED_PILLAR,0.00,0.00,RIF_SOURCE_IDENTIFIED,"user identification on original TAV-02S R02C01 + TOP_MAIN","upper-left lettered pillar; corrected identity; symbol read as c"
a,TERRACE_ADDED_PILLAR,3.45,0.00,RIF_SOURCE_IDENTIFIED,"user identification on original TAV-02S R02C01 + TOP_MAIN 3.45","upper-right lettered pillar; symbol read as a"
17,NUMBERED_PILLAR,6.90,0.00,DOC_QUOTED,"TOP_MAIN 3.45+3.45","direct top-chain coordinate"
9,NUMBERED_PILLAR,12.40,0.00,DOC_QUOTED,"TOP_MAIN +5.50","direct top-chain coordinate"
1,NUMBERED_PILLAR,18.00,0.00,DOC_QUOTED,"TOP_MAIN +5.60","direct top-chain coordinate"
d,TERRACE_ADDED_PILLAR,0.00,4.70,RIF_SOURCE_IDENTIFIED_ALIGN,"user identification on original TAV-02S R02C01 + 4.70 vertical quote","lower-left lettered pillar; vertically aligned with c"
b,TERRACE_ADDED_PILLAR,3.45,4.70,RIF_SOURCE_IDENTIFIED_ALIGN,"user identification on original TAV-02S R02C01 + 4.70 vertical quote","lower-right lettered pillar; vertically aligned with a"
18,NUMBERED_PILLAR,6.90,4.70,DOC_QUOTED_ALIGN,"RIGHT/LEFT quoted 4.70 + top alignment","direct row coordinate"
10,NUMBERED_PILLAR,12.40,4.70,DOC_ALIGN,"alignment with 9 and second row","coordinate fixed by quoted grid"
2,NUMBERED_PILLAR,18.00,4.70,DOC_QUOTED,"RIGHT_MAIN V1","direct right-chain coordinate"
19,NUMBERED_PILLAR,6.90,8.75,DOC_QUOTED_RECOVERED,"PT_GEOMETRY_RESIDUAL_CANDIDATES_v2; 4.05 m from P18","recovered direct left-wing coordinate; independent of stale Master"
20,NUMBERED_PILLAR,6.90,9.80,DOC_ALIGN_RECOVERED,"PT_GEOMETRY_RESIDUAL_CANDIDATES_v2","recovered high-resolution alignment; keep distinct from P19"
11,NUMBERED_PILLAR,12.40,9.80,DOC_ALIGN,"RIGHT_MAIN Y=9.80 + top-line alignment","direct verified row"
3,NUMBERED_PILLAR,18.00,9.80,DOC_QUOTED,"RIGHT_MAIN V2","direct right-chain coordinate"
12,NUMBERED_PILLAR,12.40,13.95,DOC_ALIGN,"RIGHT_MAIN Y=13.95 + alignment","direct verified row"
5,NUMBERED_PILLAR,16.10,13.95,DOC_DIRECT_OFFSET,"1.90 m left of P4","offset node"
4,NUMBERED_PILLAR,18.00,13.95,DOC_QUOTED,"RIGHT_MAIN V3","direct right-chain coordinate"
13,NUMBERED_PILLAR,13.35,15.20,DOC_QUOTED_RECOVERED,"PT_GEOMETRY_RESIDUAL_CANDIDATES_v2; 2.90 m to P14","closed by direct high-resolution spacing"
14,NUMBERED_PILLAR,13.35,18.10,DOC_QUOTED,"4.65 m left of P6","lower-right branch"
6,NUMBERED_PILLAR,18.00,18.10,DOC_QUOTED,"RIGHT_MAIN V4","direct right-chain coordinate"
15,NUMBERED_PILLAR,13.35,23.43,DOC_ALIGN,"vertical alignment with P14 + cross-tie","lower-right branch"
7,NUMBERED_PILLAR,18.00,23.43,DOC_QUOTED,"RIGHT_MAIN V5","direct right-chain coordinate"
16,NUMBERED_PILLAR,13.35,28.13,DOC_ALIGN,"vertical alignment with P14/P15","lower-right branch"
8,NUMBERED_PILLAR,18.00,28.13,DOC_QUOTED,"RIGHT_MAIN V6","direct right-chain coordinate"
24,NUMBERED_PILLAR,6.90,28.13,DOC_GLOBAL_TIE,"P24-P16=6.45; P16-P8=4.65; common lower reference","independent lower-left global anchor"
26,NUMBERED_PILLAR,4.80,28.13,DOC_DIRECT_REFERENCE_LINE,"P26-P24=2.10 on same reference line","direct transverse mapping"
29,NUMBERED_PILLAR,1.35,28.13,DOC_DIRECT_REFERENCE_LINE,"P29-P26=3.45 on same reference line","direct transverse mapping"
32,NUMBERED_PILLAR,-3.35,28.13,DOC_DIRECT_REFERENCE_LINE,"P32-P29=4.70 on same reference line","direct transverse mapping"
31,NUMBERED_PILLAR,-3.35,21.88,DOC_QUOTED_FROM_ANCHOR,"P31-P32=6.25","F0 longitudinal quote anchored at P32"
33,NUMBERED_PILLAR,-3.35,33.08,DOC_QUOTED_FROM_ANCHOR,"P32-P33=4.95","F0 longitudinal quote anchored at P32"
21,NUMBERED_PILLAR,6.90,15.00,SOLVED_QUOTE_NETWORK_PENDING_ROW_BINDING,"LEFT_WING: P19 + 6.25","unique continuation of direct left-wing dimension chain; source-row binding to be checked on HiRes"
22,NUMBERED_PILLAR,6.90,19.95,SOLVED_QUOTE_NETWORK_PENDING_ROW_BINDING,"LEFT_WING: P21 + 4.95","satisfies left-wing chain; identity/section independently DOC_DIRECT on R03C01"
23,NUMBERED_PILLAR,6.90,23.43,DOC_QUOTED_TIE,"P23-P15=6.45","independent horizontal tie to P15"
