record_id,record_type,members_or_relation,value_m,evidence,status,note
AUTHORITY,SOURCE_POLICY,"TAV-02S native raster + pixel metric check",,"R02C01 direct symbol centers and written dimensions",CURRENT,"Supersedes PT_HIRES_MESH_RECONSTRUCTION_v4 and restores 3.45 m a-17 spacing"
SUPERSEDE-V4,SUPERSEDED_FILE,"PT_HIRES_MESH_RECONSTRUCTION_v4.csv",,"pixel spacing check on native R02C01",SUPERSEDED_MISREAD,"handwritten 3.45 had been misread as 5.45"
ROW-T0,ROW,"c-a-17-9-1",,"TAV-02S native HiRes + user letter identification",DOC_TOPOLOGY,"upper row original plan"
ROW-T1,ROW,"d-b-18-10-2",4.70,"TAV-02S native HiRes",DOC_TOPOLOGY,"lower row original plan"
CHAIN-T0-1,TRANSVERSE_CHAIN,"c-a",3.45,"TAV-02S direct written dimension",DOC_QUOTED,"pixel spacing calibration reference"
CHAIN-T0-2,TRANSVERSE_CHAIN,"a-17",3.45,"TAV-02S native R02C01; pixel separation matches c-a within raster tolerance",DOC_CROSS_VALIDATED,"restores v3 value; v4 5.45 is invalid"
CHAIN-T0-3,TRANSVERSE_CHAIN,"17-9",5.50,"TAV-02S direct written dimension",DOC_QUOTED,"top main chain"
CHAIN-T0-4,TRANSVERSE_CHAIN,"9-1",5.60,"TAV-02S direct written dimension",DOC_QUOTED,"top main chain"
CHAIN-TERR-V1,LONGITUDINAL_CHAIN,"c-d",4.70,"TAV-02S direct row spacing",DOC_QUOTED,"terrace"
CHAIN-TERR-V2,LONGITUDINAL_CHAIN,"a-b",4.70,"TAV-02S direct row spacing",DOC_QUOTED,"terrace"
CHAIN-MAIN-V0,LONGITUDINAL_CHAIN,"17-18",4.70,"TAV-02S direct row spacing",DOC_QUOTED_ALIGN,"main receiving line"
ROW-L1,ROW,"31-28-25-19",,"TAV-02S native HiRes",DOC_HIRES_ROW,"stepped left mesh"
ROW-L2,ROW,"32-29-26-21",,"TAV-02S native HiRes",DOC_HIRES_ROW,"stepped left mesh"
ROW-L3,ROW,"33-30-27-22",,"TAV-02S native HiRes",DOC_HIRES_ROW,"stepped left mesh"
CHAIN-L-X1,TRANSVERSE_CHAIN,"31-28;32-29;33-30",4.70,"TAV-02S written chain",DOC_QUOTED,"verified rows"
CHAIN-L-X2,TRANSVERSE_CHAIN,"28-25;29-26;30-27",3.45,"TAV-02S written chain",DOC_QUOTED,"verified rows"
CHAIN-L-X3,TRANSVERSE_CHAIN,"25-19;26-21;27-22",2.10,"TAV-02S written chain",DOC_QUOTED,"verified rows"
CHAIN-L-Y1,LONGITUDINAL_CHAIN,"31-32",6.25,"TAV-02S direct dimension",DOC_QUOTED,"left external chain"
CHAIN-L-Y2,LONGITUDINAL_CHAIN,"32-33",4.95,"TAV-02S direct dimension",DOC_QUOTED,"left external chain"
P19-BIND,NODE_BINDING,"18-19",4.05,"TAV-02S direct left-wing chain",DOC_QUOTED,"P19 at y=8.75 in local system"
P13-BIND,NODE_BINDING,"13-14",2.90,"TAV-02S native HiRes",DOC_QUOTED,"direct spacing"
LOW-R1,ROW,"23-15-7",,"TAV-02S native lower sector",DOC_TOPOLOGY,"lower cross row"
LOW-R2,ROW,"24-16-8",,"TAV-02S native lower sector",DOC_TOPOLOGY,"lower cross row"
LOW-X1,TRANSVERSE_CHAIN,"23-15;24-16",6.45,"TAV-02S bottom chain",DOC_QUOTED,"lower sector"
LOW-X2,TRANSVERSE_CHAIN,"15-7;16-8",4.65,"TAV-02S bottom chain",DOC_QUOTED,"lower sector"
P22P-ID,ADDITIONAL_PILLAR,"22' distinct from 22",,"TAV-02S R03C01",DOC_DIRECT_ID_SECTION,"offset ~1.20 m MIS candidate; vector pending"
