entity_id,entity_type,x_global_m,y_global_m,section_cm,orientation_class,x_min_m,x_max_m,y_min_m,y_max_m,metric_evidence,master_status,analytical_node_count,analytical_nodes,node_registry,beam_registry
1,NUMBERED_PILLAR,18.0000,0.0000,40x50,40x50,17.8000,18.2000,-0.2500,0.2500,DOC_METRIC_OR_AXIS,CURRENT,2,"AN-008@WEST(17.8000,0.0000)[B-004];AN-013@SOUTH(18.0000,0.2500)[B-007]",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
2,NUMBERED_PILLAR,18.0000,4.7000,50x40,50x40,17.7500,18.2500,4.5000,4.9000,DOC_METRIC_OR_AXIS,CURRENT,3,"AN-014@NORTH(18.0000,4.5000)[B-007];AN-015@SOUTH(18.0000,4.9000)[B-008];AN-074@WEST(17.7500,4.7000)[B-039]",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
3,NUMBERED_PILLAR,18.0000,9.8000,60x40,60x40,17.7000,18.3000,9.6000,10.0000,DOC_METRIC_OR_AXIS,CURRENT,3,"AN-016@NORTH(18.0000,9.6000)[B-008];AN-017@SOUTH(18.0000,10.0000)[B-009];AN-078@WEST(17.7000,9.8000)[B-041]",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
4,NUMBERED_PILLAR,18.0000,13.9500,40x50,40x50,17.8000,18.2000,13.7000,14.2000,DOC_METRIC_OR_AXIS,CURRENT,2,"AN-018@NORTH(18.0000,13.7000)[B-009];AN-026@WEST(17.8000,13.9500)[B-013]",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
5,NUMBERED_PILLAR,16.1000,13.9500,40x50,40x50,15.9000,16.3000,13.7000,14.2000,DOC_METRIC_OR_AXIS,CURRENT,2,"AN-019@SOUTH(16.1000,14.2000)[B-010];AN-025@EAST(16.3000,13.9500)[B-013]",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
6,NUMBERED_PILLAR,16.1000,18.1000,50x40,50x40,15.8500,16.3500,17.9000,18.3000,DOC_METRIC_OR_AXIS,CURRENT,3,"AN-020@NORTH(16.1000,17.9000)[B-010];AN-021@SOUTH(16.1000,18.3000)[B-011];AN-084@WEST(15.8500,18.1000)[B-045]",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
7,NUMBERED_PILLAR,16.1000,23.4000,50x40,50x40,15.8500,16.3500,23.2000,23.6000,DOC_METRIC_OR_AXIS,CURRENT,3,"AN-022@NORTH(16.1000,23.2000)[B-011];AN-023@SOUTH(16.1000,23.6000)[B-012];AN-062@WEST(15.8500,23.4000)[B-032]",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
8,NUMBERED_PILLAR,16.1000,28.1000,40x50,40x50,15.9000,16.3000,27.8500,28.3500,DOC_METRIC_OR_AXIS,CURRENT,2,"AN-024@NORTH(16.1000,27.8500)[B-012];AN-066@WEST(15.9000,28.1000)[B-034]",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
9,NUMBERED_PILLAR,12.4000,0.0000,40x50,40x50,12.2000,12.6000,-0.2500,0.2500,DOC_METRIC_OR_AXIS,CURRENT,3,"AN-006@WEST(12.2000,0.0000)[B-003];AN-007@EAST(12.6000,0.0000)[B-004];AN-079@SOUTH(12.4000,0.2500)[B-042]",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
10,NUMBERED_PILLAR,12.4000,4.7000,50x40,50x40,12.1500,12.6500,4.5000,4.9000,DOC_METRIC_OR_AXIS,CURRENT_WITH_WATCH,4,"AN-072@WEST(12.1500,4.7000)[B-038]*;AN-073@EAST(12.6500,4.7000)[B-039];AN-080@NORTH(12.4000,4.5000)[B-042];AN-081@SOUTH(12.4000,4.9000)[B-043]",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
11,NUMBERED_PILLAR,12.4000,9.8000,50x40,50x40,12.1500,12.6500,9.6000,10.0000,DOC_METRIC_OR_AXIS,CURRENT_WITH_WATCH,4,"AN-076@WEST(12.1500,9.8000)[B-040]*;AN-077@EAST(12.6500,9.8000)[B-041];AN-082@NORTH(12.4000,9.6000)[B-043];AN-089@SOUTH(12.4000,10.0000)[B-048]*",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
12,NUMBERED_PILLAR,12.4000,13.0725,40x50,40x50,12.2000,12.6000,12.8225,13.3225,MIS_AFFINE,CURRENT_WITH_WATCH,2,"AN-090@NORTH(12.4000,12.8225)[B-048]*;AN-091@SOUTH(12.2884,13.3225)[B-049]*",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
13,NUMBERED_PILLAR,11.4500,15.2000,50x40,50x40,11.2000,11.7000,15.0000,15.4000,DOC_METRIC_OR_AXIS,CURRENT_WITH_WATCH,2,"AN-092@NORTH(11.5393,15.0000)[B-049]*;AN-093@SOUTH(11.4500,15.4000)[B-050]",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
14,NUMBERED_PILLAR,11.4500,18.1000,50x40,50x40,11.2000,11.7000,17.9000,18.3000,DOC_METRIC_OR_AXIS,CURRENT,3,"AN-083@EAST(11.7000,18.1000)[B-045];AN-085@SOUTH(11.4500,18.3000)[B-046];AN-094@NORTH(11.4500,17.9000)[B-050]",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
15,NUMBERED_PILLAR,11.4500,23.4000,50x40,50x40,11.2000,11.7000,23.2000,23.6000,DOC_METRIC_OR_AXIS,CURRENT_WITH_WATCH,4,"AN-060@WEST(11.2000,23.4000)[B-031]*;AN-061@EAST(11.7000,23.4000)[B-032];AN-069@SOUTH(11.4500,23.6000)[B-036];AN-086@NORTH(11.4500,23.2000)[B-046]",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
16,NUMBERED_PILLAR,11.4500,28.1000,50x40,50x40,11.2000,11.7000,27.9000,28.3000,DOC_METRIC_OR_AXIS,CURRENT,3,"AN-064@WEST(11.2000,28.1000)[B-033];AN-065@EAST(11.7000,28.1000)[B-034];AN-070@NORTH(11.4500,27.9000)[B-036]",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
17,NUMBERED_PILLAR,6.9000,0.0000,50x40,50x40,6.6500,7.1500,-0.2000,0.2000,DOC_METRIC_OR_AXIS,CURRENT,2,"AN-004@WEST(6.6500,0.0000)[B-002];AN-005@EAST(7.1500,0.0000)[B-003]",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
18,NUMBERED_PILLAR,7.2240,4.7000,110x30,110x30,6.6740,7.7740,4.5500,4.8500,MIS_AFFINE_EXTENDED,CURRENT_WITH_WATCH,2,"AN-012@WEST(6.6740,4.7000)[B-006]*;AN-071@EAST(7.7740,4.7000)[B-038]*",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
19,NUMBERED_PILLAR,7.6318,8.9500,40x50,40x50,7.4318,7.8318,8.7000,9.2000,MIS_AFFINE_WATCH,CURRENT_WITH_WATCH,2,"AN-032@WEST(7.4318,8.9500)[B-016]*;AN-097@SOUTH(7.6318,9.2000)[B-052]*",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
20,NUMBERED_PILLAR,7.6318,9.8000,50x40,50x40,7.3818,7.8818,9.6000,10.0000,MIS_AFFINE_WATCH,CURRENT_WITH_WATCH,3,"AN-075@EAST(7.8818,9.8000)[B-040]*;AN-095@SOUTH(7.5547,10.0000)[B-051]*;AN-098@NORTH(7.6318,9.6000)[B-052]*",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
21,NUMBERED_PILLAR,5.5500,15.2000,40x50,40x50,5.3500,5.7500,14.9500,15.4500,SUPPORTED_REFERENCE_REBOUND,CURRENT,3,"AN-038@WEST(5.3500,15.2000)[B-019];AN-057@SOUTH(5.5500,15.4500)[B-030];AN-096@NORTH(5.6464,14.9500)[B-051]",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
22,NUMBERED_PILLAR,5.5500,18.1000,50x40,50x40,5.3000,5.8000,17.9000,18.3000,SUPPORTED_REFERENCE_REBOUND,CURRENT_WITH_WATCH,2,"AN-058@NORTH(5.5500,17.9000)[B-030];AN-087@SOUTH(5.5500,18.3000)[B-047]*",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
22',NUMBERED_PILLAR,5.5500,19.2800,50x40,50x40,5.3000,5.8000,19.0800,19.4800,SUPPORTED_REFERENCE_PLUS_MIS,CURRENT_WITH_WATCH,2,"AN-044@WEST(5.3000,19.2800)[B-022]*;AN-088@NORTH(5.5500,19.0800)[B-047]*",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
23,NUMBERED_PILLAR,5.2289,23.4000,110x30,110x30,4.6789,5.7789,23.2500,23.5500,MIS_AFFINE_EXTENDED,CURRENT_WITH_WATCH,2,"AN-059@EAST(5.7789,23.4000)[B-031]*;AN-067@SOUTH(5.0000,23.5500)[B-035]*",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
24,NUMBERED_PILLAR,5.0000,28.1000,40x50,40x50,4.8000,5.2000,27.8500,28.3500,DOC_METRIC_OR_AXIS,CURRENT_WITH_WATCH,2,"AN-063@EAST(5.2000,28.1000)[B-033];AN-068@NORTH(5.0000,27.8500)[B-035]*",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
25,NUMBERED_PILLAR,3.4500,8.9500,50x40,50x40,3.2000,3.7000,8.7500,9.1500,DOC_METRIC_OR_AXIS,CURRENT_WITH_WATCH,3,"AN-030@WEST(3.2000,8.9500)[B-015]*;AN-031@EAST(3.7000,8.9500)[B-016]*;AN-053@SOUTH(3.4500,9.1500)[B-027]",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
26,NUMBERED_PILLAR,3.4500,15.2000,50x40,50x40,3.2000,3.7000,15.0000,15.4000,DOC_METRIC_OR_AXIS,CURRENT,4,"AN-036@WEST(3.2000,15.2000)[B-018];AN-037@EAST(3.7000,15.2000)[B-019];AN-054@NORTH(3.4500,15.0000)[B-027];AN-055@SOUTH(3.4500,15.4000)[B-028]",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
