mesh_id,edge_or_path,quoted_m,computed_m,residual_m,closure_status,evidence,note
M-TOP-01,c-a,3.45,3.45,0.00,CLOSED,"TAV-02S TOP_MAIN + user source identification","corrected letter identities"
M-TOP-02,a-17,3.45,3.45,0.00,CLOSED,"TAV-02S TOP_MAIN","direct"
M-TOP-03,17-9,5.50,5.50,0.00,CLOSED,"TAV-02S TOP_MAIN","direct"
M-TOP-04,9-1,5.60,5.60,0.00,CLOSED,"TAV-02S TOP_MAIN","direct"
M-V-01,c-d,4.70,4.70,0.00,CLOSED,"user source identification + visible TAV-02S vertical quote","lettered column"
M-V-02,a-b,4.70,4.70,0.00,CLOSED,"user source identification + row alignment","lettered column"
M-V-03,17-18,4.70,4.70,0.00,CLOSED,"TAV-02S quoted chain","direct"
M-RIGHT-01,1-2,4.70,4.70,0.00,CLOSED,"RIGHT_MAIN","direct"
M-RIGHT-02,2-3,5.10,5.10,0.00,CLOSED,"RIGHT_MAIN","direct"
M-RIGHT-03,3-4,4.15,4.15,0.00,CLOSED,"RIGHT_MAIN","direct"
M-RIGHT-04,4-6,4.15,4.15,0.00,CLOSED,"RIGHT_MAIN","direct"
M-RIGHT-05,6-7,5.33,5.33,0.00,CLOSED,"RIGHT_MAIN","direct"
M-RIGHT-06,7-8,4.70,4.70,0.00,CLOSED,"RIGHT_MAIN","direct"
M-OFF-01,5-4,1.90,1.90,0.00,CLOSED,"TAV-02S direct offset","P5 offset"
M-LR-01,14-6,4.65,4.65,0.00,CLOSED,"TAV-02S lower-right quote","direct"
M-LR-02,23-15,6.45,6.45,0.00,CLOSED,"TAV-02S cross-tie","direct"
M-LR-03,24-16,6.45,6.45,0.00,CLOSED,"TAV-02S bottom-right","direct"
M-LR-04,16-8,4.65,4.65,0.00,CLOSED,"TAV-02S bottom-right","direct"
M-13-14,13-14,2.90,2.90,0.00,CLOSED,"native HiRes residual closure","P13 recovered"
M-LW-01,18-19,4.05,4.05,0.00,CLOSED,"native HiRes + LEFT_WING","P19 recovered"
M-LW-02,19-21,6.25,6.25,0.00,CLOSED_NUMERIC_PENDING_SOURCE_BINDING,"LEFT_WING dimension chain","metric closure exact; endpoint mapping still requires source-row crosscheck"
M-LW-03,21-22,4.95,4.95,0.00,CLOSED_NUMERIC_PENDING_SOURCE_BINDING,"LEFT_WING dimension chain","metric closure exact; endpoint mapping still requires source-row crosscheck"
M-F0-01,31-32,6.25,6.25,0.00,CLOSED,"TAV-02S left external longitudinal chain","direct"
M-F0-02,32-33,4.95,4.95,0.00,CLOSED,"TAV-02S left external longitudinal chain","direct"
M-REF-01,32-29,4.70,4.70,0.00,CLOSED,"TAV-02S direct same reference line","direct pair"
M-REF-02,29-26,3.45,3.45,0.00,CLOSED,"TAV-02S direct same reference line","direct pair"
M-REF-03,26-24,2.10,2.10,0.00,CLOSED,"TAV-02S direct same reference line","direct pair"
M-F1-01,28-29,,, ,OPEN,"identity/order 28/29/30 only","specific longitudinal spacing not yet source-bound"
M-F1-02,29-30,,, ,OPEN,"identity/order 28/29/30 only","specific longitudinal spacing not yet source-bound"
M-F2-01,25-26,,, ,OPEN,"identity/order 25/26/27 only","specific longitudinal spacing not yet source-bound"
M-F2-02,26-27,,, ,OPEN,"identity/order 25/26/27 only","specific longitudinal spacing not yet source-bound"
M-22P,22'-grid,,, ,OPEN,"22' DOC_DIRECT on R03C01","identity and 50x40 section closed; metric binding open"
