support_id,u_observed_px,v_observed_px,u_predicted_px,v_predicted_px,du_px,dv_px,residual_px,residual_status,evidence_class
1,4096.63,2823.61,4100.03,2822.89,3.40,-0.72,3.47,PASS_DIAGNOSTIC,DOC_METRIC_OR_AXIS
2,4103.63,3562.06,4097.72,3562.22,-5.91,0.16,5.91,PASS_DIAGNOSTIC,DOC_METRIC_OR_AXIS
3,4103.63,4363.51,4095.21,4364.47,-8.42,0.96,8.47,PASS_DIAGNOSTIC,DOC_METRIC_OR_AXIS
4,4096.18,5012.85,4093.18,5017.28,-3.00,4.43,5.35,PASS_DIAGNOSTIC,DOC_METRIC_OR_AXIS
5,3796.28,5013.35,3793.85,5016.13,-2.43,2.78,3.69,PASS_DIAGNOSTIC,DOC_METRIC_OR_AXIS
6,3789.78,5666.81,3791.81,5668.94,2.03,2.13,2.94,PASS_DIAGNOSTIC,DOC_METRIC_OR_AXIS
7,3792.78,6496.76,3789.21,6502.65,-3.57,5.89,6.89,PASS_DIAGNOSTIC,DOC_METRIC_OR_AXIS
8,3788.50,7240.97,3786.90,7241.98,-1.60,1.01,1.89,PASS_DIAGNOSTIC,DOC_METRIC_OR_AXIS
9,3217.96,2822.11,3217.81,2819.49,-0.15,-2.62,2.62,PASS_DIAGNOSTIC,DOC_METRIC_OR_AXIS
10,3215.46,3561.56,3215.50,3558.82,0.04,-2.74,2.74,PASS_DIAGNOSTIC,DOC_METRIC_OR_AXIS
11,3214.96,4364.01,3212.99,4361.07,-1.97,-2.94,3.54,PASS_DIAGNOSTIC,DOC_METRIC_OR_AXIS
12,3216.97,4875.86,3211.38,4875.85,-5.59,-0.01,5.59,PASS_DIAGNOSTIC,MIS_AFFINE
13,3046.92,5210.91,3060.68,5209.93,13.76,-0.98,13.79,PASS_DIAGNOSTIC,DOC_METRIC_OR_AXIS
14,3047.92,5669.41,3059.25,5666.11,11.33,-3.30,11.80,PASS_DIAGNOSTIC,DOC_METRIC_OR_AXIS
15,3050.65,6499.69,3056.65,6499.82,6.00,0.13,6.00,PASS_DIAGNOSTIC,DOC_METRIC_OR_AXIS
16,3051.65,7244.25,3054.34,7239.15,2.69,-5.10,5.76,PASS_DIAGNOSTIC,DOC_METRIC_OR_AXIS
17,2345.57,2819.68,2351.34,2816.15,5.77,-3.53,6.76,PASS_DIAGNOSTIC,DOC_METRIC_OR_AXIS
18,2400.06,3560.21,2400.07,3555.67,0.01,-4.54,4.54,PASS_DIAGNOSTIC,MIS_AFFINE_EXTENDED
19,2458.56,4200.73,2462.23,4224.46,3.67,23.73,24.01,WATCH,MIS_AFFINE_WATCH
20,2465.55,4363.23,2461.81,4358.17,-3.74,-5.06,6.29,PASS_DIAGNOSTIC,MIS_AFFINE_WATCH
21,2138.09,5211.91,2131.19,5206.35,-6.90,-5.56,8.86,PASS_DIAGNOSTIC,SUPPORTED_REFERENCE_REBOUND
22,2139.09,5665.91,2129.77,5662.53,-9.32,-3.38,9.92,PASS_DIAGNOSTIC,SUPPORTED_REFERENCE_REBOUND
22',2133.09,5852.40,2129.19,5848.15,-3.90,-4.25,5.77,PASS_DIAGNOSTIC,SUPPORTED_REFERENCE_PLUS_MIS
23,2076.60,6491.39,2076.58,6496.04,-0.02,4.65,4.65,PASS_DIAGNOSTIC,MIS_AFFINE_EXTENDED
24,2031.19,7246.75,2038.21,7235.23,7.02,-11.52,13.49,PASS_DIAGNOSTIC,DOC_METRIC_OR_AXIS
25,1804.14,4200.73,1803.43,4221.92,-0.71,21.19,21.20,WATCH,DOC_METRIC_OR_AXIS
26,1806.15,5192.41,1800.36,5205.07,-5.79,12.66,13.92,PASS_DIAGNOSTIC,DOC_METRIC_OR_AXIS
27,1808.65,5844.90,1798.36,5846.87,-10.29,1.97,10.48,PASS_DIAGNOSTIC,SUPPORTED_MIS_SHARED_ROW
28,1260.05,4205.15,1259.92,4219.82,-0.13,14.67,14.68,PASS_DIAGNOSTIC,DOC_METRIC_OR_AXIS
29,1262.14,5198.42,1256.85,5202.97,-5.29,4.55,6.98,PASS_DIAGNOSTIC,DOC_METRIC_OR_AXIS
30,1265.81,5916.13,1254.62,5916.10,-11.19,-0.03,11.19,PASS_DIAGNOSTIC,SUPPORTED_REFERENCE_PLUS_MIS_EXTENDED
31,518.30,4206.86,519.48,4216.97,1.18,10.11,10.18,PASS_DIAGNOSTIC,DOC_METRIC_OR_AXIS
32,510.40,5202.53,516.41,5200.12,6.01,-2.41,6.48,PASS_DIAGNOSTIC,DOC_METRIC_OR_AXIS
33,523.31,5983.11,513.98,5978.77,-9.33,-4.34,10.29,PASS_DIAGNOSTIC,DOC_METRIC_OR_AXIS
a,1805.14,2812.18,1807.83,2814.05,2.69,1.87,3.27,PASS_DIAGNOSTIC,DOC_METRIC_OR_AXIS
b,1806.14,3566.21,1805.52,3553.38,-0.62,-12.83,12.85,PASS_DIAGNOSTIC,DOC_METRIC_OR_AXIS
c,1262.79,2815.83,1264.31,2811.95,1.52,-3.88,4.16,PASS_DIAGNOSTIC,DOC_METRIC_OR_AXIS
d,1260.29,3568.00,1262.01,3551.28,1.72,-16.72,16.80,WATCH,DOC_METRIC_OR_AXIS
