support_id,x_m,y_m,evidence_class,geometry_kind,g3_status,master_promotion,note
1,18.0000,0.0000,DOC_METRIC_OR_AXIS,ORDINARY_SUPPORT,CURRENT_CANDIDATE,NO_PENDING_G3,""
2,18.0000,4.7000,DOC_METRIC_OR_AXIS,ORDINARY_SUPPORT,CURRENT_CANDIDATE,NO_PENDING_G3,""
3,18.0000,9.8000,DOC_METRIC_OR_AXIS,ORDINARY_SUPPORT,CURRENT_CANDIDATE,NO_PENDING_G3,""
4,18.0000,13.9500,DOC_METRIC_OR_AXIS,ORDINARY_SUPPORT,CURRENT_CANDIDATE,NO_PENDING_G3,""
5,16.1000,13.9500,DOC_METRIC_OR_AXIS,ORDINARY_SUPPORT,CURRENT_CANDIDATE,NO_PENDING_G3,""
6,16.1000,18.1000,DOC_METRIC_OR_AXIS,ORDINARY_SUPPORT,CURRENT_CANDIDATE,NO_PENDING_G3,""
7,16.1000,23.4000,DOC_METRIC_OR_AXIS,ORDINARY_SUPPORT,CURRENT_CANDIDATE,NO_PENDING_G3,""
8,16.1000,28.1000,DOC_METRIC_OR_AXIS,ORDINARY_SUPPORT,CURRENT_CANDIDATE,NO_PENDING_G3,""
9,12.4000,0.0000,DOC_METRIC_OR_AXIS,ORDINARY_SUPPORT,CURRENT_CANDIDATE,NO_PENDING_G3,""
10,12.4000,4.7000,DOC_METRIC_OR_AXIS,ORDINARY_SUPPORT,CURRENT_CANDIDATE,NO_PENDING_G3,""
11,12.4000,9.8000,DOC_METRIC_OR_AXIS,ORDINARY_SUPPORT,CURRENT_CANDIDATE,NO_PENDING_G3,""
12,12.4000,13.0725,MIS_AFFINE,ORDINARY_SUPPORT,CURRENT_CANDIDATE,NO_PENDING_G3,""
13,11.4500,15.2000,DOC_METRIC_OR_AXIS,ORDINARY_SUPPORT,CURRENT_CANDIDATE,NO_PENDING_G3,""
14,11.4500,18.1000,DOC_METRIC_OR_AXIS,ORDINARY_SUPPORT,CURRENT_CANDIDATE,NO_PENDING_G3,""
15,11.4500,23.4000,DOC_METRIC_OR_AXIS,ORDINARY_SUPPORT,CURRENT_CANDIDATE,NO_PENDING_G3,""
16,11.4500,28.1000,DOC_METRIC_OR_AXIS,ORDINARY_SUPPORT,CURRENT_CANDIDATE,NO_PENDING_G3,""
17,6.9000,0.0000,DOC_METRIC_OR_AXIS,ORDINARY_SUPPORT,CURRENT_CANDIDATE,NO_PENDING_G3,""
18,7.2240,4.7000,MIS_AFFINE_EXTENDED,EXTENDED_110x30,CURRENT_CANDIDATE,NO_PENDING_G3,"Physical support center only; analytical beam-face nodes remain separate."
19,7.6318,8.9500,MIS_AFFINE_WATCH,ORDINARY_SUPPORT,CURRENT_CANDIDATE_WATCH,NO_PENDING_G3,"Common MIS column; P19 local raster residual is WATCH."
20,7.6318,9.8000,MIS_AFFINE_WATCH,ORDINARY_SUPPORT,CURRENT_CANDIDATE_WATCH,NO_PENDING_G3,"Common MIS column; P19 local raster residual is WATCH."
21,5.5500,15.2000,SUPPORTED_REFERENCE_REBOUND,ORDINARY_SUPPORT,CURRENT_CANDIDATE,NO_PENDING_G3,""
22,5.5500,18.1000,SUPPORTED_REFERENCE_REBOUND,ORDINARY_SUPPORT,CURRENT_CANDIDATE,NO_PENDING_G3,""
22',5.5500,19.2800,SUPPORTED_REFERENCE_PLUS_MIS,ORDINARY_SUPPORT,CURRENT_CANDIDATE,NO_PENDING_G3,""
23,5.2289,23.4000,MIS_AFFINE_EXTENDED,EXTENDED_110x30,CURRENT_CANDIDATE,NO_PENDING_G3,"Physical support center only; analytical beam-face nodes remain separate."
24,5.0000,28.1000,DOC_METRIC_OR_AXIS,ORDINARY_SUPPORT,CURRENT_CANDIDATE,NO_PENDING_G3,""
25,3.4500,8.9500,DOC_METRIC_OR_AXIS,ORDINARY_SUPPORT,CURRENT_CANDIDATE,NO_PENDING_G3,""
