support_id,x_center_m,y_center_m,width_x_m,height_y_m,x_min_m,x_max_m,y_min_m,y_max_m,geometry_source,metric_center_evidence,analytical_nodes_authorized,note
1,18.0000,0.0000,0.400,0.500,17.8000,18.2000,-0.2500,0.2500,CENTER_PLUS_DOC_SECTION_ORIENTATION,DOC_METRIC_OR_AXIS,NO,""
2,18.0000,4.7000,0.500,0.400,17.7500,18.2500,4.5000,4.9000,CENTER_PLUS_DOC_SECTION_ORIENTATION,DOC_METRIC_OR_AXIS,NO,""
3,18.0000,9.8000,0.600,0.400,17.7000,18.3000,9.6000,10.0000,CENTER_PLUS_DOC_SECTION_ORIENTATION,DOC_METRIC_OR_AXIS,NO,""
4,18.0000,13.9500,0.400,0.500,17.8000,18.2000,13.7000,14.2000,CENTER_PLUS_DOC_SECTION_ORIENTATION,DOC_METRIC_OR_AXIS,NO,""
5,16.1000,13.9500,0.400,0.500,15.9000,16.3000,13.7000,14.2000,CENTER_PLUS_DOC_SECTION_ORIENTATION,DOC_METRIC_OR_AXIS,NO,""
6,16.1000,18.1000,0.500,0.400,15.8500,16.3500,17.9000,18.3000,CENTER_PLUS_DOC_SECTION_ORIENTATION,DOC_METRIC_OR_AXIS,NO,""
7,16.1000,23.4000,0.500,0.400,15.8500,16.3500,23.2000,23.6000,CENTER_PLUS_DOC_SECTION_ORIENTATION,DOC_METRIC_OR_AXIS,NO,""
8,16.1000,28.1000,0.400,0.500,15.9000,16.3000,27.8500,28.3500,CENTER_PLUS_DOC_SECTION_ORIENTATION,DOC_METRIC_OR_AXIS,NO,""
9,12.4000,0.0000,0.400,0.500,12.2000,12.6000,-0.2500,0.2500,CENTER_PLUS_DOC_SECTION_ORIENTATION,DOC_METRIC_OR_AXIS,NO,""
10,12.4000,4.7000,0.500,0.400,12.1500,12.6500,4.5000,4.9000,CENTER_PLUS_DOC_SECTION_ORIENTATION,DOC_METRIC_OR_AXIS,NO,""
11,12.4000,9.8000,0.500,0.400,12.1500,12.6500,9.6000,10.0000,CENTER_PLUS_DOC_SECTION_ORIENTATION,DOC_METRIC_OR_AXIS,NO,""
12,12.4000,13.0725,0.400,0.500,12.2000,12.6000,12.8225,13.3225,CENTER_PLUS_DOC_SECTION_ORIENTATION,MIS_AFFINE,NO,""
13,11.4500,15.2000,0.500,0.400,11.2000,11.7000,15.0000,15.4000,CENTER_PLUS_DOC_SECTION_ORIENTATION,DOC_METRIC_OR_AXIS,NO,""
14,11.4500,18.1000,0.500,0.400,11.2000,11.7000,17.9000,18.3000,CENTER_PLUS_DOC_SECTION_ORIENTATION,DOC_METRIC_OR_AXIS,NO,""
15,11.4500,23.4000,0.500,0.400,11.2000,11.7000,23.2000,23.6000,CENTER_PLUS_DOC_SECTION_ORIENTATION,DOC_METRIC_OR_AXIS,NO,""
16,11.4500,28.1000,0.500,0.400,11.2000,11.7000,27.9000,28.3000,CENTER_PLUS_DOC_SECTION_ORIENTATION,DOC_METRIC_OR_AXIS,NO,""
17,6.9000,0.0000,0.500,0.400,6.6500,7.1500,-0.2000,0.2000,CENTER_PLUS_DOC_SECTION_ORIENTATION,DOC_METRIC_OR_AXIS,NO,""
18,7.2240,4.7000,1.100,0.300,6.6740,7.7740,4.5500,4.8500,OBSERVED_EXTENDED_FOOTPRINT_PLUS_SECTION,MIS_AFFINE_EXTENDED,NO,"Extended physical support; preserve faces."
19,7.6318,8.9500,0.400,0.500,7.4318,7.8318,8.7000,9.2000,CENTER_PLUS_DOC_SECTION_ORIENTATION,MIS_AFFINE_WATCH,NO,""
20,7.6318,9.8000,0.500,0.400,7.3818,7.8818,9.6000,10.0000,CENTER_PLUS_DOC_SECTION_ORIENTATION,MIS_AFFINE_WATCH,NO,""
21,5.5500,15.2000,0.400,0.500,5.3500,5.7500,14.9500,15.4500,CENTER_PLUS_DOC_SECTION_ORIENTATION,SUPPORTED_REFERENCE_REBOUND,NO,""
22,5.5500,18.1000,0.500,0.400,5.3000,5.8000,17.9000,18.3000,CENTER_PLUS_DOC_SECTION_ORIENTATION,SUPPORTED_REFERENCE_REBOUND,NO,""
22',5.5500,19.2800,0.500,0.400,5.3000,5.8000,19.0800,19.4800,CENTER_PLUS_DOC_SECTION_ORIENTATION,SUPPORTED_REFERENCE_PLUS_MIS,NO,""
23,5.2289,23.4000,1.100,0.300,4.6789,5.7789,23.2500,23.5500,OBSERVED_EXTENDED_FOOTPRINT_PLUS_SECTION,MIS_AFFINE_EXTENDED,NO,"Extended physical support; preserve faces."
24,5.0000,28.1000,0.400,0.500,4.8000,5.2000,27.8500,28.3500,CENTER_PLUS_DOC_SECTION_ORIENTATION,DOC_METRIC_OR_AXIS,NO,""
25,3.4500,8.9500,0.500,0.400,3.2000,3.7000,8.7500,9.1500,CENTER_PLUS_DOC_SECTION_ORIENTATION,DOC_METRIC_OR_AXIS,NO,""
26,3.4500,15.2000,0.500,0.400,3.2000,3.7000,15.0000,15.4000,CENTER_PLUS_DOC_SECTION_ORIENTATION,DOC_METRIC_OR_AXIS,NO,""
27,3.4500,19.2800,0.500,0.400,3.2000,3.7000,19.0800,19.4800,CENTER_PLUS_DOC_SECTION_ORIENTATION,SUPPORTED_MIS_SHARED_ROW,NO,""
28,0.0000,8.9500,0.500,0.400,-0.2500,0.2500,8.7500,9.1500,CENTER_PLUS_DOC_SECTION_ORIENTATION,DOC_METRIC_OR_AXIS,NO,""
29,0.0000,15.2000,0.500,0.400,-0.2500,0.2500,15.0000,15.4000,CENTER_PLUS_DOC_SECTION_ORIENTATION,DOC_METRIC_OR_AXIS,NO,""
