pillar_id,x_local_m,y_local_m,coordinate_status,source_basis,note
c,0.00,0.00,DOC_QUOTED_LOCAL_ORIGIN,"TAV-02S R02C01; user-confirmed letter; chosen local origin","origin convention only"
a,3.45,0.00,DOC_QUOTED,"c-a=3.45","upper terrace row"
17,8.90,0.00,DOC_QUOTED,"c-a=3.45; a-17=5.45","native raster corrects earlier 3.45 error"
9,14.40,0.00,DOC_QUOTED,"17-9=5.50","top main row"
1,20.00,0.00,DOC_QUOTED,"9-1=5.60","top main row"
d,0.00,4.70,DOC_QUOTED_ALIGN,"c-d=4.70","lower terrace row"
b,3.45,4.70,DOC_QUOTED_ALIGN,"a-b=4.70; d-b=3.45","lower terrace row"
18,8.90,4.70,DOC_QUOTED_ALIGN,"17-18=4.70; b-18=5.45","main receiving line"
10,14.40,4.70,DOC_ALIGN,"same row as 18 and 2; x inherited from 9","TAV-02S structural reference line"
2,20.00,4.70,DOC_QUOTED,"1-2=4.70","right main chain"
19,8.90,8.75,DOC_QUOTED,"18-19=4.05","direct left-wing quota"
31,-1.35,8.75,DOC_QUOTED_MESH,"31-28=4.70; 28-25=3.45; 25-19=2.10","row verified on native raster"
28,3.35,8.75,DOC_QUOTED_MESH,"31-28=4.70","row verified"
25,6.80,8.75,DOC_QUOTED_MESH,"28-25=3.45;25-19=2.10","row verified"
11,14.40,9.80,DOC_ALIGN,"right row through P3; x inherited from P9/P10","native grid alignment"
3,20.00,9.80,DOC_QUOTED,"2-3=5.10","right main chain"
20,8.90,9.80,DOC_HIRES_ALIGN,"native HiRes direct alignment/row reading; prior residual CLOSED_DOC_ALIGN","kept distinct from P19 at y=8.75"
12,14.40,13.95,DOC_ALIGN,"right row through P4","native grid alignment"
5,18.10,13.95,DOC_QUOTED,"5-4=1.90","offset left of P4"
4,20.00,13.95,DOC_QUOTED,"3-4=4.15","right main chain"
32,-1.35,15.00,DOC_QUOTED_MESH,"31-32=6.25","left stepped row"
29,3.35,15.00,DOC_QUOTED_MESH,"same verified row as 32 and 21","left stepped row"
26,6.80,15.00,DOC_QUOTED_MESH,"same verified row as 32 and 21","left stepped row"
21,8.90,15.00,DOC_QUOTED_MESH,"19/left-chain geometry + row 32-29-26-21","left stepped row"
13,15.35,15.20,DOC_QUOTED,"13-14=2.90; same support line as 14","native HiRes direct spacing"
14,15.35,18.10,DOC_QUOTED,"14-6=4.65","right-lower cross line"
6,20.00,18.10,DOC_QUOTED,"4-6=4.15","right main chain"
33,-1.35,19.95,DOC_QUOTED_MESH,"32-33=4.95","left stepped row"
30,3.35,19.95,DOC_QUOTED_MESH,"same verified row as 33 and 22","special 30x110 support"
27,6.80,19.95,DOC_QUOTED_MESH,"same verified row as 33 and 22","left stepped row"
22,8.90,19.95,DOC_QUOTED_MESH,"row 33-30-27-22","distinct from 22-prime"
15,15.35,23.43,DOC_ALIGN_QUOTED,"23-15=6.45;15-7=4.65","lower cross row"
23,8.90,23.43,DOC_QUOTED,"23-15=6.45","special 110x30 plan orientation"
7,20.00,23.43,DOC_QUOTED,"6-7=5.33;15-7=4.65","right main/lower cross closure"
16,15.35,28.13,DOC_ALIGN_QUOTED,"24-16=6.45;16-8=4.65","lower cross row"
24,8.90,28.13,DOC_QUOTED,"24-16=6.45","lower cross row"
8,20.00,28.13,DOC_QUOTED,"7-8=4.70;16-8=4.65","right main/lower cross closure"
22',,,MIS_OFFSET_PENDING_DIRECTION,"TAV-02S R03C01; local raster calibration against 32-33=4.95 gives ~1.18 m compatible with 1.20","identity and 50x40 section DOC; exact vector/direction to bind before center promotion"
