support_id,u_native_px,v_native_px,registration_state,evidence_class,primary_binding_id,primary_tile,crosscheck_tile,crosscheck_delta_px,geometry_kind,section_geometry_status,canonical_status,may_feed_metric_network,note
1,4096.63,2823.61,DIRECT_REGISTERED,DOC_DIRECT_RASTER,BIND-R2C3-P1-001,r2_c3,,,SUPPORT_SYMBOL_CENTER,SECTION_SEPARATE,CURRENT,YES,"G1 Classe B: simbolo completo su tile con registrazione SIFT/RANSAC misurata; metrica da validare in G2-G4."
2,4103.63,3562.06,DIRECT_REGISTERED,DOC_DIRECT_RASTER,BIND-R2C3-P2-001,r2_c3,,,SUPPORT_SYMBOL_CENTER,SECTION_SEPARATE,CURRENT,YES,"G1 Classe B; nessun uso del Master storico."
3,4103.63,4363.51,CROSS_VALIDATED,DOC_DIRECT_RASTER,BIND-R2C3-P3-001,r2_c3,r3_c3,0.39,SUPPORT_SYMBOL_CENTER,SECTION_SEPARATE,CURRENT,YES,"G1 Classe A; cross-check subpixel."
4,4096.18,5012.85,DIRECT_REGISTERED,DOC_DIRECT_RASTER,BIND-R3C3-P4-001,r3_c3,,,SUPPORT_SYMBOL_CENTER,SECTION_SEPARATE,CURRENT,YES,"G1 Classe B."
5,3796.28,5013.35,DIRECT_REGISTERED,DOC_DIRECT_RASTER,BIND-R3C3-P5-001,r3_c3,,,SUPPORT_SYMBOL_CENTER,SECTION_SEPARATE,CURRENT,YES,"G1 Classe B."
6,3789.78,5666.81,DIRECT_REGISTERED,DOC_DIRECT_RASTER,BIND-R3C3-P6-001,r3_c3,,,SUPPORT_SYMBOL_CENTER,SECTION_SEPARATE,CURRENT,YES,"G1 Classe B."
7,3792.78,6496.76,CROSS_VALIDATED,DOC_DIRECT_RASTER,BIND-R3C3-P7-001,r3_c3,r4_c3,0.22,SUPPORT_SYMBOL_CENTER,SECTION_SEPARATE,CURRENT,YES,"G1 Classe A; cross-check subpixel."
8,3788.50,7240.97,DIRECT_REGISTERED,DOC_DIRECT_RASTER,BIND-R4C3-P8-001,r4_c3,,,SUPPORT_SYMBOL_CENTER,SECTION_SEPARATE,CURRENT,YES,"G1 Classe B."
9,3217.96,2822.11,CROSS_VALIDATED,DOC_DIRECT_RASTER,BIND-R2C3-P9-001,r2_c3,r2_c2,0.99,SUPPORT_SYMBOL_CENTER,SECTION_SEPARATE,CURRENT,YES,"G1 Classe A."
10,3215.46,3561.56,DIRECT_REGISTERED,DOC_DIRECT_RASTER,BIND-R2C3-P10-001,r2_c3,,,SUPPORT_SYMBOL_CENTER,SECTION_SEPARATE,CURRENT,YES,"G1 Classe B. Il precedente delta 2.04 px resta residuo diagnostico e non vale come cross-check."
11,3214.96,4364.01,CROSS_VALIDATED,DOC_DIRECT_RASTER,BIND-R2C3-P11-001,r2_c3,r3_c3,0.39,SUPPORT_SYMBOL_CENTER,SECTION_SEPARATE,CURRENT,YES,"G1 Classe A."
12,3216.97,4875.86,CROSS_VALIDATED,DOC_DIRECT_RASTER,BIND-R3C3-P12-001,r3_c3,r3_c2,0.73,SUPPORT_SYMBOL_CENTER,SECTION_SEPARATE,CURRENT,YES,"G1 Classe A."
13,3046.92,5210.91,CROSS_VALIDATED,DOC_DIRECT_RASTER,BIND-R3C2-P13-001,r3_c2,r3_c3,0.74,SUPPORT_SYMBOL_CENTER,SECTION_SEPARATE,CURRENT,YES,"G1 Classe A."
14,3047.92,5669.41,CROSS_VALIDATED,DOC_DIRECT_RASTER,BIND-R3C2-P14-001,r3_c2,r3_c3,0.72,SUPPORT_SYMBOL_CENTER,SECTION_SEPARATE,CURRENT,YES,"G1 Classe A."
15,3050.65,6499.69,CROSS_VALIDATED,DOC_DIRECT_RASTER,BIND-R4C2-P15-001,r4_c2,r3_c2,0.38,SUPPORT_SYMBOL_CENTER,SECTION_SEPARATE,CURRENT,YES,"G1 Classe A."
16,3051.65,7244.25,DIRECT_REGISTERED,DOC_DIRECT_RASTER,BIND-R4C2-P16-001,r4_c2,,,SUPPORT_SYMBOL_CENTER,SECTION_SEPARATE,CURRENT,YES,"G1 Classe B."
17,2345.57,2819.68,DIRECT_REGISTERED,DOC_DIRECT_RASTER,BIND-R2C2-P17-001,r2_c2,,,SUPPORT_SYMBOL_CENTER,SECTION_SEPARATE,CURRENT,YES,"G1 Classe B."
18,2400.06,3560.21,DIRECT_REGISTERED_EXTENDED,DOC_DIRECT_RASTER,BIND-R2C2-P18-001,r2_c2,,,EXTENDED_SUPPORT_CENTER,FOOTPRINT_DIRECT_REGISTERED,CURRENT,YES,"G1 Classe B esteso; sagoma 110x30 registrata separatamente."
19,2458.56,4200.73,DIRECT_REGISTERED,DOC_DIRECT_RASTER,BIND-R2C2-P19-001,r2_c2,,,SUPPORT_SYMBOL_CENTER,SECTION_SEPARATE,CURRENT,YES,"G1 Classe B."
20,2465.55,4363.23,DIRECT_REGISTERED,DOC_DIRECT_RASTER,BIND-R2C2-P20-001,r2_c2,,,SUPPORT_SYMBOL_CENTER,SECTION_SEPARATE,CURRENT,YES,"G1 Classe B."
21,2138.09,5211.91,DIRECT_REGISTERED,DOC_DIRECT_RASTER,BIND-R3C2-P21-001,r3_c2,,,SUPPORT_SYMBOL_CENTER,SECTION_SEPARATE,CURRENT,YES,"G1 Classe B; rebound sulla tassellazione corrente."
