binding_id,tile_id,support_id,candidate_or_union,u_local_px,v_local_px,bbox_x,bbox_y,bbox_w,bbox_h,u_native_px,v_native_px,binding_state,evidence_class,source_registration,crosscheck_tile,crosscheck_delta_px,may_promote_to_pixel_registry,note
BIND-R2C1-P31-001,r2_c1,31,"R2_C1-C0102+R2_C1-C0109",519.5,2185.0,481,2154,77,62,518.30,4206.86,CROSS_VALIDATED,DOC_DIRECT_RASTER,data/canonical/TAV02S_TILE_TO_NATIVE_REGISTRATION_v1.csv,r3_c1,0.60,YES,"ID 31 leggibile sul raster originale; centro dell'intero simbolo ottenuto dall'unione delle due metà; accordo cross-tile ~0.60 px nativi"
BIND-R2C1-P28-001,r2_c1,28,"R2_C1-C0098+R2_C1-C0099+R2_C1-C0107+R2_C1-C0108",1261.0,2183.0,1226,2152,70,62,1260.05,4205.15,CROSS_VALIDATED,DOC_DIRECT_RASTER,data/canonical/TAV02S_TILE_TO_NATIVE_REGISTRATION_v1.csv,r3_c1,0.66,YES,"ID 28 leggibile sul raster originale; centro intero simbolo; accordo cross-tile ~0.66 px nativi"
BIND-R3C1-P32-001,r3_c1,32,"R3_C1-C0025+R3_C1-C0040",511.5,1028.5,483,992,57,73,510.40,5202.53,CONFIRMED_VISUAL,DOC_DIRECT_RASTER,data/canonical/TAV02S_TILE_TO_NATIVE_REGISTRATION_v1.csv,,,NO_PENDING_CROSSCHECK,"ID 32 leggibile sul raster originale; centro dell'intero simbolo, non di una singola metà"
BIND-R3C1-P29-001,r3_c1,29,"R3_C1-C0026+R3_C1-C0027+R3_C1-C0038+R3_C1-C0039",1263.0,1024.0,1227,996,72,56,1262.14,5198.42,CONFIRMED_VISUAL,DOC_DIRECT_RASTER,data/canonical/TAV02S_TILE_TO_NATIVE_REGISTRATION_v1.csv,,,NO_PENDING_CROSSCHECK,"ID 29 leggibile sul raster originale; centro ricavato dal contorno complessivo del simbolo"
BIND-R3C1-P33-001,r3_c1,33,R3_C1-C0057,524.0,1809.0,485,1779,78,60,523.31,5983.11,CONFIRMED_VISUAL,DOC_DIRECT_RASTER,data/canonical/TAV02S_TILE_TO_NATIVE_REGISTRATION_v1.csv,,,NO_PENDING_CROSSCHECK,"ID 33 leggibile sul raster originale; outer symbol unico; sostituisce il precedente valore global-offset non valido"
BIND-R3C1-P30-001,r3_c1,30,"R3_C1-C0051+R3_C1-C0056",1266.5,1742.0,1245,1649,43,186,1265.81,5916.13,CONFIRMED_VISUAL,DOC_DIRECT_RASTER,data/canonical/TAV02S_TILE_TO_NATIVE_REGISTRATION_v1.csv,,,NO_PENDING_FACE_AND_CROSSCHECK,"ID 30 leggibile nel sostegno esteso; centro corretto dell'intera sagoma 30x110, non della sola metà superiore; facce/contorno da registrare separatamente"
BIND-R3C2-P21-001,r3_c2,21,"R3_C2-C0052+R3_C2-C0053+R3_C2-C0060",673.5,1038.0,636,1008,75,60,2138.09,5211.91,CONFIRMED_VISUAL_REBOUND,DOC_DIRECT_RASTER,data/canonical/TAV02S_TILE_TO_NATIVE_REGISTRATION_v1.csv,,,NO_PENDING_CROSSCHECK,"ID 21 leggibile direttamente sul tile pulito persistente r3_c2; centro dell'intero simbolo ottenuto dall'unione dei contorni del box; nessun uso del Master storico"
BIND-R3C2-P22-001,r3_c2,22,"R3_C2-C0092+R3_C2-C0093+R3_C2-C0096",674.5,1492.0,638,1463,73,58,2139.09,5665.91,CONFIRMED_VISUAL_REBOUND,DOC_DIRECT_RASTER_REBOUND,data/canonical/TAV02S_TILE_TO_NATIVE_REGISTRATION_v1.csv,,,NO_PENDING_CROSSCHECK,"ID 22 e sezione 50x40 leggibili direttamente sul tile pulito persistente r3_c2; riallaccia OBS-R03C01-022 alla tassellazione corrente senza equivalenza nominale dei tile"
BIND-R3C2-P22P-001,r3_c2,22',"R3_C2-C0104+R3_C2-C0105+R3_C2-C0113",668.5,1678.5,638,1641,61,75,2133.09,5852.40,CONFIRMED_VISUAL_REBOUND,DOC_DIRECT_RASTER_REBOUND,data/canonical/TAV02S_TILE_TO_NATIVE_REGISTRATION_v1.csv,,,NO_PENDING_CROSSCHECK,"ID 22-prime e sezione 50x40 leggibili direttamente sul tile pulito persistente r3_c2; separazione da P22 coerente con misura indipendente ~1.18 m, ma nessuna promozione metrica automatica"
BIND-R3C2-P24-001,r3_c2,24,"R3_C2-C0102+R3_C2-C0103+R3_C2-C0110",344.0,1671.0,308,1642,72,58,1808.65,5844.90,CONFIRMED_VISUAL_REBOUND,DOC_DIRECT_RASTER,data/canonical/TAV02S_TILE_TO_NATIVE_REGISTRATION_v1.csv,,,NO_PENDING_CROSSCHECK,"ID 24 e sezione 40x50 leggibili direttamente sul tile pulito persistente r3_c2; centro del box, non dei richiami lineari adiacenti"
