beam_id,qa_status,qa_reason,overview_px_len,median_nearest_ink_px,p90_nearest_ink_px,p95_nearest_ink_px,near8_fraction,near12_fraction,direct_dark_fraction,transform_u_native,transform_v_native,diagnostic_rule
B-001,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,103.810,2.865,2.865,3.279,1.000,1.000,0.087,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","registered overview diagnostic only; never move metric geometry to improve fit"
B-002,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,100.515,0.955,2.324,2.324,1.000,1.000,0.219,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","registered overview diagnostic only; never move metric geometry to improve fit"
B-003,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,166.426,1.910,7.514,9.591,0.919,0.975,0.069,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","registered overview diagnostic only; never move metric geometry to improve fit"
B-004,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,171.369,2.324,6.186,6.685,1.000,1.000,0.031,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","registered overview diagnostic only; never move metric geometry to improve fit"
B-005,WATCH,WATCH_SUPPORT_d,103.810,5.730,6.685,6.685,1.000,1.000,0.106,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","registered overview diagnostic only; never move metric geometry to improve fit"
B-006,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,101.306,6.685,7.941,8.342,0.900,1.000,0.131,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","registered overview diagnostic only; never move metric geometry to improve fit"
B-007,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,139.782,0.955,5.730,7.640,0.969,1.000,0.306,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","registered overview diagnostic only; never move metric geometry to improve fit"
B-008,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,154.582,7.640,18.240,21.965,0.519,0.762,0.212,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","registered overview diagnostic only; local text/folds may increase ink-distance metric"
B-009,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,121.692,4.775,13.370,14.739,0.637,0.850,0.075,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","registered overview diagnostic only; local text/folds may increase ink-distance metric"
B-010,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,121.692,1.910,5.189,6.432,1.000,1.000,0.075,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","registered overview diagnostic only; corrected P5-P6 source binding"
B-011,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,161.160,6.685,14.199,16.115,0.656,0.831,0.050,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","registered overview diagnostic only; local text/folds may increase ink-distance metric"
B-012,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,139.782,7.099,15.694,17.211,0.531,0.781,0.194,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","registered overview diagnostic only; local text/folds may increase ink-distance metric"
B-013,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,49.433,6.766,13.946,14.901,0.588,0.794,0.000,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","registered overview diagnostic only; short clear member verified visually"
B-014,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,138.414,0.955,0.955,1.369,1.000,1.000,0.050,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","registered overview diagnostic only"
B-015,WATCH,WATCH_SUPPORT_P25,97.219,0.955,2.865,2.865,1.000,1.000,0.069,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","beam alignment passes; support P25 G3 residual remains WATCH"
B-016,WATCH,WATCH_SUPPORT_P25_P19,122.984,2.865,2.865,2.865,1.000,1.000,0.050,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","beam alignment passes; support P25/P19 G3 residuals remain WATCH"
B-017,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,140.062,4.775,4.775,5.189,1.000,1.000,0.075,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","registered overview diagnostic only"
B-018,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,97.219,3.279,5.063,5.730,1.000,1.000,0.094,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","registered overview diagnostic only"
B-019,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,54.377,1.910,5.730,5.730,1.000,1.000,0.188,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","registered overview diagnostic only"
B-020,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,143.357,1.910,5.730,5.730,1.000,1.000,0.044,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","P33 row to P30 face confirmed; distinct elevation from B-021"
B-021,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,100.515,0.955,3.279,4.234,1.000,1.000,0.319,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","P30 face to P27 confirmed at separate elevation"
B-022,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,52.729,1.910,2.865,2.865,1.000,1.000,0.194,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","P27-P22-prime rebound confirmed; metric row remains MIS-supported"
B-023,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,190.761,0.955,0.955,1.369,1.000,1.000,0.356,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","registered overview diagnostic only"
B-024,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,146.360,1.910,2.324,2.739,1.000,1.000,0.056,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","registered overview diagnostic only"
B-025,PASS,RASTER_VECTOR_ALIGNMENT_CONFIRMED,192.405,7.640,12.378,16.705,0.700,0.894,0.056,"u=157.539621*x-0.491217*y+1264.31457","v=0.607656*x+157.303931*y+2811.95479","direct overlay passes; local fold/text interference explains higher ink-distance residual"
