beam_id,overview_line_coverage_r10_t205,overview_p90_dark_distance_px_t205,overview_corridor_ink_frac_t215,overview_ink_excess_vs_side_t215,qa_status
B-001,0.9807,3.0,0.1677,0.118,PASS
B-002,0.8408,2.0,0.1831,0.0922,PASS
B-003,0.6747,2.0,0.1225,0.0661,PASS
B-004,0.6257,7.0,0.1289,0.0629,PASS
B-005,1.0,7.0,0.1435,0.0663,WATCH
B-006,0.8812,10.0,0.1782,0.0863,PASS
B-007,0.7419,8.0,0.1574,0.1072,PASS
B-008,0.2977,8.0,0.119,0.0727,PASS
B-009,0.3539,6.5,0.1382,0.0682,PASS
B-010,0.6049,5.0,0.1454,0.0578,PASS
B-011,0.2919,7.0,0.0902,0.0285,PASS
B-012,0.2832,8.0,0.1249,0.0763,PASS
B-013,0.2755,6.0,0.0627,-0.0948,PASS
B-014,1.0,1.0,0.1653,0.0519,PASS
B-015,0.9794,3.0,0.1922,0.1082,WATCH
B-016,0.9918,3.0,0.1312,0.063,WATCH
B-017,0.9714,5.0,0.1815,0.1361,PASS
B-018,0.9381,4.0,0.2428,0.1618,PASS
B-019,1.0,8.0,0.2959,0.1583,PASS
B-020,0.8497,6.0,0.1505,0.0941,PASS
B-021,0.8109,1.0,0.1846,0.1007,PASS
B-022,1.0,3.0,0.2857,0.1429,PASS
B-023,0.9501,1.0,0.1289,0.0812,PASS
B-024,0.8048,2.0,0.203,0.0646,PASS
B-025,0.6458,9.0,0.1426,0.1415,PASS
B-026,0.8306,7.0,0.1749,0.1565,PASS
B-027,0.8932,8.0,0.1617,0.1617,WATCH
B-028,0.9091,8.2,0.2436,0.1297,PASS
B-030,0.6149,9.0,0.2227,0.2067,PASS
B-031,0.8627,9.0,0.1479,0.1207,PASS
B-032,0.9744,9.0,0.1493,0.1211,PASS
B-033,0.8962,8.0,0.1095,0.0773,PASS
B-034,0.9638,1.0,0.1339,0.0687,PASS
B-035,0.9433,3.0,0.1342,0.0881,PASS
B-036,0.4681,6.0,0.1413,0.0942,PASS
B-038,0.9792,8.0,0.1065,0.04,PASS
B-039,0.756,9.0,0.1086,0.0618,PASS
B-040,1.0,8.0,0.1669,0.1588,WATCH
B-041,0.8012,8.0,0.1213,0.1132,PASS
B-042,0.4014,6.0,0.134,0.0971,PASS
B-043,0.7443,6.0,0.1654,0.1237,PASS
B-045,1.0,6.0,0.3536,0.3447,PASS
B-046,0.3665,7.0,0.1136,0.0763,PASS
B-047,1.0,0.0,0.3912,0.1699,PASS
B-048,0.1892,2.0,0.0878,-0.1678,PASS
B-049,0.2667,4.9,0.1294,-0.0647,PASS
B-050,0.3293,9.0,0.1307,-0.1045,PASS
B-051,0.9655,5.0,0.1724,0.1301,WATCH
B-052,0.9231,7.0,0.2564,0.1575,WATCH
