support_id,x_center_m,y_center_m,x_min_m,x_max_m,y_min_m,y_max_m,width_x_m,height_y_m,metric_center_evidence,geometry_status,center_is_analytical_node,source
1,18.0000,0.0000,17.8000,18.2000,-0.2500,0.2500,0.4000,0.5000,DOC_METRIC_OR_AXIS,CURRENT_PHYSICAL_VECTOR,NO,PT_METRIC_SUPPORT_FOOTPRINTS_v1.csv
2,18.0000,4.7000,17.7500,18.2500,4.5000,4.9000,0.5000,0.4000,DOC_METRIC_OR_AXIS,CURRENT_PHYSICAL_VECTOR,NO,PT_METRIC_SUPPORT_FOOTPRINTS_v1.csv
3,18.0000,9.8000,17.7000,18.3000,9.6000,10.0000,0.6000,0.4000,DOC_METRIC_OR_AXIS,CURRENT_PHYSICAL_VECTOR,NO,PT_METRIC_SUPPORT_FOOTPRINTS_v1.csv
4,18.0000,13.9500,17.8000,18.2000,13.7000,14.2000,0.4000,0.5000,DOC_METRIC_OR_AXIS,CURRENT_PHYSICAL_VECTOR,NO,PT_METRIC_SUPPORT_FOOTPRINTS_v1.csv
5,16.1000,13.9500,15.9000,16.3000,13.7000,14.2000,0.4000,0.5000,DOC_METRIC_OR_AXIS,CURRENT_PHYSICAL_VECTOR,NO,PT_METRIC_SUPPORT_FOOTPRINTS_v1.csv
6,16.1000,18.1000,15.8500,16.3500,17.9000,18.3000,0.5000,0.4000,DOC_METRIC_OR_AXIS,CURRENT_PHYSICAL_VECTOR,NO,PT_METRIC_SUPPORT_FOOTPRINTS_v1.csv
7,16.1000,23.4000,15.8500,16.3500,23.2000,23.6000,0.5000,0.4000,DOC_METRIC_OR_AXIS,CURRENT_PHYSICAL_VECTOR,NO,PT_METRIC_SUPPORT_FOOTPRINTS_v1.csv
8,16.1000,28.1000,15.9000,16.3000,27.8500,28.3500,0.4000,0.5000,DOC_METRIC_OR_AXIS,CURRENT_PHYSICAL_VECTOR,NO,PT_METRIC_SUPPORT_FOOTPRINTS_v1.csv
9,12.4000,0.0000,12.2000,12.6000,-0.2500,0.2500,0.4000,0.5000,DOC_METRIC_OR_AXIS,CURRENT_PHYSICAL_VECTOR,NO,PT_METRIC_SUPPORT_FOOTPRINTS_v1.csv
10,12.4000,4.7000,12.1500,12.6500,4.5000,4.9000,0.5000,0.4000,DOC_METRIC_OR_AXIS,CURRENT_PHYSICAL_VECTOR,NO,PT_METRIC_SUPPORT_FOOTPRINTS_v1.csv
11,12.4000,9.8000,12.1500,12.6500,9.6000,10.0000,0.5000,0.4000,DOC_METRIC_OR_AXIS,CURRENT_PHYSICAL_VECTOR,NO,PT_METRIC_SUPPORT_FOOTPRINTS_v1.csv
12,12.4000,13.0725,12.2000,12.6000,12.8225,13.3225,0.4000,0.5000,MIS_AFFINE,CURRENT_PHYSICAL_VECTOR,NO,PT_METRIC_SUPPORT_FOOTPRINTS_v1.csv
13,11.4500,15.2000,11.2000,11.7000,15.0000,15.4000,0.5000,0.4000,DOC_METRIC_OR_AXIS,CURRENT_PHYSICAL_VECTOR,NO,PT_METRIC_SUPPORT_FOOTPRINTS_v1.csv
14,11.4500,18.1000,11.2000,11.7000,17.9000,18.3000,0.5000,0.4000,DOC_METRIC_OR_AXIS,CURRENT_PHYSICAL_VECTOR,NO,PT_METRIC_SUPPORT_FOOTPRINTS_v1.csv
15,11.4500,23.4000,11.2000,11.7000,23.2000,23.6000,0.5000,0.4000,DOC_METRIC_OR_AXIS,CURRENT_PHYSICAL_VECTOR,NO,PT_METRIC_SUPPORT_FOOTPRINTS_v1.csv
