beam_id,storey_id,source_sheet,from_support_id,to_support_id,direction_class,section_width_cm,section_depth_cm,section_cm,section_evidence_status,section_source_rule,topology_evidence_status,from_support_face,to_support_face,primary_source_id,primary_source_path,primary_source_blob_sha,primary_source_sha256,render_evidence,validation_state,note
G3-B001,G3,TAV-04S,1,2,Y,25,70,25x70,DOC,DIRECT_SPAN_CALLOUT,DOC,Y_POS,Y_NEG,TAV-04S,archive/documentazione_originaria/tavola4-2.pdf,7807c32f52e8d6fcefad8abe7eac79ad9dd65efa,2b878bcefde54ff2b42bafa2a4fdc8a8420bd71514a7e6966a864f009ade685e,storey-source-renders-v1/TAV04S_300dpi.jpg,DIRECT_REGISTERED,
G3-B002,G3,TAV-04S,2,3,Y,25,70,25x70,DOC,DIRECT_SPAN_CALLOUT,DOC,Y_POS,Y_NEG,TAV-04S,archive/documentazione_originaria/tavola4-2.pdf,7807c32f52e8d6fcefad8abe7eac79ad9dd65efa,2b878bcefde54ff2b42bafa2a4fdc8a8420bd71514a7e6966a864f009ade685e,storey-source-renders-v1/TAV04S_300dpi.jpg,DIRECT_REGISTERED,
G3-B003,G3,TAV-04S,3,4,Y,25,70,25x70,DOC,DIRECT_SPAN_CALLOUT,DOC,Y_POS,Y_NEG,TAV-04S,archive/documentazione_originaria/tavola4-2.pdf,7807c32f52e8d6fcefad8abe7eac79ad9dd65efa,2b878bcefde54ff2b42bafa2a4fdc8a8420bd71514a7e6966a864f009ade685e,storey-source-renders-v1/TAV04S_300dpi.jpg,DIRECT_REGISTERED,
G3-B004,G3,TAV-04S,4,5,X,25,70,25x70,DOC,DIRECT_SPAN_CALLOUT,DOC,X_NEG,X_POS,TAV-04S,archive/documentazione_originaria/tavola4-2.pdf,7807c32f52e8d6fcefad8abe7eac79ad9dd65efa,2b878bcefde54ff2b42bafa2a4fdc8a8420bd71514a7e6966a864f009ade685e,storey-source-renders-v1/TAV04S_300dpi.jpg,DIRECT_REGISTERED,
G3-B005,G3,TAV-04S,5,6,Y,25,70,25x70,DOC,DIRECT_SPAN_CALLOUT,DOC,Y_POS,Y_NEG,TAV-04S,archive/documentazione_originaria/tavola4-2.pdf,7807c32f52e8d6fcefad8abe7eac79ad9dd65efa,2b878bcefde54ff2b42bafa2a4fdc8a8420bd71514a7e6966a864f009ade685e,storey-source-renders-v1/TAV04S_300dpi.jpg,DIRECT_REGISTERED,
G3-B006,G3,TAV-04S,6,7,Y,25,70,25x70,DOC,DIRECT_SPAN_CALLOUT,DOC,Y_POS,Y_NEG,TAV-04S,archive/documentazione_originaria/tavola4-2.pdf,7807c32f52e8d6fcefad8abe7eac79ad9dd65efa,2b878bcefde54ff2b42bafa2a4fdc8a8420bd71514a7e6966a864f009ade685e,storey-source-renders-v1/TAV04S_300dpi.jpg,DIRECT_REGISTERED,
G3-B007,G3,TAV-04S,7,8,Y,25,70,25x70,DOC,DIRECT_SPAN_CALLOUT,DOC,Y_POS,Y_NEG,TAV-04S,archive/documentazione_originaria/tavola4-2.pdf,7807c32f52e8d6fcefad8abe7eac79ad9dd65efa,2b878bcefde54ff2b42bafa2a4fdc8a8420bd71514a7e6966a864f009ade685e,storey-source-renders-v1/TAV04S_300dpi.jpg,DIRECT_REGISTERED,
G3-B008,G3,TAV-04S,1,9,X,25,70,25x70,DOC,DIRECT_SPAN_CALLOUT,DOC,X_NEG,X_POS,TAV-04S,archive/documentazione_originaria/tavola4-2.pdf,7807c32f52e8d6fcefad8abe7eac79ad9dd65efa,2b878bcefde54ff2b42bafa2a4fdc8a8420bd71514a7e6966a864f009ade685e,storey-source-renders-v1/TAV04S_300dpi.jpg,DIRECT_REGISTERED,
G3-B009,G3,TAV-04S,2,10,X,50,20,50x20,DOC,DIRECT_SPAN_CALLOUT,DOC,X_NEG,X_POS,TAV-04S,archive/documentazione_originaria/tavola4-2.pdf,7807c32f52e8d6fcefad8abe7eac79ad9dd65efa,2b878bcefde54ff2b42bafa2a4fdc8a8420bd71514a7e6966a864f009ade685e,storey-source-renders-v1/TAV04S_300dpi.jpg,DIRECT_REGISTERED,
G3-B010,G3,TAV-04S,3,11,X,50,20,50x20,DOC,DIRECT_SPAN_CALLOUT,DOC,X_NEG,X_POS,TAV-04S,archive/documentazione_originaria/tavola4-2.pdf,7807c32f52e8d6fcefad8abe7eac79ad9dd65efa,2b878bcefde54ff2b42bafa2a4fdc8a8420bd71514a7e6966a864f009ade685e,storey-source-renders-v1/TAV04S_300dpi.jpg,DIRECT_REGISTERED,
G3-B011,G3,TAV-04S,6,14,X,50,20,50x20,DOC,DIRECT_SPAN_CALLOUT,DOC,X_NEG,X_POS,TAV-04S,archive/documentazione_originaria/tavola4-2.pdf,7807c32f52e8d6fcefad8abe7eac79ad9dd65efa,2b878bcefde54ff2b42bafa2a4fdc8a8420bd71514a7e6966a864f009ade685e,storey-source-renders-v1/TAV04S_300dpi.jpg,DIRECT_REGISTERED,
G3-B012,G3,TAV-04S,7,15,X,50,20,50x20,DOC,DIRECT_SPAN_CALLOUT,DOC,X_NEG,X_POS,TAV-04S,archive/documentazione_originaria/tavola4-2.pdf,7807c32f52e8d6fcefad8abe7eac79ad9dd65efa,2b878bcefde54ff2b42bafa2a4fdc8a8420bd71514a7e6966a864f009ade685e,storey-source-renders-v1/TAV04S_300dpi.jpg,DIRECT_REGISTERED,
G3-B013,G3,TAV-04S,8,16,X,25,70,25x70,DOC,DIRECT_SPAN_CALLOUT,DOC,X_NEG,X_POS,TAV-04S,archive/documentazione_originaria/tavola4-2.pdf,7807c32f52e8d6fcefad8abe7eac79ad9dd65efa,2b878bcefde54ff2b42bafa2a4fdc8a8420bd71514a7e6966a864f009ade685e,storey-source-renders-v1/TAV04S_300dpi.jpg,DIRECT_REGISTERED,
