beam_id,storey_id,source_sheet,from_support_id,to_support_id,direction_class,section_cm,section_evidence_status,topology_evidence_status,from_support_face,to_support_face,primary_source_id,render_evidence,validation_state,note
G4-B001,G4,TAV-05S,1,2,Y,25x70,DOC,DOC,Y_POS,Y_NEG,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B002,G4,TAV-05S,2,3,Y,25x70,DOC,DOC,Y_POS,Y_NEG,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B003,G4,TAV-05S,3,4,Y,25x70,DOC,DOC,Y_POS,Y_NEG,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B004,G4,TAV-05S,4,5,X,25x70,DOC,DOC,X_NEG,X_POS,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B005,G4,TAV-05S,5,6,Y,25x70,DOC,DOC,Y_POS,Y_NEG,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B006,G4,TAV-05S,6,7,Y,25x70,DOC,DOC,Y_POS,Y_NEG,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B007,G4,TAV-05S,7,8,Y,25x70,DOC,DOC,Y_POS,Y_NEG,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B008,G4,TAV-05S,1,9,X,25x70,DOC,DOC,X_NEG,X_POS,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B009,G4,TAV-05S,2,10,X,50x20,DOC,DOC,X_NEG,X_POS,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B010,G4,TAV-05S,3,11,X,50x20,DOC,DOC,X_NEG,X_POS,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B011,G4,TAV-05S,6,14,X,50x20,DOC,DOC,X_NEG,X_POS,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
G4-B012,G4,TAV-05S,7,15,X,50x20,DOC,DOC,X_NEG,X_POS,TAV-05S,storey-source-renders-v1/TAV05S_300dpi.jpg,DIRECT_REGISTERED,
