topology_index_id,storey_id,beam_id,source_ledger,source_ledger_git_blob_sha,record_class,index_state
SBT-G2-001,G2,G2-B001,data/canonical/STOREY_BEAMS_G2_v1.csv,5a67ce54b4039df12a3d8c3021b85aea87320f74,ORDINARY_BEAM,CURRENT
SBT-G2-002,G2,G2-B002,data/canonical/STOREY_BEAMS_G2_v1.csv,5a67ce54b4039df12a3d8c3021b85aea87320f74,ORDINARY_BEAM,CURRENT
SBT-G2-003,G2,G2-B003,data/canonical/STOREY_BEAMS_G2_v1.csv,5a67ce54b4039df12a3d8c3021b85aea87320f74,ORDINARY_BEAM,CURRENT
SBT-G2-004,G2,G2-B004,data/canonical/STOREY_BEAMS_G2_v1.csv,5a67ce54b4039df12a3d8c3021b85aea87320f74,ORDINARY_BEAM,CURRENT
SBT-G2-005,G2,G2-B005,data/canonical/STOREY_BEAMS_G2_v1.csv,5a67ce54b4039df12a3d8c3021b85aea87320f74,ORDINARY_BEAM,CURRENT
SBT-G2-006,G2,G2-B006,data/canonical/STOREY_BEAMS_G2_v1.csv,5a67ce54b4039df12a3d8c3021b85aea87320f74,ORDINARY_BEAM,CURRENT
SBT-G2-007,G2,G2-B007,data/canonical/STOREY_BEAMS_G2_v1.csv,5a67ce54b4039df12a3d8c3021b85aea87320f74,ORDINARY_BEAM,CURRENT
SBT-G2-008,G2,G2-B008,data/canonical/STOREY_BEAMS_G2_v1.csv,5a67ce54b4039df12a3d8c3021b85aea87320f74,ORDINARY_BEAM,CURRENT
SBT-G2-009,G2,G2-B009,data/canonical/STOREY_BEAMS_G2_v1.csv,5a67ce54b4039df12a3d8c3021b85aea87320f74,ORDINARY_BEAM,CURRENT
SBT-G2-010,G2,G2-B010,data/canonical/STOREY_BEAMS_G2_v1.csv,5a67ce54b4039df12a3d8c3021b85aea87320f74,ORDINARY_BEAM,CURRENT
SBT-G2-011,G2,G2-B011,data/canonical/STOREY_BEAMS_G2_v1.csv,5a67ce54b4039df12a3d8c3021b85aea87320f74,ORDINARY_BEAM,CURRENT
SBT-G2-012,G2,G2-B012,data/canonical/STOREY_BEAMS_G2_v1.csv,5a67ce54b4039df12a3d8c3021b85aea87320f74,ORDINARY_BEAM,CURRENT
SBT-G2-013,G2,G2-B013,data/canonical/STOREY_BEAMS_G2_v1.csv,5a67ce54b4039df12a3d8c3021b85aea87320f74,ORDINARY_BEAM,CURRENT
SBT-G2-014,G2,G2-B014,data/canonical/STOREY_BEAMS_G2_v1.csv,5a67ce54b4039df12a3d8c3021b85aea87320f74,ORDINARY_BEAM,CURRENT
SBT-G2-015,G2,G2-B015,data/canonical/STOREY_BEAMS_G2_v1.csv,5a67ce54b4039df12a3d8c3021b85aea87320f74,ORDINARY_BEAM,CURRENT
SBT-G2-016,G2,G2-B016,data/canonical/STOREY_BEAMS_G2_v1.csv,5a67ce54b4039df12a3d8c3021b85aea87320f74,ORDINARY_BEAM,CURRENT
SBT-G2-017,G2,G2-B017,data/canonical/STOREY_BEAMS_G2_v1.csv,5a67ce54b4039df12a3d8c3021b85aea87320f74,ORDINARY_BEAM,CURRENT
SBT-G2-018,G2,G2-B018,data/canonical/STOREY_BEAMS_G2_v1.csv,5a67ce54b4039df12a3d8c3021b85aea87320f74,ORDINARY_BEAM,CURRENT
SBT-G2-019,G2,G2-B019,data/canonical/STOREY_BEAMS_G2_v1.csv,5a67ce54b4039df12a3d8c3021b85aea87320f74,ORDINARY_BEAM,CURRENT
SBT-G2-020,G2,G2-B020,data/canonical/STOREY_BEAMS_G2_v1.csv,5a67ce54b4039df12a3d8c3021b85aea87320f74,ORDINARY_BEAM,CURRENT
SBT-G2-021,G2,G2-B021,data/canonical/STOREY_BEAMS_G2_v1.csv,5a67ce54b4039df12a3d8c3021b85aea87320f74,ORDINARY_BEAM,CURRENT
SBT-G2-022,G2,G2-B022,data/canonical/STOREY_BEAMS_G2_v1.csv,5a67ce54b4039df12a3d8c3021b85aea87320f74,ORDINARY_BEAM,CURRENT
SBT-G2-023,G2,G2-B023,data/canonical/STOREY_BEAMS_G2_v1.csv,5a67ce54b4039df12a3d8c3021b85aea87320f74,ORDINARY_BEAM,CURRENT
SBT-G2-024,G2,G2-B024,data/canonical/STOREY_BEAMS_G2_v1.csv,5a67ce54b4039df12a3d8c3021b85aea87320f74,ORDINARY_BEAM,CURRENT
SBT-G2-025,G2,G2-B025,data/canonical/STOREY_BEAMS_G2_v1.csv,5a67ce54b4039df12a3d8c3021b85aea87320f74,ORDINARY_BEAM,CURRENT
