beam_id,node_i,node_j,geometry_role,section_hint,source_tile_primary,source_tile_crosscheck,evidence_status,continuity_status,canonical_status,note
B-001,c,a,TERRACE_TRANSVERSE,70x25,TAV-02S_L1_R02C01,,DOC_SECTION_BOUND,CONTINUOUS,PROVISIONAL_DOC,"linea strutturale continua tra i due pilastri letterati; simbolo sezione 70x25 interposto"
B-002,a,17,TERRACE_TO_ORIGINAL,70x25,TAV-02S_L1_R02C01,,DOC_SECTION_BOUND,CONTINUOUS,PROVISIONAL_DOC,"trave di raccordo del terrazzo al pilastro 17; quota 3.45 verificata anche pixel-metricamente"
B-003,17,9,TOP_MAIN,,TAV-02S_L1_R02C01,TAV-02S_L1_R02C02,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"continuita grafica tra sostegni; sezione locale da associare separatamente"
B-004,9,1,TOP_MAIN,,TAV-02S_L1_R02C02,,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"continuita grafica della fila superiore"
B-005,d,b,TERRACE_TRANSVERSE,,TAV-02S_L1_R02C01,,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"fila inferiore dei pilastri aggiunti; simbolo di sezione presente ma non ancora legato univocamente alla campata"
B-006,b,18,TERRACE_TO_ORIGINAL,,TAV-02S_L1_R02C01,,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"raccordo al pilastro 18"
B-007,1,2,RIGHT_MAIN,,TAV-02S_L1_R02C02,,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"asta verticale principale; quota 4.70"
B-008,2,3,RIGHT_MAIN,,TAV-02S_L1_R02C02,TAV-02S_L1_R03C02,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"asta verticale principale; quota 5.10"
B-009,3,4,RIGHT_MAIN,70x25,TAV-02S_L1_R03C02,,DOC_SECTION_BOUND,CONTINUOUS,PROVISIONAL_DOC,"simbolo 70x25 sulla campata destra; quota 4.15"
B-010,4,6,RIGHT_MAIN,70x25,TAV-02S_L1_R03C02,,DOC_SECTION_BOUND,CONTINUOUS,PROVISIONAL_DOC,"continuita verticale principale; quota 4.15"
B-011,6,7,RIGHT_MAIN,70x25,TAV-02S_L1_R03C02,,DOC_SECTION_BOUND,CONTINUOUS,PROVISIONAL_DOC,"continuita verticale principale; quota 5.33"
B-012,7,8,RIGHT_MAIN,,TAV-02S_L1_R03C02,TAV-02S_L1_R04C02,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"continuita verso il bordo inferiore; quota 4.70"
B-013,5,4,LOCAL_RIGHT,,TAV-02S_L1_R03C02,,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"tratto strutturale orizzontale diretto; distanza 1.90"
B-014,31,28,LEFT_ROW_1,,TAV-02S_L1_R02C01,TAV-02S_L1_R03C01,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"prima campata della maglia sinistra verificata; 4.70"
B-015,28,25,LEFT_ROW_1,,TAV-02S_L1_R02C01,TAV-02S_L1_R03C01,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"seconda campata; 3.45"
B-016,25,19,LEFT_ROW_1,,TAV-02S_L1_R02C01,TAV-02S_L1_R03C01,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"terza campata; 2.10"
B-017,32,29,LEFT_ROW_2,,TAV-02S_L1_R03C01,,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"prima campata riga intermedia; 4.70"
B-018,29,26,LEFT_ROW_2,,TAV-02S_L1_R03C01,,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"seconda campata riga intermedia; 3.45"
B-019,26,21,LEFT_ROW_2,,TAV-02S_L1_R03C01,,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"terza campata riga intermedia; 2.10"
B-020,33,30,LEFT_ROW_3,,TAV-02S_L1_R03C01,,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"prima campata riga inferiore; 4.70"
B-021,30,27,LEFT_ROW_3,,TAV-02S_L1_R03C01,,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"seconda campata; sostegno 30 lungo 30x110; attestazione a faccia da conservare"
B-022,27,22,LEFT_ROW_3,,TAV-02S_L1_R03C01,,DOC_CONTINUITY,CONTINUOUS,PROVISIONAL_DOC,"terza campata; 2.10"
