tile_id,u0_px,v0_px,u1_px,v1_px,review_status,semantic_review,quote_review,beam_review,cross_tile_check,residual_count,canonical_action,note
TAV-02S_L1_R01C01,0,0,2400,2400,PENDING,PENDING,PENDING,PENDING,R01C02,0,NO_PROMOTION,"crop esistente; non rigenerare"
TAV-02S_L1_R01C02,2100,0,4500,2400,PENDING,PENDING,PENDING,PENDING,"R01C01;R01C03",0,NO_PROMOTION,"sovrapposizione intenzionale"
TAV-02S_L1_R01C03,2280,0,4680,2400,PENDING,PENDING,PENDING,PENDING,R01C02,0,NO_PROMOTION,"bordo destro; forte overlap con C02"
TAV-02S_L1_R02C01,0,2100,2400,4500,PENDING,PENDING,PENDING,PENDING,R02C02,0,NO_PROMOTION,"crop esistente; non rigenerare"
TAV-02S_L1_R02C02,2100,2100,4500,4500,PENDING,PENDING,PENDING,PENDING,"R02C01;R02C03",0,NO_PROMOTION,"sovrapposizione intenzionale"
TAV-02S_L1_R02C03,2280,2100,4680,4500,PENDING,PENDING,PENDING,PENDING,R02C02,0,NO_PROMOTION,"bordo destro; forte overlap con C02"
TAV-02S_L1_R03C01,0,4200,2400,6600,PENDING,PENDING,PENDING,PENDING,R03C02,0,NO_PROMOTION,"crop esistente; non rigenerare"
TAV-02S_L1_R03C02,2100,4200,4500,6600,PENDING,PENDING,PENDING,PENDING,"R03C01;R03C03",0,NO_PROMOTION,"sovrapposizione intenzionale"
TAV-02S_L1_R03C03,2280,4200,4680,6600,PENDING,PENDING,PENDING,PENDING,R03C02,0,NO_PROMOTION,"bordo destro; forte overlap con C02"
TAV-02S_L1_R04C01,0,6209,2400,8609,PENDING,PENDING,PENDING,PENDING,R04C02,0,NO_PROMOTION,"crop esistente; non rigenerare"
TAV-02S_L1_R04C02,2100,6209,4500,8609,PENDING,PENDING,PENDING,PENDING,"R04C01;R04C03",0,NO_PROMOTION,"sovrapposizione intenzionale"
TAV-02S_L1_R04C03,2280,6209,4680,8609,PENDING,PENDING,PENDING,PENDING,R04C02,0,NO_PROMOTION,"bordo destro; forte overlap con C02"
