evidence_id,source_branch,source_path,source_ref,source_kind,source_sha_or_hash,result_branch,result_path,result_commit,status,note
TAV02S-HIRES-INDEX,work/m0g-source-recovery,evidence/hires/TAV-02S/hires_index.json,d521f11a6989664a54409ab0df064903d8986564,INDEX,8df7de46dcf9bc6562076f5b420f5e72a358553a,work/m0-global-model,data/canonical/TAV02S_CROP_REVIEW_REGISTER_v1.csv,,ACTIVE,"indice canonico dei 12 crop; raster 4680x8609; tile 2400; overlap 0.125"
TAV02S-R01C01,work/m0g-source-recovery,evidence/hires/TAV-02S/tiles/TAV-02S_L1_R01C01.png,d521f11a6989664a54409ab0df064903d8986564,CROP_PNG,89d8e28ef23affc69e9eadf5a438848a97d99983,work/m0-global-model,data/canonical/TAV02S_SYMBOL_OBSERVATIONS_v1.csv,112637a7beed8ebbb57cc81a3fdb8f938a9390c4,AVAILABLE_UNBOUND,"crop persistente; esiti sessione ancora da legare formalmente al tile"
TAV02S-R01C02,work/m0g-source-recovery,evidence/hires/TAV-02S/tiles/TAV-02S_L1_R01C02.png,d521f11a6989664a54409ab0df064903d8986564,CROP_PNG,5d19ea60210e1b786150a113048e0330ec14a0ef,work/m0-global-model,data/canonical/CANONICAL_REVALIDATION_LEDGER_v1.csv,43b5561450ea94310b773eea92624eb522a7490c,AVAILABLE_UNBOUND,"crop persistente; usare overlap per cross-validation"
TAV02S-R01C03,work/m0g-source-recovery,evidence/hires/TAV-02S/tiles/TAV-02S_L1_R01C03.png,d521f11a6989664a54409ab0df064903d8986564,CROP_PNG,dfbf41c22fe17ed2252812ebb4d4e86fd85ae476,work/m0-global-model,data/canonical/CANONICAL_REVALIDATION_LEDGER_v1.csv,43b5561450ea94310b773eea92624eb522a7490c,AVAILABLE_UNBOUND,"crop persistente; forte overlap con R01C02"
TAV02S-R02C01,work/m0g-source-recovery,evidence/hires/TAV-02S/tiles/TAV-02S_L1_R02C01.png,d521f11a6989664a54409ab0df064903d8986564,CROP_PNG,96b62d099c963e2ee3fef0c19e6670be79e6d271,work/m0-global-model,data/canonical/TAV02S_SYMBOL_OBSERVATIONS_v1.csv,112637a7beed8ebbb57cc81a3fdb8f938a9390c4,AVAILABLE,"crop persistente; da associare alle osservazioni per settore"
TAV02S-R02C02,work/m0g-source-recovery,evidence/hires/TAV-02S/tiles/TAV-02S_L1_R02C02.png,d521f11a6989664a54409ab0df064903d8986564,CROP_PNG,ac224c254bd10d7961ea4c1596a6d900528ace5e,work/m0-global-model,data/canonical/TAV02S_SYMBOL_OBSERVATIONS_v1.csv,112637a7beed8ebbb57cc81a3fdb8f938a9390c4,AVAILABLE,"crop persistente; da associare alle osservazioni per settore"
TAV02S-R02C03,work/m0g-source-recovery,evidence/hires/TAV-02S/tiles/TAV-02S_L1_R02C03.png,d521f11a6989664a54409ab0df064903d8986564,CROP_PNG,38f1855ddee7539b021730332ae4a948bfa0abf6,work/m0-global-model,data/canonical/TAV02S_SYMBOL_OBSERVATIONS_v1.csv,112637a7beed8ebbb57cc81a3fdb8f938a9390c4,AVAILABLE,"crop persistente; da associare alle osservazioni per settore"
TAV02S-R03C01,work/m0g-source-recovery,evidence/hires/TAV-02S/tiles/TAV-02S_L1_R03C01.png,d521f11a6989664a54409ab0df064903d8986564,CROP_PNG,adcd94033547c3456adb794dee1fec99a5dff7cc,work/m0-global-model,data/canonical/TAV02S_SYMBOL_OBSERVATIONS_v1.csv,112637a7beed8ebbb57cc81a3fdb8f938a9390c4,AVAILABLE,"crop persistente; settore inferiore/centrale da rivalidare"
TAV02S-R03C02,work/m0g-source-recovery,evidence/hires/TAV-02S/tiles/TAV-02S_L1_R03C02.png,d521f11a6989664a54409ab0df064903d8986564,CROP_PNG,98d7864d3266c5a684de5eccf7a0b6ff8cb352a7,work/m0-global-model,data/canonical/TAV02S_SYMBOL_OBSERVATIONS_v1.csv,112637a7beed8ebbb57cc81a3fdb8f938a9390c4,AVAILABLE,"crop persistente; settore inferiore/centrale da rivalidare"
TAV02S-R03C03,work/m0g-source-recovery,evidence/hires/TAV-02S/tiles/TAV-02S_L1_R03C03.png,d521f11a6989664a54409ab0df064903d8986564,CROP_PNG,d50bf01528bfd1a283e1f3ffab58fb5c02090967,work/m0-global-model,data/canonical/TAV02S_SYMBOL_OBSERVATIONS_v1.csv,112637a7beed8ebbb57cc81a3fdb8f938a9390c4,AVAILABLE,"crop persistente; settore inferiore/centrale da rivalidare"
TAV02S-R04C01,work/m0g-source-recovery,evidence/hires/TAV-02S/tiles/TAV-02S_L1_R04C01.png,d521f11a6989664a54409ab0df064903d8986564,CROP_PNG,31fa30f22d477094a79815358da9810cdfe0c47a,work/m0-global-model,data/canonical/TAV02S_SYMBOL_OBSERVATIONS_v1.csv,112637a7beed8ebbb57cc81a3fdb8f938a9390c4,AVAILABLE,"crop persistente; riga inferiore"
TAV02S-R04C02,work/m0g-source-recovery,evidence/hires/TAV-02S/tiles/TAV-02S_L1_R04C02.png,d521f11a6989664a54409ab0df064903d8986564,CROP_PNG,8e86a6496b314198fb284b4a24ea789aa69d6e55,work/m0-global-model,data/canonical/TAV02S_SYMBOL_OBSERVATIONS_v1.csv,112637a7beed8ebbb57cc81a3fdb8f938a9390c4,AVAILABLE,"crop persistente; riga inferiore"
TAV02S-R04C03,work/m0g-source-recovery,evidence/hires/TAV-02S/tiles/TAV-02S_L1_R04C03.png,d521f11a6989664a54409ab0df064903d8986564,CROP_PNG,245e4a5db5c3685c4e1a6f554b7019f37ea7ca4b,work/m0-global-model,data/canonical/TAV02S_SYMBOL_OBSERVATIONS_v1.csv,112637a7beed8ebbb57cc81a3fdb8f938a9390c4,AVAILABLE,"crop persistente; bordo destro riga inferiore"
