result_id,source_scope,entity_or_measure,result_type,value,state,derivation_rule,note
ITER-001,UNBOUND_Q01,18,PILLAR_ID,18,SUPPORTED,"direct written identifier","numero 18 leggibile nel settore inferiore"
ITER-002,UNBOUND_Q01,18,SECTION_DIMENSION_PARTIAL,110,SUPPORTED,"direct written dimension","lato lungo 110 cm leggibile; altra dimensione ND; vietata sezione completa inferita"
ITER-003,UNBOUND_Q01,19,PILLAR_ID_SECTION,40x50,SUPPORTED,"direct number + written section","coordinate non derivate"
ITER-004,UNBOUND_Q01,20,PILLAR_ID_SECTION,50x40,SUPPORTED,"direct number + written section","coordinate non derivate"
ITER-005,UNBOUND_Q01,local_dimension,DIMENSION,3.25,SUPPORTED,"direct written dimension","corregge la precedente lettura 2.25"
ITER-006,UNBOUND_Q01,local_dimension,DIMENSION,2.40,SUPPORTED,"direct written dimension","associazione ai riferimenti ancora aperta"
ITER-007,UNBOUND_Q01,local_dimension,DIMENSION,2.90,SUPPORTED,"direct written dimension","associazione ai riferimenti ancora aperta"
ITER-008,"TAV-02S_L1_R03C02;TAV-02S_L1_R03C03",15,PILLAR_ID_SECTION,50x40,CROSS_VALIDATED,"direct persistent-tile reading + overlap cross-check","identificativo 15 e sezione 50x40 leggibili coerentemente su due tile sovrapposti"
ITER-009,UNBOUND_CURRENT_VIEWS,21-33,VISIBILITY,PARTIALLY_RESOLVED,SUPERSEDED,"negative observation superseded by persistent tiles","22, 22' e 23-33 parzialmente letti direttamente; 21 resta da chiudere"
ITER-010,UNBOUND_CURRENT_VIEWS,a-d,VISIBILITY,NOT_VISIBLE,OPEN,"negative observation only","richiede lettera leggibile su fonte primaria"
ITER-011,TAV-02S_L1_R02C01,31,PILLAR_ID_SECTION,50x40,DOC_DIRECT,"direct persistent-tile reading","orizzontale 50; verticale 40"
ITER-012,TAV-02S_L1_R02C01,28,PILLAR_ID_SECTION,50x40,DOC_DIRECT,"direct persistent-tile reading","orizzontale 50; verticale 40"
ITER-013,TAV-02S_L1_R02C01,25,PILLAR_ID_SECTION,50x40,DOC_DIRECT,"direct persistent-tile reading","orizzontale 50; verticale 40"
ITER-014,TAV-02S_L1_R03C01,32,PILLAR_ID_SECTION,40x50,DOC_DIRECT,"direct persistent-tile reading","orizzontale 40; verticale 50"
ITER-015,TAV-02S_L1_R03C01,29,PILLAR_ID_SECTION,50x40,DOC_DIRECT,"direct persistent-tile reading","orizzontale 50; verticale 40"
ITER-016,TAV-02S_L1_R03C01,26,PILLAR_ID_SECTION,50x40,DOC_DIRECT,"direct persistent-tile reading","orizzontale 50; verticale 40"
ITER-017,TAV-02S_L1_R03C01,17,PILLAR_ID_SECTION,50x40,DOC_DIRECT,"direct persistent-tile reading","orizzontale 50; verticale 40"
ITER-018,TAV-02S_L1_R03C01,33,PILLAR_ID_SECTION,50x40,DOC_DIRECT,"direct persistent-tile reading","orizzontale 50; verticale 40"
ITER-019,TAV-02S_L1_R03C01,30,PILLAR_ID_SECTION,30x110,DOC_DIRECT,"direct persistent-tile reading","orizzontale 30; verticale 110"
ITER-020,TAV-02S_L1_R03C01,27,PILLAR_ID_SECTION,50x40,DOC_DIRECT,"direct persistent-tile reading","orizzontale 50; verticale 40"
ITER-021,TAV-02S_L1_R03C01,24,PILLAR_ID_SECTION,40x50,DOC_DIRECT,"direct persistent-tile reading","orizzontale 40; verticale 50"
ITER-022,TAV-02S_L1_R04C01,23,PILLAR_ID_SECTION,110x30,DOC_DIRECT,"direct persistent-tile reading","orizzontale 110; verticale 30; orientamento conservato"
ITER-023,TAV-02S_L1_R04C02,16,PILLAR_ID_SECTION,50x40,DOC_DIRECT,"direct persistent-tile reading","orizzontale 50; verticale 40"
ITER-024,TAV-02S_L1_R03C01,22,PILLAR_ID_SECTION,50x40,DOC_DIRECT,"direct persistent-tile reading","22 leggibile direttamente; orizzontale 50, verticale 40"
ITER-025,TAV-02S_L1_R03C01,22',PILLAR_ID_SECTION,50x40,DOC_DIRECT,"direct persistent-tile reading","22' leggibile direttamente con prime/apostrofo inequivocabile; entita distinta da 22; orizzontale 50, verticale 40"
