tile_id,tile_w_px,tile_h_px,registration_status,good_matches,inliers,rmse_overview_px,h00,h01,h02,h10,h11,h12,h20,h21,h22,overview_xmin,overview_xmax,overview_ymin,overview_ymax,native_u_min,native_u_max,native_v_min,native_v_max,native_scale_x_per_overview_px,native_scale_y_per_overview_px,authority,note
r1_c1,1653,2281,DIRECT_SIFT_RANSAC,347,192,0.1878,0.2091510012,0.0000000000,-0.2000000000,0.0000000000,0.2091510012,-0.2000000000,0,0,1,-0.200,345.600,-0.400,476.700,-1.16,1652.24,-1.77,2280.10,4.7803881512,4.7827777778,REGISTRATION_MEASURED,tile-local -> overview homography; overview -> native by exact image-size scale
r1_c2,1747,2281,DIRECT_SIFT_RANSAC,222,154,0.1212,0.2090400000,0.0000000000,306.4000000000,0.0000000000,0.2089500000,-0.8000000000,0,0,1,306.400,671.600,-0.800,476.700,1464.69,3210.48,-3.66,2280.14,4.7803881512,4.7827777778,REGISTRATION_MEASURED,tile-local -> overview homography; overview -> native by exact image-size scale
r1_c3,1654,2281,DERIVED_GRID_FROM_REGISTERED_NEIGHBORS,0,0,,0.2092171952,0.0000000000,632.7749023438,0.0000000000,0.2092515126,-0.5674097538,0,0,1,632.775,978.822,-0.567,476.735,3024.91,4679.15,-2.71,2280.12,4.7803881512,4.7827777778,REGISTRATION_DERIVED,tile-local -> overview homography; overview -> native by exact image-size scale
r2_c1,1653,2410,DIRECT_SIFT_RANSAC,178,97,0.2059,0.2091500000,0.0000000000,-0.1000000000,0.0000000000,0.2091300000,422.8000000000,0,0,1,-0.100,345.700,422.800,926.800,-1.27,1652.34,2021.93,4432.50,4.7803881512,4.7827777778,REGISTRATION_MEASURED,tile-local -> overview homography; overview -> native by exact image-size scale
r2_c2,1747,2410,DIRECT_SIFT_RANSAC,291,134,0.1267,0.2091600000,0.0000000000,306.5000000000,0.0000000000,0.2090900000,422.8000000000,0,0,1,306.400,672.000,422.800,926.700,1464.72,3212.51,2022.20,4432.26,4.7803881512,4.7827777778,REGISTRATION_MEASURED,tile-local -> overview homography; overview -> native by exact image-size scale
r2_c3,1654,2410,DIRECT_SIFT_RANSAC,162,80,0.1373,0.2091100000,0.0000000000,632.8000000000,0.0000000000,0.2090700000,422.8000000000,0,0,1,632.800,978.800,422.800,926.700,3024.91,4678.93,2022.02,4432.41,4.7803881512,4.7827777778,REGISTRATION_MEASURED,tile-local -> overview homography; overview -> native by exact image-size scale
r3_c1,1653,2410,DIRECT_SIFT_RANSAC,195,85,0.2219,0.2096045680,0.0001473643,-0.5142118570,0.0009011487,0.2097266740,872.4163260000,0.0000007263,0.0000003708,1,-0.514,345.594,872.416,1376.628,-2.46,1652.07,4172.57,6584.10,4.7803881512,4.7827777778,REGISTRATION_MEASURED,tile-local -> overview homography; overview -> native by exact image-size scale
r3_c2,1747,2410,DIRECT_SIFT_RANSAC,243,97,0.1754,0.2091500000,0.0000000000,306.4000000000,0.0000000000,0.2090800000,872.7000000000,0,0,1,306.400,671.900,872.700,1376.600,1464.76,3212.14,4173.81,6584.18,4.7803881512,4.7827777778,REGISTRATION_MEASURED,tile-local -> overview homography; overview -> native by exact image-size scale
r3_c3,1654,2410,DIRECT_SIFT_RANSAC,184,82,0.1754,0.2091200000,0.0000000000,632.8000000000,0.0000000000,0.2090700000,872.8000000000,0,0,1,632.700,978.800,872.800,1376.700,3024.75,4679.15,4174.50,6584.58,4.7803881512,4.7827777778,REGISTRATION_MEASURED,tile-local -> overview homography; overview -> native by exact image-size scale
r4_c1,1653,2282,DERIVED_GRID_FROM_REGISTERED_NEIGHBORS,0,0,,0.2092525952,0.0000000000,-0.2661524713,0.0000000000,0.2093110039,1322.6989746094,0,0,1,-0.266,345.628,1322.699,1800.347,-1.27,1652.24,6326.18,8610.66,4.7803881512,4.7827777778,REGISTRATION_DERIVED,tile-local -> overview homography; overview -> native by exact image-size scale
r4_c2,1747,2282,DIRECT_SIFT_RANSAC,131,55,0.1104,0.2091800000,0.0000000000,306.4000000000,0.0000000000,0.2091000000,1322.7000000000,0,0,1,306.300,672.100,1322.700,1800.100,1464.22,3212.66,6326.18,8609.51,4.7803881512,4.7827777778,REGISTRATION_MEASURED,tile-local -> overview homography; overview -> native by exact image-size scale
r4_c3,1654,2282,DIRECT_SIFT_RANSAC,71,33,0.1289,0.2091800000,0.0000000000,632.8000000000,0.0000000000,0.2091500000,1322.7000000000,0,0,1,632.800,979.400,1322.700,1800.600,3024.97,4682.01,6326.17,8611.80,4.7803881512,4.7827777778,REGISTRATION_MEASURED,tile-local -> overview homography; overview -> native by exact image-size scale
