segment_id,support_id,from_level,to_level,x_global_m,y_global_m,z_from_m,z_to_m,height_m,from_section_cm,to_section_cm,from_section_evidence,to_section_evidence,section_transition_class,xy_provenance,z_provenance,continuity_evidence,from_section_source,to_section_source,validation_state,note
COL-001,1,G1,G2,18.0000,0.0000,0.00,3.20,3.20,40x50,40x45,DOC,DOC,SECTION_CHANGE_AT_LEVEL_BOUNDARY,DOC_METRIC_OR_AXIS,STOREY_LEVELS_CURRENT_v1,DOC_CONTINUITY_G1_G4,TAV-02S_HIRES,TAV-03S,CURRENT,Endpoint sections retained separately; no interpolation or cross-storey section copy.
COL-002,2,G1,G2,18.0000,4.7000,0.00,3.20,3.20,50x40,45x40,DOC,DOC,SECTION_CHANGE_AT_LEVEL_BOUNDARY,DOC_METRIC_OR_AXIS,STOREY_LEVELS_CURRENT_v1,DOC_CONTINUITY_G1_G4,TAV-02S_HIRES,TAV-03S,CURRENT,Endpoint sections retained separately; no interpolation or cross-storey section copy.
COL-003,3,G1,G2,18.0000,9.8000,0.00,3.20,3.20,60x40,45x40,DOC,DOC,SECTION_CHANGE_AT_LEVEL_BOUNDARY,DOC_METRIC_OR_AXIS,STOREY_LEVELS_CURRENT_v1,DOC_CONTINUITY_G1_G4,TAV-02S_HIRES,TAV-03S,CURRENT,Endpoint sections retained separately; no interpolation or cross-storey section copy.
COL-004,4,G1,G2,18.0000,13.9500,0.00,3.20,3.20,40x50,40x45,DOC,DOC,SECTION_CHANGE_AT_LEVEL_BOUNDARY,DOC_METRIC_OR_AXIS,STOREY_LEVELS_CURRENT_v1,DOC_CONTINUITY_G1_G4,TAV-02S_HIRES,TAV-03S,CURRENT,Endpoint sections retained separately; no interpolation or cross-storey section copy.
COL-005,5,G1,G2,16.1000,13.9500,0.00,3.20,3.20,40x50,40x45,DOC,DOC,SECTION_CHANGE_AT_LEVEL_BOUNDARY,DOC_METRIC_OR_AXIS,STOREY_LEVELS_CURRENT_v1,DOC_CONTINUITY_G1_G4,TAV-02S_HIRES,TAV-03S,CURRENT,Endpoint sections retained separately; no interpolation or cross-storey section copy.
COL-006,6,G1,G2,16.1000,18.1000,0.00,3.20,3.20,50x40,45x40,DOC,DOC,SECTION_CHANGE_AT_LEVEL_BOUNDARY,DOC_METRIC_OR_AXIS,STOREY_LEVELS_CURRENT_v1,DOC_CONTINUITY_G1_G4,TAV-02S_HIRES,TAV-03S,CURRENT,Endpoint sections retained separately; no interpolation or cross-storey section copy.
COL-007,7,G1,G2,16.1000,23.4000,0.00,3.20,3.20,50x40,45x40,DOC,DOC,SECTION_CHANGE_AT_LEVEL_BOUNDARY,DOC_METRIC_OR_AXIS,STOREY_LEVELS_CURRENT_v1,DOC_CONTINUITY_G1_G4,TAV-02S_HIRES,TAV-03S,CURRENT,Endpoint sections retained separately; no interpolation or cross-storey section copy.
COL-008,8,G1,G2,16.1000,28.1000,0.00,3.20,3.20,40x50,40x45,DOC,DOC,SECTION_CHANGE_AT_LEVEL_BOUNDARY,DOC_METRIC_OR_AXIS,STOREY_LEVELS_CURRENT_v1,DOC_CONTINUITY_G1_G4,TAV-02S_HIRES,TAV-03S,CURRENT,Endpoint sections retained separately; no interpolation or cross-storey section copy.
COL-009,9,G1,G2,12.4000,0.0000,0.00,3.20,3.20,40x50,40x45,DOC,DOC,SECTION_CHANGE_AT_LEVEL_BOUNDARY,DOC_METRIC_OR_AXIS,STOREY_LEVELS_CURRENT_v1,DOC_CONTINUITY_G1_G4,TAV-02S_HIRES,TAV-03S,CURRENT,Endpoint sections retained separately; no interpolation or cross-storey section copy.
COL-010,10,G1,G2,12.4000,4.7000,0.00,3.20,3.20,50x40,50x35,DOC,DOC,SECTION_CHANGE_AT_LEVEL_BOUNDARY,DOC_METRIC_OR_AXIS,STOREY_LEVELS_CURRENT_v1,DOC_CONTINUITY_G1_G4,TAV-02S_HIRES,TAV-03S,CURRENT,Endpoint sections retained separately; no interpolation or cross-storey section copy.
