support_id,entity_type,x_global_m,y_global_m,metric_provenance,g1_present,g2_present,g3_present,g4_present,g5_present,highest_documented_plane,highest_z_rel_m,continuity_class,xy_registration_state,z_registration_state,section_transfer_rule,note
1,NUMBERED_PILLAR,18.0000,0.0000,DOC_METRIC_OR_AXIS,PRESENT,PRESENT,PRESENT,PRESENT,ABSENT,G4,9.60,CONTINUES_G1_TO_G4_NOT_PRESENT_G5,COMMON_PT_XY_WITH_REGISTERED_UPPER_SHEETS,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,DO_NOT_EXTRUDE_TO_G5
2,NUMBERED_PILLAR,18.0000,4.7000,DOC_METRIC_OR_AXIS,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,G5,11.80,CONTINUES_G1_TO_G5,COMMON_PT_XY_WITH_REGISTERED_UPPER_SHEETS,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,IDENTITY_DOC_XY_REGISTRATION_MIS_SUPPORTED
3,NUMBERED_PILLAR,18.0000,9.8000,DOC_METRIC_OR_AXIS,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,G5,11.80,CONTINUES_G1_TO_G5,COMMON_PT_XY_WITH_REGISTERED_UPPER_SHEETS,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,IDENTITY_DOC_XY_REGISTRATION_MIS_SUPPORTED
4,NUMBERED_PILLAR,18.0000,13.9500,DOC_METRIC_OR_AXIS,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,G5,11.80,CONTINUES_G1_TO_G5,COMMON_PT_XY_WITH_REGISTERED_UPPER_SHEETS,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,IDENTITY_DOC_XY_REGISTRATION_MIS_SUPPORTED
5,NUMBERED_PILLAR,16.1000,13.9500,DOC_METRIC_OR_AXIS,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,G5,11.80,CONTINUES_G1_TO_G5,COMMON_PT_XY_WITH_REGISTERED_UPPER_SHEETS,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,IDENTITY_DOC_XY_REGISTRATION_MIS_SUPPORTED
6,NUMBERED_PILLAR,16.1000,18.1000,DOC_METRIC_OR_AXIS,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,G5,11.80,CONTINUES_G1_TO_G5,COMMON_PT_XY_WITH_REGISTERED_UPPER_SHEETS,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,IDENTITY_DOC_XY_REGISTRATION_MIS_SUPPORTED
7,NUMBERED_PILLAR,16.1000,23.4000,DOC_METRIC_OR_AXIS,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,G5,11.80,CONTINUES_G1_TO_G5,COMMON_PT_XY_WITH_REGISTERED_UPPER_SHEETS,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,IDENTITY_DOC_XY_REGISTRATION_MIS_SUPPORTED
8,NUMBERED_PILLAR,16.1000,28.1000,DOC_METRIC_OR_AXIS,PRESENT,PRESENT,PRESENT,PRESENT,ABSENT,G4,9.60,CONTINUES_G1_TO_G4_NOT_PRESENT_G5,COMMON_PT_XY_WITH_REGISTERED_UPPER_SHEETS,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,DO_NOT_EXTRUDE_TO_G5
9,NUMBERED_PILLAR,12.4000,0.0000,DOC_METRIC_OR_AXIS,PRESENT,PRESENT,PRESENT,PRESENT,ABSENT,G4,9.60,CONTINUES_G1_TO_G4_NOT_PRESENT_G5,COMMON_PT_XY_WITH_REGISTERED_UPPER_SHEETS,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,DO_NOT_EXTRUDE_TO_G5
10,NUMBERED_PILLAR,12.4000,4.7000,DOC_METRIC_OR_AXIS,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,G5,11.80,CONTINUES_G1_TO_G5,COMMON_PT_XY_WITH_REGISTERED_UPPER_SHEETS,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,IDENTITY_DOC_XY_REGISTRATION_MIS_SUPPORTED
11,NUMBERED_PILLAR,12.4000,9.8000,DOC_METRIC_OR_AXIS,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,G5,11.80,CONTINUES_G1_TO_G5,COMMON_PT_XY_WITH_REGISTERED_UPPER_SHEETS,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,IDENTITY_DOC_XY_REGISTRATION_MIS_SUPPORTED
12,NUMBERED_PILLAR,12.4000,13.0725,MIS_AFFINE,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,G5,11.80,CONTINUES_G1_TO_G5,COMMON_PT_XY_WITH_REGISTERED_UPPER_SHEETS,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,IDENTITY_DOC_XY_REGISTRATION_MIS_SUPPORTED
13,NUMBERED_PILLAR,11.4500,15.2000,DOC_METRIC_OR_AXIS,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,G5,11.80,CONTINUES_G1_TO_G5,COMMON_PT_XY_WITH_REGISTERED_UPPER_SHEETS,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,IDENTITY_DOC_XY_REGISTRATION_MIS_SUPPORTED
14,NUMBERED_PILLAR,11.4500,18.1000,DOC_METRIC_OR_AXIS,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,G5,11.80,CONTINUES_G1_TO_G5,COMMON_PT_XY_WITH_REGISTERED_UPPER_SHEETS,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,IDENTITY_DOC_XY_REGISTRATION_MIS_SUPPORTED
15,NUMBERED_PILLAR,11.4500,23.4000,DOC_METRIC_OR_AXIS,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,G5,11.80,CONTINUES_G1_TO_G5,COMMON_PT_XY_WITH_REGISTERED_UPPER_SHEETS,RELATIVE_Z_REGISTERED_FROM_TAV06E,READ_EACH_CARPENTRY_OR_TAV07A,IDENTITY_DOC_XY_REGISTRATION_MIS_SUPPORTED
