column_chain_id,source_node_id,fixed_line_x_mm,fixed_line_y_mm,fixed_line_ref,fixed_line_status,section_base,section_top,rotation_deg,axis_offset_x_mm,axis_offset_y_mm,continuity_status,source_ref,note
X07-Y05,N001,33084.7,12210.4,X07|Y05,PREDOC_GEOMETRICO,ND,40x40 solo per pilastri d'angolo (RIF),ND,ND,ND,VER_5_LEVELS,CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22,Filo fisso geometrico della catena; non equivale ancora all'asse baricentrico della sezione
X09-Y05,N002,36500.9,12233.9,X09|Y05,PREDOC_GEOMETRICO,ND,40x40 solo per pilastri d'angolo (RIF),ND,ND,ND,VER_5_LEVELS,CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22,Filo fisso geometrico della catena; non equivale ancora all'asse baricentrico della sezione
X09-Y02,N005,36510.7,7839.7,X09|Y02,PREDOC_GEOMETRICO,ND,40x40 solo per pilastri d'angolo (RIF),ND,ND,ND,VER_5_LEVELS,CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22,Filo fisso geometrico della catena; non equivale ancora all'asse baricentrico della sezione
X07-Y01,N006,33159.8,5536.1,X07|Y01,PREDOC_GEOMETRICO,ND,40x40 solo per pilastri d'angolo (RIF),ND,ND,ND,VER_5_LEVELS,CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22,Filo fisso geometrico della catena; non equivale ancora all'asse baricentrico della sezione
X06-Y01,N007,31775.0,5536.1,X06|Y01,PREDOC_GEOMETRICO,ND,40x40 solo per pilastri d'angolo (RIF),ND,ND,ND,VER_5_LEVELS,CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22,Filo fisso geometrico della catena; non equivale ancora all'asse baricentrico della sezione
X04-Y13,N003,23776.6,25651.2,X04|Y13,PREDOC_GEOMETRICO,ND,40x40 solo per pilastri d'angolo (RIF),ND,ND,ND,VER_5_LEVELS,CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22,Filo fisso geometrico della catena; non equivale ancora all'asse baricentrico della sezione
X06-Y05,N008,31709.7,12151.3,X06|Y05,PREDOC_GEOMETRICO,ND,40x40 solo per pilastri d'angolo (RIF),ND,ND,ND,VER_5_LEVELS,CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22,Filo fisso geometrico della catena; non equivale ancora all'asse baricentrico della sezione
X06-Y12,N004,31530.1,23679.0,X06|Y12,PREDOC_GEOMETRICO,ND,40x40 solo per pilastri d'angolo (RIF),ND,ND,ND,VER_5_LEVELS,CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22,Filo fisso geometrico della catena; non equivale ancora all'asse baricentrico della sezione
X01-Y04,N009,8485.1,10543.7,X01|Y04,PREDOC_GEOMETRICO,ND,40x40 solo per pilastri d'angolo (RIF),ND,ND,ND,VER_5_LEVELS,CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22,Filo fisso geometrico della catena; non equivale ancora all'asse baricentrico della sezione
X13-Y06,N010,42889.2,12616.6,X13|Y06,PREDOC_GEOMETRICO,ND,40x40 solo per pilastri d'angolo (RIF),ND,ND,ND,VER_5_LEVELS,CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22,Filo fisso geometrico della catena; non equivale ancora all'asse baricentrico della sezione
