edge_id,node_i,node_j,source,status,confidence,crosscheck,notes
FND-E001,1,2,TAV-01S,DOC,HIGH,pending TAV-01A/F5-R,"Continuita grafica verticale inequivocabile"
FND-E002,2,3,TAV-01S,DOC,HIGH,pending TAV-01A/F5-R,"Continuita grafica verticale inequivocabile"
FND-E003,31,28,TAV-01S,DOC,HIGH,pending TAV-01A/F5-R,"Traverso superiore settore sinistro"
FND-E004,28,25,TAV-01S,DOC,HIGH,pending TAV-01A/F5-R,"Traverso superiore settore sinistro"
FND-E005,31,32,TAV-01S,DOC,HIGH,pending TAV-01A/F5-R,"Allineamento verticale sinistro"
FND-E006,32,33,TAV-01S,DOC,HIGH,pending TAV-01A/F5-R,"Allineamento verticale sinistro"
FND-E007,28,29,TAV-01S,DOC,HIGH,pending TAV-01A/F5-R,"Allineamento verticale centrale settore sinistro"
FND-E008,25,26,TAV-01S,DOC,HIGH,pending TAV-01A/F5-R,"Allineamento verticale destro settore sinistro"
FND-E009,26,27,TAV-01S,DOC,HIGH,pending TAV-01A/F5-R,"Allineamento verticale destro settore sinistro"
FND-E010,32,29,TAV-01S,DOC,HIGH,pending TAV-01A/F5-R,"Traverso medio settore sinistro"
FND-E011,29,26,TAV-01S,DOC,HIGH,pending TAV-01A/F5-R,"Traverso medio settore sinistro"
FND-E012,25,19,TAV-01S,DOC,HIGH,pending TAV-01A/F5-R,"Continuita orizzontale verso nucleo centrale"
FND-E013,19,20,TAV-01S,DOC,HIGH,pending TAV-01A/F5-R,"Collegamento verticale corto"
FND-E014,20,11,TAV-01S,DOC,HIGH,pending TAV-01A/F5-R,"Collegamento orizzontale documentato"
FND-E015,11,12,TAV-01S,DOC,HIGH,pending TAV-01A/F5-R,"Allineamento verticale verso giunzione 12"
FND-E016,12,13,TAV-01S,DOC,HIGH,F5-R expected,"Ramo inclinato documentato"
FND-E017,13,14,TAV-01S,DOC,HIGH,pending TAV-01A/F5-R,"Allineamento verticale centrale"
FND-E018,26,21,TAV-01S,DOC,HIGH,pending TAV-01A/F5-R,"Traverso centrale"
FND-E019,21,13,TAV-01S,DOC,HIGH,pending TAV-01A/F5-R,"Traverso centrale"
FND-E020,21,22,TAV-01S,DOC,HIGH,pending TAV-01A/F5-R,"Allineamento verticale breve"
FND-E021,22,14,TAV-01S,DOC,HIGH,pending TAV-01A/F5-R,"Traverso inferiore centrale"
