node_id,u_px,v_px,label_status,position_status,source,method,confidence,notes
1,4599,3083,DOC,MIS,TAV-01S,L2 raster center,HIGH,"Etichetta e centro rettangolo leggibili"
2,4605,3833,DOC,MIS,TAV-01S,L2 raster center,HIGH,"Etichetta e centro rettangolo leggibili"
3,4608,4637,DOC,MIS,TAV-01S,L2 raster center,HIGH,"Etichetta e centro rettangolo leggibili"
11,3677,4632,DOC,MIS,TAV-01S,L1/L2 raster center,HIGH,"Nodo su allineamento orizzontale superiore centrale"
12,3677,5148,DOC,MIS,TAV-01S,L1/L2 raster center,HIGH,"Nodo di giunzione sul ramo inclinato"
13,3508,5487,DOC,MIS,TAV-01S,L1/L2 raster center,HIGH,"Nodo sul ramo inclinato e allineamento centrale"
14,3505,5945,DOC,MIS,TAV-01S,L1/L2 raster center,HIGH,"Nodo allineato verticalmente con 13"
19,2927,4467,DOC,MIS,TAV-01S,L1/L2 raster center,HIGH,"Nodo su traverso superiore"
20,2930,4704,DOC,MIS,TAV-01S,L1/L2 raster center,HIGH,"Nodo immediatamente sotto 19"
21,2602,5483,DOC,MIS,TAV-01S,L1/L2 raster center,HIGH,"Nodo allineamento centrale"
22,2613,5945,DOC,MIS,TAV-01S,L1/L2 raster center,HIGH,"Nodo inferiore a 21"
25,2280,4468,DOC,MIS,TAV-01S,L2 overlap center,HIGH,"Centro confermato da due tasselli sovrapposti"
26,2276,5443,DOC,MIS,TAV-01S,L2 raster center,HIGH,"Nodo allineamento verticale 25-26-27"
27,2273,6134,DOC,MIS,TAV-01S,L2 raster center,HIGH,"Nodo inferiore allineamento destro del settore sinistro"
28,1736,4467,DOC,MIS,TAV-01S,L2 raster center,HIGH,"Nodo traverso alto settore sinistro"
29,1732,5455,DOC,MIS,TAV-01S,L2 raster center,HIGH,"Nodo centrale settore sinistro"
30,1727,6165,DOC,MIS,TAV-01S,L2 raster center,MEDIUM,"Centro etichetta verticale; rifinire con L2 locale"
31,999,4465,DOC,MIS,TAV-01S,L2 raster center,HIGH,"Nodo sinistro superiore"
32,985,5436,DOC,MIS,TAV-01S,L2 raster center,HIGH,"Nodo sinistro medio"
33,992,6226,DOC,MIS,TAV-01S,L2 raster center,HIGH,"Nodo sinistro inferiore"
