support_id,structural_level,level_ref,relative_z_m,m0g_x_m,m0g_y_m,section_cm,xy_axis_status,z_status,footprint_status,evidence_status,confidence,source_basis,notes
P13,G1,L1,3.20,16.0458,-6.4666,40x50,READY,READY,LOCAL_OFFSETS_PENDING,DOC+MIS+RIF,HIGH,"g1_g4_vertical_axis_release_v1.csv + m0g_storey_levels_v1.csv","Analytical joint location ready; section insertion still local residual."
P13,G2,L2,6.40,16.0458,-6.4666,35x50,READY,READY,LOCAL_OFFSETS_PENDING,DOC+MIS+RIF,HIGH,"g1_g4_vertical_axis_release_v1.csv + m0g_storey_levels_v1.csv",""
P13,G3,L3,9.60,16.0458,-6.4666,30x50,READY,READY,LOCAL_OFFSETS_PENDING,DOC+MIS+RIF,HIGH,"g1_g4_vertical_axis_release_v1.csv + m0g_storey_levels_v1.csv",""
P13,G4,L4,,16.0458,-6.4666,30x45,READY,HOLD_Z_ND,LOCAL_OFFSETS_PENDING,DOC+MIS+RIF,HIGH,"g1_g4_vertical_axis_release_v1.csv + m0g_storey_levels_v1.csv","Do not extrapolate 3.20 m to L4."
P20,G1,L1,3.20,12.3443,-1.0045,40x50,READY,READY,LOCAL_OFFSETS_PENDING,DOC+MIS+RIF,HIGH,"g1_g4_vertical_axis_release_v1.csv + m0g_storey_levels_v1.csv","Non-monotonic section sequence preserved."
P20,G2,L2,6.40,12.3443,-1.0045,40x45,READY,READY,LOCAL_OFFSETS_PENDING,DOC+MIS+RIF,HIGH,"g1_g4_vertical_axis_release_v1.csv + m0g_storey_levels_v1.csv",""
P20,G3,L3,9.60,12.3443,-1.0045,30x50,READY,READY,PARTIAL_U_READY_V_HOLD,DOC+MIS+RIF,HIGH,"g1_g4_vertical_axis_release_v1.csv + g3_g4_internal_u_fixedline_geometry_v1.csv","G3 U offsets known."
P20,G4,L4,,12.3443,-1.0045,40x40,READY,HOLD_Z_ND,PARTIAL_U_READY_V_HOLD,DOC+MIS+RIF,HIGH,"g1_g4_vertical_axis_release_v1.csv + g3_g4_internal_u_fixedline_geometry_v1.csv","G4 U offsets known; L4 Z remains ND."
P22,G1,L1,3.20,10.4191,-9.3752,40x50,READY,READY,LOCAL_OFFSETS_PENDING,DOC+MIS+RIF,HIGH,"g1_g4_vertical_axis_release_v1.csv + m0g_storey_levels_v1.csv","P22 distinct from P22P."
P22,G2,L2,6.40,10.4191,-9.3752,35x50,READY,READY,LOCAL_OFFSETS_PENDING,DOC+MIS+RIF,HIGH,"g1_g4_vertical_axis_release_v1.csv + m0g_storey_levels_v1.csv",""
P22,G3,L3,9.60,10.4191,-9.3752,30x50,READY,READY,PARTIAL_U_READY_V_HOLD,DOC+MIS+RIF,HIGH,"g1_g4_vertical_axis_release_v1.csv + g3_g4_internal_u_fixedline_geometry_v1.csv","U_NEG retained."
P22,G4,L4,,10.4191,-9.3752,30x45,READY,HOLD_Z_ND,PARTIAL_U_READY_V_HOLD,DOC+MIS+RIF,HIGH,"g1_g4_vertical_axis_release_v1.csv + g3_g4_internal_u_fixedline_geometry_v1.csv","U_POS retreats 5 cm; L4 Z remains ND."
P26,G1,L1,3.20,8.1467,-6.2825,40x50,READY,READY,LOCAL_OFFSETS_PENDING,DOC+MIS+RIF,HIGH,"g1_g4_vertical_axis_release_v1.csv + m0g_storey_levels_v1.csv","Analytical axis ready; insertion unresolved."
P26,G2,L2,6.40,8.1467,-6.2825,35x50,READY,READY,LOCAL_OFFSETS_PENDING,DOC+MIS+RIF,HIGH,"g1_g4_vertical_axis_release_v1.csv + m0g_storey_levels_v1.csv",""
P26,G3,L3,9.60,8.1467,-6.2825,30x50,READY,READY,LOCAL_OFFSETS_PENDING,DOC+MIS+RIF,HIGH,"g1_g4_vertical_axis_release_v1.csv + m0g_storey_levels_v1.csv",""
P26,G4,L4,,8.1467,-6.2825,30x45,READY,HOLD_Z_ND,LOCAL_OFFSETS_PENDING,DOC+MIS+RIF,HIGH,"g1_g4_vertical_axis_release_v1.csv + m0g_storey_levels_v1.csv","Do not infer L4 elevation."
