segment_id,support_id,from_level,to_level,x_m,y_m,z_from_m,z_to_m,length_m,section_from_cm,section_to_cm,segment_status,xy_status,z_status,footprint_status,evidence_status,confidence,notes
VC-P13-G1G2,P13,G1,G2,16.0458,-6.4666,3.20,6.40,3.20,40x50,35x50,READY,READY,READY,LOCAL_OFFSETS_PENDING,DOC+MIS+RIF,HIGH,"Vertical analytical segment may be instantiated; section transition represented at level boundary."
VC-P13-G2G3,P13,G2,G3,16.0458,-6.4666,6.40,9.60,3.20,35x50,30x50,READY,READY,READY,LOCAL_OFFSETS_PENDING,DOC+MIS+RIF,HIGH,""
VC-P13-G3G4,P13,G3,G4,16.0458,-6.4666,9.60,,,,30x50,30x45,HOLD_Z_ND,READY,HOLD_Z_ND,LOCAL_OFFSETS_PENDING,DOC+MIS+RIF,HIGH,"G4 relative Z is not verified; do not create length by extrapolation."
VC-P20-G1G2,P20,G1,G2,12.3443,-1.0045,3.20,6.40,3.20,40x50,40x45,READY,READY,READY,LOCAL_OFFSETS_PENDING,DOC+MIS+RIF,HIGH,"Preserve documentary non-monotonic section history."
VC-P20-G2G3,P20,G2,G3,12.3443,-1.0045,6.40,9.60,3.20,40x45,30x50,READY,READY,READY,LOCAL_OFFSETS_PENDING,DOC+MIS+RIF,HIGH,""
VC-P20-G3G4,P20,G3,G4,12.3443,-1.0045,9.60,,,,30x50,40x40,HOLD_Z_ND,READY,HOLD_Z_ND,PARTIAL_U_READY_V_HOLD,DOC+MIS+RIF,HIGH,"SECTION_RESHAPE; U geometry is qualified but G4 Z and V-dependent footprint remain HOLD."
VC-P22-G1G2,P22,G1,G2,10.4191,-9.3752,3.20,6.40,3.20,40x50,35x50,READY,READY,READY,LOCAL_OFFSETS_PENDING,DOC+MIS+RIF,HIGH,"P22 remains distinct from P22P."
VC-P22-G2G3,P22,G2,G3,10.4191,-9.3752,6.40,9.60,3.20,35x50,30x50,READY,READY,READY,LOCAL_OFFSETS_PENDING,DOC+MIS+RIF,HIGH,""
VC-P22-G3G4,P22,G3,G4,10.4191,-9.3752,9.60,,,,30x50,30x45,HOLD_Z_ND,READY,HOLD_Z_ND,PARTIAL_U_READY_V_HOLD,DOC+MIS+RIF,HIGH,"U_NEG retained; U_POS retreats 5 cm. G4 Z remains ND."
VC-P26-G1G2,P26,G1,G2,8.1467,-6.2825,3.20,6.40,3.20,40x50,35x50,READY,READY,READY,LOCAL_OFFSETS_PENDING,DOC+MIS+RIF,HIGH,""
VC-P26-G2G3,P26,G2,G3,8.1467,-6.2825,6.40,9.60,3.20,35x50,30x50,READY,READY,READY,LOCAL_OFFSETS_PENDING,DOC+MIS+RIF,HIGH,""
VC-P26-G3G4,P26,G3,G4,8.1467,-6.2825,9.60,,,,30x50,30x45,HOLD_Z_ND,READY,HOLD_Z_ND,LOCAL_OFFSETS_PENDING,DOC+MIS+RIF,HIGH,"G4 relative Z is not verified."
