support_id,g1_section_cm,g2_section_cm,g3_section_cm,g4_section_cm,section_transition_count,sequence_class,evidence_status,confidence,notes
P01,40x50,40x45,40x40,40x40,2,MULTI_LEVEL_CHANGE,DOC,HIGH,
P02,40x50,40x45,40x40,40x40,2,MULTI_LEVEL_CHANGE,DOC,HIGH,
P03,40x50,40x45,40x40,40x40,2,MULTI_LEVEL_CHANGE,DOC,HIGH,
P04,40x50,40x45,40x40,40x40,2,MULTI_LEVEL_CHANGE,DOC,HIGH,
P05,40x50,40x45,40x40,40x40,2,MULTI_LEVEL_CHANGE,DOC,HIGH,
P06,40x50,40x45,40x40,40x40,2,MULTI_LEVEL_CHANGE,DOC,HIGH,
P07,40x50,40x45,40x40,40x40,2,MULTI_LEVEL_CHANGE,DOC,HIGH,
P08,40x50,40x45,40x40,40x40,2,MULTI_LEVEL_CHANGE,DOC,HIGH,
P09,40x50,40x45,40x40,40x40,2,MULTI_LEVEL_CHANGE,DOC,HIGH,
P10,40x50,35x50,30x50,30x45,3,CHANGE_AT_EACH_INTERFACE,DOC,HIGH,
P11,40x50,35x50,30x50,30x50,2,MULTI_LEVEL_CHANGE,DOC,HIGH,
P12,40x50,35x50,30x45,30x45,2,MULTI_LEVEL_CHANGE,DOC,HIGH,
P13,40x50,35x50,30x50,30x45,3,CHANGE_AT_EACH_INTERFACE,DOC,HIGH,
P14,40x50,35x50,30x50,30x50,2,MULTI_LEVEL_CHANGE,DOC,HIGH,
P15,40x50,35x50,30x50,30x45,3,CHANGE_AT_EACH_INTERFACE,DOC,HIGH,
P16,40x50,40x45,40x40,40x40,2,MULTI_LEVEL_CHANGE,DOC,HIGH,
P17,40x50,40x45,40x40,40x40,2,MULTI_LEVEL_CHANGE,DOC,HIGH,
P18,30x110,30x110,30x110,30x110,0,UNCHANGED_G1_G4,DOC,HIGH,"Wide support remains 30x110 at all four levels; orientation/fixed-line placement still requires geometric verification."
P19,40x40,40x45,40x40,40x40,2,DOCUMENTARY_NON_MONOTONIC,DOC,HIGH,"Documented sequence 40x40 -> 40x45 -> 40x40 -> 40x40; do not regularize by neighbouring supports."
P20,40x50,40x45,30x50,40x40,3,DOCUMENTARY_NON_MONOTONIC,DOC,HIGH,"Documented sequence 40x50 -> 40x45 -> 30x50 -> 40x40; G3->G4 is SECTION_RESHAPE. Preserve exactly; do not impose monotonic taper."
P21,40x50,35x50,30x45,30x45,2,MULTI_LEVEL_CHANGE,DOC,HIGH,
P22,40x50,35x50,30x50,30x45,3,CHANGE_AT_EACH_INTERFACE,DOC,HIGH,
P22P,40x50,40x45,40x40,40x40,2,MULTI_LEVEL_CHANGE,DOC,HIGH,"Distinct support 22 prime; never merge with P22."
P23,30x110,30x110,30x110,30x110,0,UNCHANGED_G1_G4,DOC,HIGH,"Wide support remains 30x110 at all four levels; orientation/fixed-line placement still requires geometric verification."
P24,40x50,40x45,40x40,40x40,2,MULTI_LEVEL_CHANGE,DOC,HIGH,
P25,40x50,40x45,40x40,40x40,2,MULTI_LEVEL_CHANGE,DOC,HIGH,
P26,40x50,35x50,30x50,30x45,3,CHANGE_AT_EACH_INTERFACE,DOC,HIGH,
P27,40x50,40x45,40x40,40x40,2,MULTI_LEVEL_CHANGE,DOC,HIGH,
P28,40x50,40x45,40x40,40x40,2,MULTI_LEVEL_CHANGE,DOC,HIGH,
P29,40x50,35x50,30x50,30x45,3,CHANGE_AT_EACH_INTERFACE,DOC,HIGH,
P30,30x110,30x110,30x110,30x110,0,UNCHANGED_G1_G4,DOC,HIGH,"Wide support remains 30x110 at all four levels; orientation/fixed-line placement still requires geometric verification."
P31,40x50,40x45,40x40,40x40,2,MULTI_LEVEL_CHANGE,DOC,HIGH,
P32,40x50,40x45,40x40,40x40,2,MULTI_LEVEL_CHANGE,DOC,HIGH,
P33,40x50,40x45,40x40,40x40,2,MULTI_LEVEL_CHANGE,DOC,HIGH,
