support_id,section_g1_cm,evidence_status,confidence,source_basis,notes
P01,40x50,DOC,HIGH,"TAV-02S support 1 labels 40/50","Direct HiRes reading"
P02,40x50,DOC,HIGH,"TAV-02S support 2 labels 40/50","Direct HiRes reading"
P03,40x50,DOC,HIGH,"TAV-02S support 3 labels 40/50","Direct HiRes reading"
P04,40x50,DOC,HIGH,"TAV-02S support 4 labels 40/50","Direct HiRes reading"
P05,40x50,DOC,HIGH,"TAV-02S support 5 labels 40/50","Direct HiRes reading"
P06,40x50,DOC,HIGH,"TAV-02S support 6 labels 40/50","Direct HiRes reading"
P07,40x50,DOC,HIGH,"TAV-02S support 7 labels 40/50","Direct HiRes reading"
P08,40x50,DOC,HIGH,"TAV-02S support 8 labels 40/50","Direct HiRes reading"
P09,40x50,DOC,HIGH,"TAV-02S support 9 labels 40/50","Direct HiRes reading"
P10,40x50,DOC,HIGH,"TAV-02S support 10 labels 40/50","Direct HiRes reading"
P11,40x50,DOC,HIGH,"TAV-02S support 11 labels 40/50","Direct HiRes reading"
P12,40x50,DOC,HIGH,"TAV-02S support 12 labels 40/50","Direct HiRes reading"
P13,40x50,DOC,HIGH,"TAV-02S support 13 labels 40/50","Direct HiRes reading"
P14,40x50,DOC,HIGH,"TAV-02S support 14 labels 40/50","Direct HiRes reading"
P15,40x50,DOC,HIGH,"TAV-02S support 15 labels 40/50","Direct HiRes reading"
P16,40x50,DOC,HIGH,"TAV-02S support 16 labels 40/50","Direct HiRes reading"
P17,40x50,DOC,HIGH,"TAV-02S support 17 labels 40/50","Direct HiRes reading"
P18,30x110,DOC,HIGH,"TAV-02S support 18 labels 30/110","Direct HiRes reading; wide support"
P19,40x40,DOC,HIGH,"TAV-02S support 19 labels 40/40","Direct HiRes reading; do not regularize to neighbouring 40x50 supports"
P20,40x50,DOC,HIGH,"TAV-02S support 20 labels 40/50","Direct HiRes reading"
P21,40x50,DOC,HIGH,"TAV-02S support 21 labels 40/50","Direct HiRes reading"
P22,40x50,DOC,HIGH,"TAV-02S support 22 labels 40/50","Direct HiRes reading; distinct from P22P"
P22P,40x50,DOC,HIGH,"TAV-02S support 22 prime labels 40/50","Distinct support 22 prime"
P23,30x110,DOC,HIGH,"TAV-02S support 23 labels 30/110","Direct HiRes reading; wide support"
P24,40x50,DOC,HIGH,"TAV-02S support 24 labels 40/50","Direct HiRes reading"
P25,40x50,DOC,HIGH,"TAV-02S support 25 labels 40/50","Direct HiRes reading"
P26,40x50,DOC,HIGH,"TAV-02S support 26 labels 40/50","Direct HiRes reading"
P27,40x50,DOC,HIGH,"TAV-02S support 27 labels 40/50","Direct HiRes reading"
P28,40x50,DOC,HIGH,"TAV-02S support 28 labels 40/50","Direct HiRes reading"
P29,40x50,DOC,HIGH,"TAV-02S support 29 labels 40/50","Direct HiRes reading"
P30,30x110,DOC,HIGH,"TAV-02S support 30 labels 30/110","Direct HiRes reading; wide support"
P31,40x50,DOC,HIGH,"TAV-02S support 31 labels 40/50","Direct HiRes reading"
P32,40x50,DOC,HIGH,"TAV-02S support 32 labels 40/50","Direct HiRes reading"
P33,40x50,DOC,HIGH,"TAV-02S support 33 labels 40/50","Direct HiRes reading"
