legacy_chain_id,legacy_source_node,fixed_line_x_mm,fixed_line_y_mm,legacy_status,vertical_continuity,source_ref,g4_support_candidate,candidate_status,evidence_status,notes
X07-Y05,N001,33084.7,12210.4,PREDOC_GEOMETRICO,VER_5_LEVELS,"CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22",,UNBOUND,PREDOC,"Seed storico; vietata associazione automatica a supporto G4"
X09-Y05,N002,36500.9,12233.9,PREDOC_GEOMETRICO,VER_5_LEVELS,"CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22",,UNBOUND,PREDOC,""
X09-Y02,N005,36510.7,7839.7,PREDOC_GEOMETRICO,VER_5_LEVELS,"CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22",,UNBOUND,PREDOC,""
X07-Y01,N006,33159.8,5536.1,PREDOC_GEOMETRICO,VER_5_LEVELS,"CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22",,UNBOUND,PREDOC,""
X06-Y01,N007,31775.0,5536.1,PREDOC_GEOMETRICO,VER_5_LEVELS,"CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22",,UNBOUND,PREDOC,""
X04-Y13,N003,23776.6,25651.2,PREDOC_GEOMETRICO,VER_5_LEVELS,"CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22",,UNBOUND,PREDOC,""
X06-Y05,N008,31709.7,12151.3,PREDOC_GEOMETRICO,VER_5_LEVELS,"CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22",,UNBOUND,PREDOC,""
X06-Y12,N004,31530.1,23679.0,PREDOC_GEOMETRICO,VER_5_LEVELS,"CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22",,UNBOUND,PREDOC,""
X01-Y04,N009,8485.1,10543.7,PREDOC_GEOMETRICO,VER_5_LEVELS,"CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22",,UNBOUND,PREDOC,""
X13-Y06,N010,42889.2,12616.6,PREDOC_GEOMETRICO,VER_5_LEVELS,"CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22",,UNBOUND,PREDOC,""
X04-Y11,N011,23789.6,20627.2,PREDOC_GEOMETRICO,VER_5_LEVELS,"CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22",,UNBOUND,PREDOC,""
X03-Y08,N012,22067.3,14484.3,PREDOC_GEOMETRICO,VER_5_LEVELS,"CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22",,UNBOUND,PREDOC,""
X11-Y02,N013,37611.4,7740.6,PREDOC_GEOMETRICO,VER_5_LEVELS,"CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22",,UNBOUND,PREDOC,""
X04-Y10,N015,23823.6,19434.3,PREDOC_GEOMETRICO,VER_5_LEVELS,"CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22",,UNBOUND,PREDOC,""
X07-Y03,N016,33106.9,9659.7,PREDOC_GEOMETRICO,VER_5_LEVELS,"CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22",,UNBOUND,PREDOC,""
X02-Y10,N014,19410.5,19408.2,PREDOC_GEOMETRICO,VER_5_LEVELS,"CATENE_VERTICALI_PILASTRI_v20 + MATRICE_PILASTRI_27x5_v22",,UNBOUND,PREDOC,""
