node_id,x_mm,y_mm,axis_x_geom,axis_y_geom,chain_id,source,evidence_status
N001,33084.7,12210.4,X07,Y05,X07-Y05,CATENE_VERTICALI_PILASTRI_v20.csv,VER_GEOMETRIC
N002,36500.9,12233.9,X09,Y05,X09-Y05,CATENE_VERTICALI_PILASTRI_v20.csv,VER_GEOMETRIC
N005,36510.7,7839.7,X09,Y02,X09-Y02,CATENE_VERTICALI_PILASTRI_v20.csv,VER_GEOMETRIC
N006,33159.8,5536.1,X07,Y01,X07-Y01,CATENE_VERTICALI_PILASTRI_v20.csv,VER_GEOMETRIC
N007,31775.0,5536.1,X06,Y01,X06-Y01,CATENE_VERTICALI_PILASTRI_v20.csv,VER_GEOMETRIC
N003,23776.6,25651.2,X04,Y13,X04-Y13,CATENE_VERTICALI_PILASTRI_v20.csv,VER_GEOMETRIC
N008,31709.7,12151.3,X06,Y05,X06-Y05,CATENE_VERTICALI_PILASTRI_v20.csv,VER_GEOMETRIC
N004,31530.1,23679.0,X06,Y12,X06-Y12,CATENE_VERTICALI_PILASTRI_v20.csv,VER_GEOMETRIC
N009,8485.1,10543.7,X01,Y04,X01-Y04,CATENE_VERTICALI_PILASTRI_v20.csv,VER_GEOMETRIC
N010,42889.2,12616.6,X13,Y06,X13-Y06,CATENE_VERTICALI_PILASTRI_v20.csv,VER_GEOMETRIC
N011,23789.6,20627.2,X04,Y11,X04-Y11,CATENE_VERTICALI_PILASTRI_v20.csv,VER_GEOMETRIC
N012,23789.6,17276.3,X04,Y09,X04-Y09,CATENE_VERTICALI_PILASTRI_v20.csv,VER_GEOMETRIC
N013,23789.6,12151.3,X04,Y05,X04-Y05,CATENE_VERTICALI_PILASTRI_v20.csv,VER_GEOMETRIC
N014,23789.6,7839.7,X04,Y02,X04-Y02,CATENE_VERTICALI_PILASTRI_v20.csv,VER_GEOMETRIC
N015,23789.6,5536.1,X04,Y01,X04-Y01,CATENE_VERTICALI_PILASTRI_v20.csv,VER_GEOMETRIC
N016,28419.4,23679.0,X05,Y12,X05-Y12,CATENE_VERTICALI_PILASTRI_v20.csv,VER_GEOMETRIC
N017,28419.4,20627.2,X05,Y11,X05-Y11,CATENE_VERTICALI_PILASTRI_v20.csv,VER_GEOMETRIC
N018,28419.4,17276.3,X05,Y09,X05-Y09,CATENE_VERTICALI_PILASTRI_v20.csv,VER_GEOMETRIC
N019,28419.4,12151.3,X05,Y05,X05-Y05,CATENE_VERTICALI_PILASTRI_v20.csv,VER_GEOMETRIC
N020,28419.4,7839.7,X05,Y02,X05-Y02,CATENE_VERTICALI_PILASTRI_v20.csv,VER_GEOMETRIC
N021,28419.4,5536.1,X05,Y01,X05-Y01,CATENE_VERTICALI_PILASTRI_v20.csv,VER_GEOMETRIC
N022,31709.7,20627.2,X06,Y11,X06-Y11,CATENE_VERTICALI_PILASTRI_v20.csv,VER_GEOMETRIC
N023,31709.7,17276.3,X06,Y09,X06-Y09,CATENE_VERTICALI_PILASTRI_v20.csv,VER_GEOMETRIC
N024,31709.7,7839.7,X06,Y02,X06-Y02,CATENE_VERTICALI_PILASTRI_v20.csv,VER_GEOMETRIC
N025,33084.7,17276.3,X07,Y09,X07-Y09,CATENE_VERTICALI_PILASTRI_v20.csv,VER_GEOMETRIC
N026,36500.9,17276.3,X09,Y09,X09-Y09,CATENE_VERTICALI_PILASTRI_v20.csv,VER_GEOMETRIC
N027,42889.2,17276.3,X13,Y09,X13-Y09,CATENE_VERTICALI_PILASTRI_v20.csv,VER_GEOMETRIC
